Precompiling Pkg...
   1049.3 ms  ✓ Unicode
   2909.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2919.4 ms  ✓ Statistics → SparseArraysExt
   3100.0 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3795.2 ms  ✓ SuiteSparse
   2883.6 ms  ✓ Distances → DistancesSparseArraysExt
   2691.5 ms  ✓ Adapt → AdaptSparseArraysExt
   5291.4 ms  ✓ QuadGK
   3181.3 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
  15789.3 ms  ✓ Test
   3501.4 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2611.1 ms  ✓ PolyesterWeave
   2589.0 ms  ✓ CloseOpenIntervals
   2794.3 ms  ✓ LayoutPointers
  11906.9 ms  ✓ SpecialFunctions
   2309.3 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2589.0 ms  ✓ Accessors → TestExt
   3704.3 ms  ✓ PDMats
   5796.1 ms  ✓ SymbolicIndexingInterface
   2496.3 ms  ✓ DiffRules
   6905.8 ms  ✓ SciMLOperators
   3412.3 ms  ✓ StrideArraysCore
   5228.8 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   2224.0 ms  ✓ FillArrays → FillArraysPDMatsExt
   4013.3 ms  ✓ HypergeometricFunctions
   1890.4 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   2496.5 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   8229.0 ms  ✓ StatsBase
   2315.6 ms  ✓ Polyester
  11730.8 ms  ✓ Roots
   1789.3 ms  ✓ FastBroadcast
   5522.1 ms  ✓ RecursiveArrayTools
   4509.0 ms  ✓ StatsFuns
   1498.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   1861.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   1873.9 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  26002.8 ms  ✓ StaticArrays
   2984.5 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2987.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
  11403.8 ms  ✓ ForwardDiff
   4178.6 ms  ✓ Adapt → AdaptStaticArraysExt
   4185.2 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   4207.3 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   4997.9 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   5723.2 ms  ✓ Accessors → StaticArraysExt
   3376.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   3823.8 ms  ✓ FastPower → FastPowerForwardDiffExt
   4095.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   4581.4 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   4514.3 ms  ✓ Roots → RootsForwardDiffExt
  22504.9 ms  ✓ FFTW
  32995.9 ms  ✓ Moshi
   3814.2 ms  ✓ NLSolversBase
  10124.8 ms  ✓ NearestNeighbors
  39177.2 ms  ✓ Parsers
   1523.0 ms  ✓ Neighborhood
   3990.8 ms  ✓ LineSearches
   2590.2 ms  ✓ Clustering
  18085.9 ms  ✓ Distributions
   1287.6 ms  ✓ StateSpaceSets
   1902.9 ms  ✓ JSON
    946.5 ms  ✓ Distributions → DistributionsTestExt
   2550.2 ms  ✓ Optim
   1567.5 ms  ✓ DelayEmbeddings
   3083.1 ms  ✓ BlackBoxOptim
   9501.5 ms  ✓ SciMLBase
   3124.4 ms  ✓ DiffEqBase
   2228.9 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   2470.4 ms  ✓ DiffEqBase → DiffEqBaseDistributionsExt
   2523.5 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
  41623.4 ms  ✓ Polynomials
    773.7 ms  ✓ Polynomials → PolynomialsFFTWExt
   3947.7 ms  ✓ OrdinaryDiffEqCore
    753.4 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   2171.6 ms  ✓ DSP
   1731.9 ms  ✓ Wavelets
   4575.9 ms  ✓ OrdinaryDiffEqTsit5
   2884.1 ms  ✓ ComplexityMeasures
   1684.8 ms  ✓ DynamicalSystemsBase
   2528.7 ms  ✓ Attractors
  184 dependencies successfully precompiled in 79 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.7 --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 385.39
	System time (seconds): 37.30
	Percent of CPU this job got: 333%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:06.83
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2047088
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 825
	Minor (reclaiming a frame) page faults: 8734155
	Voluntary context switches: 252725
	Involuntary context switches: 128780
	Swaps: 0
	File system inputs: 50584
	File system outputs: 1184712
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
