nice: cannot set niceness: Permission denied
Precompiling packages...
   1856.7 ms  ✓ SimpleUnPack
   2202.5 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   9397.8 ms  ✓ SpecialFunctions
   2591.7 ms  ✓ FillArrays → FillArraysStatisticsExt
   2487.0 ms  ✓ Accessors → TestExt
   3499.3 ms  ✓ PDMats
   3975.9 ms  ✓ Distances
   3715.4 ms  ✓ StrideArraysCore
   3790.5 ms  ✓ BangBang
   2685.9 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2693.4 ms  ✓ DiffRules
   2696.0 ms  ✓ FillArrays → FillArraysPDMatsExt
   2191.8 ms  ✓ Polyester
   2414.5 ms  ✓ Distances → DistancesSparseArraysExt
   3821.7 ms  ✓ HypergeometricFunctions
   4912.6 ms  ✓ SymbolicIndexingInterface
   3329.1 ms  ✓ OhMyThreads
   7206.1 ms  ✓ SciMLOperators
   7928.2 ms  ✓ StatsBase
   1999.4 ms  ✓ FastBroadcast
   1603.9 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   2193.7 ms  ✓ OhMyThreads → MarkdownExt
   2793.6 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   2575.8 ms  ✓ PDMats → StatsBaseExt
  11784.7 ms  ✓ Roots
   6077.9 ms  ✓ StatsFuns
   6793.5 ms  ✓ RecursiveArrayTools
   2795.6 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  27301.2 ms  ✓ StaticArrays
   3480.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  11906.3 ms  ✓ ForwardDiff
  22717.6 ms  ✓ FFTW
   2189.5 ms  ✓ Adapt → AdaptStaticArraysExt
   2382.8 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2684.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3389.1 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2472.9 ms  ✓ FastPower → FastPowerForwardDiffExt
   2501.3 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   3387.8 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   3468.4 ms  ✓ Roots → RootsForwardDiffExt
   3918.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   3782.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   4084.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   2806.2 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3387.2 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   4016.9 ms  ✓ Accessors → StaticArraysExt
  29506.2 ms  ✓ Moshi
   3410.9 ms  ✓ NLSolversBase
   2478.0 ms  ✓ BangBang → BangBangStaticArraysExt
  36388.6 ms  ✓ Parsers
   1412.5 ms  ✓ LineSearches
   7011.3 ms  ✓ NearestNeighbors
   1627.3 ms  ✓ JSON
  15242.6 ms  ✓ Distributions
   1278.0 ms  ✓ Neighborhood
   1879.6 ms  ✓ Clustering
   1165.6 ms  ✓ Distributions → DistributionsTestExt
   1127.6 ms  ✓ StateSpaceSets
   2898.7 ms  ✓ Optim
   1387.5 ms  ✓ DelayEmbeddings
   3193.2 ms  ✓ BlackBoxOptim
  10398.8 ms  ✓ SciMLBase
   2785.9 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   2905.3 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   3128.0 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
  39415.8 ms  ✓ Polynomials
   3682.1 ms  ✓ DiffEqBase
    691.8 ms  ✓ Polynomials → PolynomialsFFTWExt
    756.4 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
    883.3 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   1877.7 ms  ✓ DSP
   2316.7 ms  ✓ OrdinaryDiffEqCore
   1478.3 ms  ✓ Wavelets
    827.2 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   2332.0 ms  ✓ ComplexityMeasures
   3945.1 ms  ✓ OrdinaryDiffEqTsit5
   1697.7 ms  ✓ DynamicalSystemsBase
   2719.6 ms  ✓ Attractors
  195 dependencies successfully precompiled in 77 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 271.05
	System time (seconds): 37.67
	Percent of CPU this job got: 395%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:17.98
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 943336
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 494
	Minor (reclaiming a frame) page faults: 8410927
	Voluntary context switches: 233699
	Involuntary context switches: 109432
	Swaps: 0
	File system inputs: 41416
	File system outputs: 681136
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
