nice: cannot set niceness: Permission denied
Precompiling packages...
   1954.9 ms  ✓ SimpleUnPack
   3698.2 ms  ✓ Distances
   5614.6 ms  ✓ SymbolicIndexingInterface
   2715.6 ms  ✓ FillArrays → FillArraysPDMatsExt
   3394.1 ms  ✓ StrideArraysCore
   2570.9 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   3987.5 ms  ✓ OhMyThreads
   2306.9 ms  ✓ Distances → DistancesSparseArraysExt
   7393.9 ms  ✓ SciMLOperators
   2205.1 ms  ✓ Polyester
   2093.8 ms  ✓ OhMyThreads → MarkdownExt
   2286.5 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   8004.0 ms  ✓ StatsBase
   3089.0 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   6210.0 ms  ✓ StatsFuns
   2893.6 ms  ✓ FastBroadcast
  12700.5 ms  ✓ Roots
   2209.4 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   7407.6 ms  ✓ RecursiveArrayTools
   3200.4 ms  ✓ PDMats → StatsBaseExt
   2910.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  27307.6 ms  ✓ StaticArrays
  13409.8 ms  ✓ ForwardDiff
  23099.5 ms  ✓ FFTW
   2196.3 ms  ✓ FastPower → FastPowerForwardDiffExt
   2797.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   2378.6 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   2484.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   2506.3 ms  ✓ Roots → RootsForwardDiffExt
   2511.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   2596.1 ms  ✓ Adapt → AdaptStaticArraysExt
   2614.3 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2786.4 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   3190.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   3305.1 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2784.9 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   2907.7 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   3193.8 ms  ✓ Accessors → StaticArraysExt
   3484.4 ms  ✓ NLSolversBase
  29302.9 ms  ✓ Moshi
   2783.2 ms  ✓ BangBang → BangBangStaticArraysExt
   2988.7 ms  ✓ LineSearches
  36218.2 ms  ✓ Parsers
   7101.0 ms  ✓ NearestNeighbors
  14184.5 ms  ✓ Distributions
   1547.1 ms  ✓ JSON
   1312.3 ms  ✓ Neighborhood
   1318.9 ms  ✓ Distributions → DistributionsTestExt
   3144.1 ms  ✓ Optim
   1888.9 ms  ✓ Clustering
    963.7 ms  ✓ StateSpaceSets
   1430.1 ms  ✓ DelayEmbeddings
   3278.5 ms  ✓ BlackBoxOptim
   9900.1 ms  ✓ SciMLBase
   2923.4 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   3414.8 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   3603.4 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
   4248.6 ms  ✓ DiffEqBase
  40252.9 ms  ✓ Polynomials
    738.0 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
    683.6 ms  ✓ Polynomials → PolynomialsFFTWExt
    896.2 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   1822.1 ms  ✓ DSP
   2336.8 ms  ✓ OrdinaryDiffEqCore
    827.0 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   1455.6 ms  ✓ Wavelets
   2281.7 ms  ✓ ComplexityMeasures
   3987.5 ms  ✓ OrdinaryDiffEqTsit5
   1689.2 ms  ✓ DynamicalSystemsBase
   2693.9 ms  ✓ Attractors
  195 dependencies successfully precompiled in 78 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 272.50
	System time (seconds): 38.16
	Percent of CPU this job got: 396%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:18.33
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 911468
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 463
	Minor (reclaiming a frame) page faults: 8401937
	Voluntary context switches: 230094
	Involuntary context switches: 126953
	Swaps: 0
	File system inputs: 120
	File system outputs: 681344
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
