nice: cannot set niceness: Permission denied
Precompiling packages...
   1947.8 ms  ✓ StatsAPI
   2399.9 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   3369.2 ms  ✓ Rmath
   2604.7 ms  ✓ CRlibm
   2997.3 ms  ✓ OpenEXR_jll
   2491.0 ms  ✓ libsixel_jll
   2393.6 ms  ✓ SuiteSparse
   2968.8 ms  ✓ libvorbis_jll
   3002.5 ms  ✓ Statistics
   2887.7 ms  ✓ WoodburyMatrices
   5314.8 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2832.3 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2526.7 ms  ✓ Adapt → AdaptSparseArraysExt
   2413.7 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2586.5 ms  ✓ Libtiff_jll
   1971.6 ms  ✓ Isoband
   2737.6 ms  ✓ GettextRuntime_jll
   3708.6 ms  ✓ CodecZstd
   6712.9 ms  ✓ Xorg_libxcb_jll
   2403.6 ms  ✓ FilePaths
   2330.4 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3715.7 ms  ✓ QuadGK
   3767.3 ms  ✓ StructArrays → StructArraysAdaptExt
   2930.6 ms  ✓ Fontconfig_jll
  10604.2 ms  ✓ SpecialFunctions
   3497.5 ms  ✓ FreeType
   4492.3 ms  ✓ StructArrays → StructArraysSparseArraysExt
   3700.3 ms  ✓ PDMats
   3085.6 ms  ✓ FillArrays → FillArraysStatisticsExt
   2682.3 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   2692.8 ms  ✓ AxisAlgorithms
   2923.4 ms  ✓ Xorg_libX11_jll
   3296.8 ms  ✓ Glib_jll
  17121.8 ms  ✓ Parsers
   3379.6 ms  ✓ FillArrays → FillArraysPDMatsExt
   7293.8 ms  ✓ SignedDistanceFields
   2214.0 ms  ✓ Xorg_libXfixes_jll
   2221.7 ms  ✓ Xorg_libXext_jll
   2303.4 ms  ✓ Xorg_libXrender_jll
   8365.1 ms  ✓ IntervalArithmetic
   5169.9 ms  ✓ HypergeometricFunctions
   6402.3 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   8198.6 ms  ✓ StatsBase
   2480.2 ms  ✓ libva_jll
   2502.5 ms  ✓ Cairo_jll
   2425.6 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
  10011.9 ms  ✓ FixedPointNumbers
   2906.2 ms  ✓ Libglvnd_jll
   3530.0 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   4012.6 ms  ✓ IntervalArithmetic → IntervalArithmeticIrrationalConstantsExt
   4031.1 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   2032.1 ms  ✓ PDMats → StatsBaseExt
   2093.0 ms  ✓ HarfBuzz_jll
   1880.3 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   1913.4 ms  ✓ libwebp_jll
   5024.0 ms  ✓ StatsFuns
   1690.2 ms  ✓ libass_jll
   2007.7 ms  ✓ Pango_jll
  25595.1 ms  ✓ StaticArrays
   5187.3 ms  ✓ ColorTypes
   1979.8 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   3615.6 ms  ✓ FFMPEG_jll
   2797.7 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   2995.5 ms  ✓ FillArrays → FillArraysStaticArraysExt
   3069.5 ms  ✓ Adapt → AdaptStaticArraysExt
   3075.3 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   4001.2 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   6099.6 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
   4820.8 ms  ✓ QOI
   6028.5 ms  ✓ StructArrays → StructArraysStaticArraysExt
  32473.6 ms  ✓ SIMD
  16300.4 ms  ✓ JSON
  35999.5 ms  ✓ Automa
   8056.1 ms  ✓ Interpolations
  10435.4 ms  ✓ ExactPredicates
   9353.2 ms  ✓ ColorVectorSpace
    969.0 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
  15009.0 ms  ✓ Distributions
  11322.3 ms  ✓ Colors
   1596.1 ms  ✓ Animations
   1694.7 ms  ✓ Graphics
   2089.0 ms  ✓ OpenEXR
   2587.0 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   2700.5 ms  ✓ ColorBrewer
   8274.6 ms  ✓ DelaunayTriangulation
   3996.2 ms  ✓ Cairo
   4788.4 ms  ✓ KernelDensity
  62084.6 ms  ✓ Unitful
   1034.4 ms  ✓ Unitful → PrintfExt
   8653.4 ms  ✓ ColorSchemes
   1531.8 ms  ✓ Unitful → NaNMathExt
   1584.8 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   1614.2 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   2415.7 ms  ✓ Interpolations → InterpolationsUnitfulExt
  25181.0 ms  ✓ GeometryBasics
   1303.4 ms  ✓ Packing
   1442.2 ms  ✓ GeometryBasics → IntervalSetsExt
   1941.3 ms  ✓ ShaderAbstractions
   2601.8 ms  ✓ FreeTypeAbstraction
   5753.0 ms  ✓ GridLayoutBase
  11561.9 ms  ✓ PlotUtils
   6701.6 ms  ✓ MathTeXEngine
  27197.0 ms  ✓ ImageCore
  36440.5 ms  ✓ TiffImages
   3017.2 ms  ✓ WebP
   3077.7 ms  ✓ Sixel
   3172.4 ms  ✓ JpegTurbo
   3372.4 ms  ✓ ImageBase
   4411.5 ms  ✓ PNGFiles
   1614.0 ms  ✓ ImageAxes
    924.7 ms  ✓ ImageMetadata
    942.9 ms  ✓ Netpbm
    377.0 ms  ✓ ImageIO
 100414.0 ms  ✓ Makie
  33519.6 ms  ✓ CairoMakie
  244 dependencies successfully precompiled in 232 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 598.64
	System time (seconds): 50.96
	Percent of CPU this job got: 278%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:53.04
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4001856
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 615
	Minor (reclaiming a frame) page faults: 12724919
	Voluntary context switches: 297266
	Involuntary context switches: 164801
	Swaps: 0
	File system inputs: 0
	File system outputs: 2624128
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
