nice: cannot set niceness: Permission denied
Precompiling packages...
   2132.9 ms  ✓ RangeArrays
   1902.8 ms  ✓ IntervalSets → IntervalSetsRandomExt
   1805.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2421.0 ms  ✓ SharedArrays
   1997.2 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   1613.9 ms  ✓ RelocatableFolders
   2109.8 ms  ✓ StructUtils → StructUtilsStaticArraysCoreExt
   3224.0 ms  ✓ ProgressMeter
   2787.2 ms  ✓ LogExpFunctions
   3422.5 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   3292.5 ms  ✓ FilePathsBase
   3817.6 ms  ✓ Tables
   3491.1 ms  ✓ SimpleTraits
   2188.8 ms  ✓ MosaicViews
   3596.5 ms  ✓ MuladdMacro
   2310.8 ms  ✓ OpenSSL_jll
   2392.2 ms  ✓ CoreMath_jll
   8013.7 ms  ✓ DataStructures
   5214.9 ms  ✓ ChainRulesCore
   2277.6 ms  ✓ Libmount_jll
   2218.7 ms  ✓ LLVMOpenMP_jll
   2706.3 ms  ✓ Graphite2_jll
   2492.3 ms  ✓ Bzip2_jll
   2605.3 ms  ✓ Rmath_jll
   2581.2 ms  ✓ Xorg_libXau_jll
   2802.0 ms  ✓ Xorg_libpciaccess_jll
   2398.2 ms  ✓ libpng_jll
   2588.9 ms  ✓ libfdk_aac_jll
   2712.2 ms  ✓ Imath_jll
   2692.4 ms  ✓ Giflib_jll
   2799.6 ms  ✓ LAME_jll
  13177.9 ms  ✓ FileIO
   3212.6 ms  ✓ LERC_jll
   2902.9 ms  ✓ JpegTurbo_jll
   3094.6 ms  ✓ EarCut_jll
   3013.9 ms  ✓ CRlibm_jll
   2401.8 ms  ✓ Ogg_jll
   2794.3 ms  ✓ XZ_jll
   2693.8 ms  ✓ Xorg_libXdmcp_jll
   2306.4 ms  ✓ x264_jll
   2730.9 ms  ✓ OpenEXR_jll
   2509.9 ms  ✓ libaom_jll
   2387.5 ms  ✓ Expat_jll
   2389.7 ms  ✓ Xorg_xtrans_jll
   2506.2 ms  ✓ Opus_jll
   2783.3 ms  ✓ Zstd_jll
  13992.0 ms  ✓ SparseArrays
   2514.0 ms  ✓ Libiconv_jll
   2514.6 ms  ✓ Libffi_jll
   2388.1 ms  ✓ Libuuid_jll
   2600.6 ms  ✓ isoband_jll
   2687.1 ms  ✓ FriBidi_jll
   1900.5 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2595.0 ms  ✓ OpenBLASConsistentFPCSR_jll
   2412.7 ms  ✓ OpenSpecFun_jll
   1787.1 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   2294.6 ms  ✓ StructUtils → StructUtilsTablesExt
   3205.3 ms  ✓ AxisArrays
   2200.4 ms  ✓ SortingAlgorithms
   2510.9 ms  ✓ CoreMath
   3686.5 ms  ✓ StructArrays
   2205.5 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2315.5 ms  ✓ Pixman_jll
   2286.0 ms  ✓ FreeType2_jll
   4110.3 ms  ✓ FFTA
   3909.4 ms  ✓ QuadGK
   3014.7 ms  ✓ Rmath
   2390.2 ms  ✓ libdrm_jll
   2395.1 ms  ✓ x265_jll
   2497.0 ms  ✓ libsixel_jll
   2782.3 ms  ✓ CRlibm
   2708.1 ms  ✓ libvorbis_jll
   5888.7 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2512.1 ms  ✓ Libtiff_jll
   2273.2 ms  ✓ SuiteSparse
   9491.2 ms  ✓ Accessors
   3312.1 ms  ✓ Statistics
   4394.8 ms  ✓ CodecZstd
   3101.0 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3607.2 ms  ✓ WoodburyMatrices
   3312.4 ms  ✓ Adapt → AdaptSparseArraysExt
   3277.4 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2472.0 ms  ✓ Isoband
   3521.3 ms  ✓ GettextRuntime_jll
   2703.4 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3206.6 ms  ✓ FilePaths
   7918.2 ms  ✓ Xorg_libxcb_jll
   2896.8 ms  ✓ Fontconfig_jll
   3890.7 ms  ✓ FreeType
   4308.7 ms  ✓ StructArrays → StructArraysAdaptExt
  25596.6 ms  ✓ Parsers
   3507.4 ms  ✓ PDMats
   4598.8 ms  ✓ StructArrays → StructArraysSparseArraysExt
   2390.8 ms  ✓ Accessors → LinearAlgebraExt
   2596.9 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   4882.1 ms  ✓ Accessors → StructArraysExt
   2689.5 ms  ✓ FillArrays → FillArraysStatisticsExt
   3923.5 ms  ✓ Accessors → IntervalSetsExt
   2594.1 ms  ✓ AxisAlgorithms
   2883.7 ms  ✓ Xorg_libX11_jll
   4318.9 ms  ✓ Glib_jll
  10806.1 ms  ✓ SpecialFunctions
  31303.7 ms  ✓ StaticArrays
   7301.2 ms  ✓ SignedDistanceFields
   4199.6 ms  ✓ FillArrays → FillArraysPDMatsExt
  10125.2 ms  ✓ IntervalArithmetic
   3817.1 ms  ✓ Xorg_libXrender_jll
   4196.3 ms  ✓ Xorg_libXfixes_jll
   8323.1 ms  ✓ StatsBase
   3289.1 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   5325.8 ms  ✓ Xorg_libXext_jll
   3000.2 ms  ✓ Adapt → AdaptStaticArraysExt
   4289.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   4204.6 ms  ✓ FillArrays → FillArraysStaticArraysExt
    IntervalArithmeticLinearAlgebraExt Being precompiled by another process (pid: 979815, pidfile: /workdir/depot/compiled/v1.10/IntervalArithmeticLinearAlgebraExt/bCMUi_9L19s.ji.pidfile)
   4369.7 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
  36298.2 ms  ✓ SIMD
   7008.6 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   4397.2 ms  ✓ StructArrays → StructArraysStaticArraysExt
   4806.6 ms  ✓ Accessors → StaticArraysExt
   8711.7 ms  ✓ StatsFuns
  15314.7 ms  ✓ FixedPointNumbers
  40485.1 ms  ✓ Automa
   4201.8 ms  ✓ PDMats → StatsBaseExt
   3201.9 ms  ✓ libva_jll
   4504.3 ms  ✓ Libglvnd_jll
   4810.6 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   3098.6 ms  ✓ Cairo_jll
   2284.0 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   6488.8 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   8491.5 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   4088.1 ms  ✓ IntervalArithmetic → IntervalArithmeticIrrationalConstantsExt
  15402.9 ms  ✓ Roots
   2709.8 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   2692.4 ms  ✓ HarfBuzz_jll
   2984.9 ms  ✓ libwebp_jll
  16494.1 ms  ✓ JSON
   4495.8 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
   1587.0 ms  ✓ Roots → RootsChainRulesCoreExt
   8812.0 ms  ✓ Interpolations
   1131.9 ms  ✓ Pango_jll
   1204.8 ms  ✓ libass_jll
   4694.3 ms  ✓ ColorTypes
   1300.8 ms  ✓ FFMPEG_jll
   1433.8 ms  ✓ QOI
   6826.7 ms  ✓ ExactPredicates
   3923.6 ms  ✓ ColorVectorSpace
    910.5 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   8332.1 ms  ✓ Distributions
   8121.4 ms  ✓ Colors
   2706.4 ms  ✓ Graphics
   4467.5 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   2870.7 ms  ✓ Animations
  59417.3 ms  ✓ Unitful
   3995.7 ms  ✓ OpenEXR
   4662.7 ms  ✓ ColorBrewer
  10191.8 ms  ✓ DelaunayTriangulation
   2191.5 ms  ✓ Unitful → PrintfExt
   2785.9 ms  ✓ Unitful → NaNMathExt
   3006.5 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   3111.9 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   4298.9 ms  ✓ Accessors → UnitfulExt
   4533.4 ms  ✓ KernelDensity
   4600.0 ms  ✓ Cairo
   5171.0 ms  ✓ Roots → RootsUnitfulExt
   5195.6 ms  ✓ Interpolations → InterpolationsUnitfulExt
  28220.6 ms  ✓ GeometryBasics
   1292.9 ms  ✓ GeometryBasics → IntervalSetsExt
   1343.7 ms  ✓ Packing
   9631.9 ms  ✓ ColorSchemes
   2012.2 ms  ✓ ShaderAbstractions
   2656.9 ms  ✓ FreeTypeAbstraction
   5876.9 ms  ✓ GridLayoutBase
   5336.4 ms  ✓ MathTeXEngine
   9190.6 ms  ✓ PlotUtils
  33352.5 ms  ✓ TiffImages
  25427.9 ms  ✓ ImageCore
   1405.0 ms  ✓ WebP
   1432.4 ms  ✓ Sixel
   1494.1 ms  ✓ JpegTurbo
   1719.5 ms  ✓ ImageBase
   2785.0 ms  ✓ PNGFiles
   1652.5 ms  ✓ ImageAxes
    962.1 ms  ✓ ImageMetadata
    943.2 ms  ✓ Netpbm
    383.6 ms  ✓ ImageIO
  99686.1 ms  ✓ Makie
  33998.4 ms  ✓ CairoMakie
  257 dependencies successfully precompiled in 235 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 610.04
	System time (seconds): 53.14
	Percent of CPU this job got: 280%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:56.10
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 3971740
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 809
	Minor (reclaiming a frame) page faults: 13193086
	Voluntary context switches: 314026
	Involuntary context switches: 193955
	Swaps: 0
	File system inputs: 0
	File system outputs: 2669360
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
