nice: cannot set niceness: Permission denied
Precompiling packages...
   2016.4 ms  ✓ LaTeXStrings
   2405.3 ms  ✓ Opus_jll
   2479.2 ms  ✓ Xorg_xtrans_jll
   2422.7 ms  ✓ Libiconv_jll
   2442.5 ms  ✓ Libffi_jll
   2718.9 ms  ✓ isoband_jll
   2485.8 ms  ✓ Libuuid_jll
   2117.9 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2599.6 ms  ✓ FriBidi_jll
   2386.7 ms  ✓ OpenSpecFun_jll
   1822.9 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   2689.2 ms  ✓ OpenBLASConsistentFPCSR_jll
   2415.7 ms  ✓ SortingAlgorithms
   2186.4 ms  ✓ StructUtils → StructUtilsTablesExt
   2362.6 ms  ✓ CoreMath
   2227.6 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   4481.6 ms  ✓ Gamma
   2682.3 ms  ✓ Pixman_jll
   4762.0 ms  ✓ FFTA
   3306.9 ms  ✓ StructArrays
   4030.6 ms  ✓ QuadGK
   2811.4 ms  ✓ FreeType2_jll
   2863.1 ms  ✓ libdrm_jll
   3100.1 ms  ✓ Rmath
   2598.0 ms  ✓ CRlibm
   2512.3 ms  ✓ libsixel_jll
   2830.2 ms  ✓ OpenEXR_jll
   2612.8 ms  ✓ libvorbis_jll
   2533.2 ms  ✓ Accessors → LinearAlgebraExt
   2671.7 ms  ✓ Accessors → IntervalSetsExt
   5514.8 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2572.7 ms  ✓ SuiteSparse
   3217.6 ms  ✓ Statistics
   2718.5 ms  ✓ WoodburyMatrices
   2501.9 ms  ✓ Adapt → AdaptSparseArraysExt
   2069.0 ms  ✓ Isoband
   2803.4 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2379.0 ms  ✓ Libtiff_jll
   2769.2 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2731.0 ms  ✓ GettextRuntime_jll
   2497.5 ms  ✓ FilePaths
   3987.6 ms  ✓ CodecZstd
   6396.6 ms  ✓ Xorg_libxcb_jll
   2293.8 ms  ✓ StructArrays → StructArraysAdaptExt
   2208.2 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   2417.6 ms  ✓ Accessors → StructArraysExt
   2734.5 ms  ✓ StructArrays → StructArraysSparseArraysExt
   2806.5 ms  ✓ Fontconfig_jll
   4030.0 ms  ✓ FreeType
   5359.4 ms  ✓ HypergeometricFunctions
   4302.1 ms  ✓ PDMats
   3700.2 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   4295.5 ms  ✓ FillArrays → FillArraysStatisticsExt
  30084.2 ms  ✓ StaticArrays
   3407.6 ms  ✓ AxisAlgorithms
   3516.6 ms  ✓ Glib_jll
   2797.1 ms  ✓ Xorg_libX11_jll
  11426.2 ms  ✓ SpecialFunctions
   7873.4 ms  ✓ SignedDistanceFields
   3802.8 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3907.5 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3701.2 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   5628.4 ms  ✓ FillArrays → FillArraysPDMatsExt
   5561.8 ms  ✓ FillArrays → FillArraysStaticArraysExt
  10991.2 ms  ✓ FixedPointNumbers
  11896.3 ms  ✓ IntervalArithmetic
   2773.3 ms  ✓ Xorg_libXrender_jll
  12904.6 ms  ✓ Roots
   4186.7 ms  ✓ StructArrays → StructArraysStaticArraysExt
   6196.6 ms  ✓ Adapt → AdaptStaticArraysExt
  36990.2 ms  ✓ SIMD
   5226.8 ms  ✓ Accessors → StaticArraysExt
   3202.5 ms  ✓ Xorg_libXfixes_jll
  12683.7 ms  ✓ StatsBase
   4197.9 ms  ✓ Xorg_libXext_jll
   3596.9 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   3216.8 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   3691.5 ms  ✓ IntervalArithmetic → IntervalArithmeticIrrationalConstantsExt
   5420.7 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   4003.9 ms  ✓ Roots → RootsChainRulesCoreExt
   4406.6 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   3414.5 ms  ✓ PDMats → StatsBaseExt
   3306.6 ms  ✓ Cairo_jll
   6604.7 ms  ✓ StatsFuns
   6794.8 ms  ✓ ColorTypes
  42897.3 ms  ✓ Automa
   2399.5 ms  ✓ libva_jll
   7526.0 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   2597.4 ms  ✓ Libglvnd_jll
   1603.4 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   1996.6 ms  ✓ HarfBuzz_jll
   2517.1 ms  ✓ libwebp_jll
   3109.5 ms  ✓ QOI
   2093.1 ms  ✓ libass_jll
   2208.9 ms  ✓ Pango_jll
   4303.2 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
   8900.7 ms  ✓ Interpolations
   1500.9 ms  ✓ FFMPEG_jll
   6696.5 ms  ✓ ColorVectorSpace
   7603.4 ms  ✓ ExactPredicates
   1121.9 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
  10593.4 ms  ✓ Colors
  12889.0 ms  ✓ Distributions
   3417.0 ms  ✓ Animations
   3499.7 ms  ✓ Graphics
   4031.4 ms  ✓ OpenEXR
  65132.8 ms  ✓ Unitful
   2971.0 ms  ✓ Unitful → NaNMathExt
   3334.4 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   3522.1 ms  ✓ Unitful → PrintfExt
   3522.5 ms  ✓ Accessors → UnitfulExt
   3673.1 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   5392.8 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   5410.1 ms  ✓ Cairo
   4512.5 ms  ✓ Roots → RootsUnitfulExt
   5808.7 ms  ✓ Interpolations → InterpolationsUnitfulExt
  15599.4 ms  ✓ DelaunayTriangulation
  14920.0 ms  ✓ ColorSchemes
   6881.9 ms  ✓ KernelDensity
  37121.5 ms  ✓ GeometryBasics
   1588.3 ms  ✓ Packing
   1697.1 ms  ✓ GeometryBasics → IntervalSetsExt
   2397.0 ms  ✓ ShaderAbstractions
   3173.9 ms  ✓ FreeTypeAbstraction
   7302.4 ms  ✓ GridLayoutBase
  77814.1 ms  ✓ Parsers
   7514.2 ms  ✓ MathTeXEngine
  12765.9 ms  ✓ PlotUtils
  44816.6 ms  ✓ TiffImages
  35349.8 ms  ✓ ImageCore
   2348.9 ms  ✓ WebP
   2650.9 ms  ✓ Sixel
   2850.3 ms  ✓ JpegTurbo
   3657.8 ms  ✓ ImageBase
  15737.1 ms  ✓ JSON
   5330.2 ms  ✓ PNGFiles
   2143.0 ms  ✓ ImageAxes
   1733.6 ms  ✓ ColorBrewer
    961.6 ms  ✓ ImageMetadata
    957.2 ms  ✓ Netpbm
    384.7 ms  ✓ ImageIO
 102253.0 ms  ✓ Makie
   4396.4 ms  ✓ IntervalArithmetic → IntervalArithmeticMakieExt
  32053.1 ms  ✓ CairoMakie
  257 dependencies successfully precompiled in 251 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 674.32
	System time (seconds): 55.14
	Percent of CPU this job got: 288%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:12.58
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4143964
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 934
	Minor (reclaiming a frame) page faults: 13404367
	Voluntary context switches: 322699
	Involuntary context switches: 215645
	Swaps: 0
	File system inputs: 59784
	File system outputs: 2187624
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
