Precompiling Pkg...
   1563.8 ms  ✓ NetworkOptions
   3794.0 ms  ✓ DocStringExtensions
   4390.7 ms  ✓ Preferences
   7712.9 ms  ✓ AdaptivePredicates
   2997.8 ms  ✓ NaNMath
   2984.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2812.0 ms  ✓ LazyModules
   2804.0 ms  ✓ Ratios
   3210.3 ms  ✓ Extents
   3008.0 ms  ✓ Adapt
   3087.4 ms  ✓ Showoff
   2828.1 ms  ✓ IntervalSets → IntervalSetsRandomExt
   2899.1 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   2894.9 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   7512.6 ms  ✓ InteractiveUtils
   2909.0 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3305.1 ms  ✓ AliasTables
   3017.3 ms  ✓ RelocatableFolders
   3200.8 ms  ✓ Missings
   2600.9 ms  ✓ Compat → CompatLinearAlgebraExt
   4486.8 ms  ✓ Tables
   2976.8 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   3705.9 ms  ✓ LogExpFunctions
   3305.3 ms  ✓ PrecompileTools
  10078.6 ms  ✓ Distributed
   4282.4 ms  ✓ JLLWrappers
  12883.9 ms  ✓ MacroTools
   5194.8 ms  ✓ AxisArrays
   5281.2 ms  ✓ GeoInterface
   3197.9 ms  ✓ PaddedViews
   3220.1 ms  ✓ StackViews
   3190.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   6615.0 ms  ✓ FilePathsBase
  19493.9 ms  ✓ SparseArrays
   3613.9 ms  ✓ OpenSSL_jll
   3997.4 ms  ✓ SharedArrays
   7294.2 ms  ✓ ChainRulesCore
   3401.8 ms  ✓ Libmount_jll
   3585.4 ms  ✓ LLVMOpenMP_jll
   4700.3 ms  ✓ ProgressMeter
   3794.1 ms  ✓ Rmath_jll
   9209.7 ms  ✓ DataStructures
   3529.9 ms  ✓ libpng_jll
   3803.9 ms  ✓ Xorg_libXau_jll
   3620.9 ms  ✓ Imath_jll
   3798.8 ms  ✓ libfdk_aac_jll
   3604.5 ms  ✓ Giflib_jll
   3791.2 ms  ✓ LAME_jll
   3807.7 ms  ✓ LERC_jll
   3914.0 ms  ✓ JpegTurbo_jll
   4016.4 ms  ✓ XZ_jll
   4110.3 ms  ✓ oneTBB_jll
   3786.2 ms  ✓ Xorg_libXdmcp_jll
   3900.5 ms  ✓ libaom_jll
   4381.6 ms  ✓ x265_jll
   4183.7 ms  ✓ Zstd_jll
   3715.7 ms  ✓ Expat_jll
   3792.7 ms  ✓ LZO_jll
   3773.3 ms  ✓ Opus_jll
  17779.5 ms  ✓ Test
   5185.1 ms  ✓ x264_jll
   5299.3 ms  ✓ Xorg_xtrans_jll
   4306.0 ms  ✓ Libiconv_jll
   3801.9 ms  ✓ Libgpg_error_jll
   3686.1 ms  ✓ Xorg_libpthread_stubs_jll
   3617.5 ms  ✓ Libuuid_jll
   3793.2 ms  ✓ FriBidi_jll
   3511.4 ms  ✓ MosaicViews
   3617.8 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   3414.4 ms  ✓ SuiteSparse
   4609.0 ms  ✓ SimpleTraits
   3910.9 ms  ✓ WoodburyMatrices
   3786.9 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3701.3 ms  ✓ Statistics → SparseArraysExt
   3215.2 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   3785.5 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   3601.1 ms  ✓ Pixman_jll
   3599.3 ms  ✓ SortingAlgorithms
   4905.3 ms  ✓ Rmath
   4393.5 ms  ✓ Libtiff_jll
   4895.1 ms  ✓ OpenEXR_jll
   3789.6 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   6375.6 ms  ✓ QuadGK
   4401.1 ms  ✓ XML2_jll
   7698.9 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3894.6 ms  ✓ AxisAlgorithms
   4900.9 ms  ✓ PDMats
   3180.6 ms  ✓ SignedDistanceFields
   6589.3 ms  ✓ FilePathsBase → FilePathsBaseTestExt
   7409.1 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   6901.7 ms  ✓ Libgcrypt_jll
   3294.1 ms  ✓ FillArrays → FillArraysPDMatsExt
  46532.0 ms  ✓ StyledStrings
   2407.6 ms  ✓ XSLT_jll
   3511.8 ms  ✓ FilePaths
   9997.6 ms  ✓ FixedPointNumbers
   8982.5 ms  ✓ StatsBase
  33989.1 ms  ✓ StaticArrays
   2213.2 ms  ✓ Ratios → RatiosFixedPointNumbersExt
  34712.2 ms  ✓ SIMD
   4928.5 ms  ✓ Xorg_libxcb_jll
   2121.6 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2326.5 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   2412.0 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2517.0 ms  ✓ Adapt → AdaptStaticArraysExt
   1589.7 ms  ✓ Xorg_libX11_jll
   1592.4 ms  ✓ StructArrays
   1795.5 ms  ✓ Xorg_libXrender_jll
   2184.7 ms  ✓ Xorg_libXext_jll
   6692.6 ms  ✓ ColorTypes
   1698.8 ms  ✓ StructArrays → StructArraysAdaptExt
   1701.5 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   2187.1 ms  ✓ StructArrays → StructArraysSparseArraysExt
   2185.6 ms  ✓ StructArrays → StructArraysStaticArraysExt
   4168.1 ms  ✓ Interpolations
   1720.7 ms  ✓ Libglvnd_jll
   1269.7 ms  ✓ libwebp_jll
   3199.0 ms  ✓ ColorVectorSpace
   5215.9 ms  ✓ Colors
   2891.5 ms  ✓ Graphics
   3307.2 ms  ✓ Animations
  64105.6 ms  ✓ Unitful
   2588.8 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   2699.8 ms  ✓ Unitful → ConstructionBaseUnitfulExt
  55698.5 ms  ✓ Parsers
   3987.3 ms  ✓ Interpolations → InterpolationsUnitfulExt
  22812.4 ms  ✓ Automa
   1861.0 ms  ✓ JSON
    592.6 ms  ✓ ColorBrewer
  51619.4 ms  ✓ REPL
   1131.6 ms  ✓ UnicodeFun
   4387.9 ms  ✓ Pkg → REPLExt
   2773.6 ms  ✓ Graphite2_jll
   2780.2 ms  ✓ OpenSpecFun_jll
   2864.3 ms  ✓ Bzip2_jll
   2863.2 ms  ✓ Ogg_jll
   2868.8 ms  ✓ EarCut_jll
   2880.8 ms  ✓ isoband_jll
   2961.0 ms  ✓ CRlibm_jll
   2971.3 ms  ✓ FFTW_jll
   2972.9 ms  ✓ Libffi_jll
   3168.4 ms  ✓ Gettext_jll
   3259.7 ms  ✓ libsixel_jll
   4263.6 ms  ✓ LazyArtifacts
   1572.1 ms  ✓ Isoband
   4464.7 ms  ✓ PkgVersion
   1627.0 ms  ✓ FreeType2_jll
   1721.1 ms  ✓ libvorbis_jll
   1709.8 ms  ✓ Glib_jll
   1281.0 ms  ✓ Fontconfig_jll
   1586.6 ms  ✓ FreeType
   1836.9 ms  ✓ IntelOpenMP_jll
   3898.2 ms  ✓ IntervalArithmetic
   1107.6 ms  ✓ Cairo_jll
   4905.5 ms  ✓ SpecialFunctions
   8012.6 ms  ✓ FileIO
   1621.3 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   2579.7 ms  ✓ MKL_jll
   2098.6 ms  ✓ HarfBuzz_jll
   1499.4 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   2506.5 ms  ✓ libass_jll
   2880.9 ms  ✓ Pango_jll
   3953.3 ms  ✓ OpenEXR
   4995.1 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   4674.3 ms  ✓ QOI
  10389.3 ms  ✓ GeometryBasics
   3871.7 ms  ✓ FFMPEG_jll
   4380.5 ms  ✓ HypergeometricFunctions
   5712.2 ms  ✓ Cairo
   4528.9 ms  ✓ Packing
   9712.3 ms  ✓ ExactPredicates
   5420.7 ms  ✓ ShaderAbstractions
  10076.0 ms  ✓ ColorSchemes
   6920.2 ms  ✓ FreeTypeAbstraction
   4589.7 ms  ✓ StatsFuns
   5620.1 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  15033.7 ms  ✓ MakieCore
  19921.6 ms  ✓ FFTW
   8218.0 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
  18098.6 ms  ✓ GridLayoutBase
  13378.1 ms  ✓ DelaunayTriangulation
  13647.5 ms  ✓ MathTeXEngine
   5804.3 ms  ✓ Distributions
  18124.0 ms  ✓ PlotUtils
   1957.1 ms  ✓ Distributions → DistributionsTestExt
   2024.2 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   1165.1 ms  ✓ KernelDensity
  32728.9 ms  ✓ ImageCore
   2406.3 ms  ✓ ImageBase
   2894.0 ms  ✓ WebP
   3269.3 ms  ✓ Sixel
   4143.3 ms  ✓ JpegTurbo
   4255.0 ms  ✓ PNGFiles
   2223.3 ms  ✓ ImageAxes
    968.1 ms  ✓ ImageMetadata
   1513.3 ms  ✓ Netpbm
  61274.6 ms  ✓ TiffImages
    913.2 ms  ✓ ImageIO
  84321.4 ms  ✓ Makie
  27676.5 ms  ✓ CairoMakie
  247 dependencies successfully precompiled in 289 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.1 --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 885.97
	System time (seconds): 62.50
	Percent of CPU this job got: 282%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 5:35.78
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 3935996
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 1076
	Minor (reclaiming a frame) page faults: 15437200
	Voluntary context switches: 336654
	Involuntary context switches: 155759
	Swaps: 0
	File system inputs: 64
	File system outputs: 3966712
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
