nice: cannot set niceness: Permission denied
Precompiling packages...
   1524.5 ms  ✓ Unicode
   3237.6 ms  ✓ Statistics → SparseArraysExt
   3519.1 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3009.3 ms  ✓ SuiteSparse
   3101.1 ms  ✓ Adapt → AdaptSparseArraysExt
   2967.5 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   4217.5 ms  ✓ FilePaths
   4490.0 ms  ✓ FreeType
   3978.3 ms  ✓ Xorg_libX11_jll
   2499.0 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
  13984.4 ms  ✓ ColorTypes
   2185.4 ms  ✓ StructArrays → StructArraysAdaptExt
   2529.5 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   5190.6 ms  ✓ Fontconfig_jll
   5685.4 ms  ✓ Glib_jll
   3271.8 ms  ✓ StructArrays → StructArraysSparseArraysExt
   3318.0 ms  ✓ AxisAlgorithms
  13786.6 ms  ✓ SpecialFunctions
   2824.7 ms  ✓ ColorTypes → StyledStringsExt
   7933.7 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3602.4 ms  ✓ Xorg_libXrender_jll
   4512.2 ms  ✓ PDMats
   3612.1 ms  ✓ Xorg_libXext_jll
  10115.2 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   3363.2 ms  ✓ FillArrays → FillArraysPDMatsExt
   4315.0 ms  ✓ Cairo_jll
   4702.5 ms  ✓ HypergeometricFunctions
   4739.9 ms  ✓ Libglvnd_jll
  15970.7 ms  ✓ IntervalArithmetic
   7189.6 ms  ✓ QOI
   2326.0 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   8796.2 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   2905.4 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   3037.0 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   4284.8 ms  ✓ HarfBuzz_jll
   4696.3 ms  ✓ libwebp_jll
  14715.7 ms  ✓ StatsBase
  14221.6 ms  ✓ ColorVectorSpace
   2499.5 ms  ✓ libass_jll
   3308.5 ms  ✓ Pango_jll
   3006.0 ms  ✓ PDMats → StatsBaseExt
   2478.9 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
  39485.6 ms  ✓ StaticArrays
   4914.9 ms  ✓ FFMPEG_jll
  11713.5 ms  ✓ StatsFuns
   3199.4 ms  ✓ Adapt → AdaptStaticArraysExt
   3408.4 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3423.8 ms  ✓ FillArrays → FillArraysStaticArraysExt
   3504.4 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2579.7 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  23580.4 ms  ✓ Colors
   9920.8 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
  12413.7 ms  ✓ StructArrays → StructArraysStaticArraysExt
  53920.4 ms  ✓ SIMD
   7987.5 ms  ✓ Animations
  13041.3 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
   8523.9 ms  ✓ OpenEXR
  55692.4 ms  ✓ Parsers
  13099.8 ms  ✓ Graphics
  20502.0 ms  ✓ ExactPredicates
  14409.3 ms  ✓ Interpolations
  22408.6 ms  ✓ Distributions
  19759.7 ms  ✓ ColorSchemes
  97518.6 ms  ✓ Unitful
   2588.7 ms  ✓ Unitful → NaNMathExt
   2679.0 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   2791.5 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   2942.8 ms  ✓ Unitful → PrintfExt
   3904.1 ms  ✓ Interpolations → InterpolationsUnitfulExt
  13214.2 ms  ✓ Cairo
   9194.5 ms  ✓ Distributions → DistributionsChainRulesCoreExt
  18397.4 ms  ✓ JSON
   3497.3 ms  ✓ KernelDensity
   2323.1 ms  ✓ ColorBrewer
  18627.7 ms  ✓ DelaunayTriangulation
  47898.4 ms  ✓ GeometryBasics
  37682.5 ms  ✓ Automa
  25638.6 ms  ✓ PlotUtils
   4889.8 ms  ✓ Packing
   5938.9 ms  ✓ ShaderAbstractions
   6192.6 ms  ✓ FreeTypeAbstraction
  17605.2 ms  ✓ GridLayoutBase
  60398.7 ms  ✓ ImageCore
   5607.0 ms  ✓ WebP
   6874.4 ms  ✓ ImageBase
 115114.9 ms  ✓ REPL
   7894.1 ms  ✓ JpegTurbo
   9175.8 ms  ✓ PNGFiles
   1967.9 ms  ✓ UnicodeFun
   2423.8 ms  ✓ ImageAxes
    852.2 ms  ✓ ImageMetadata
   1308.2 ms  ✓ Netpbm
   7403.8 ms  ✓ Pkg → REPLExt
  71435.0 ms  ✓ TiffImages
   4124.7 ms  ✓ Sixel
    842.5 ms  ✓ ImageIO
   6750.9 ms  ✓ MathTeXEngine
 126365.7 ms  ✓ Makie
  43189.9 ms  ✓ CairoMakie
  243 dependencies successfully precompiled in 340 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.5 --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 1098.27
	System time (seconds): 64.55
	Percent of CPU this job got: 289%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 6:42.07
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4291492
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 915
	Minor (reclaiming a frame) page faults: 16636365
	Voluntary context switches: 41014
	Involuntary context switches: 102324
	Swaps: 0
	File system inputs: 0
	File system outputs: 3036976
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
