Precompiling Pkg...
   1578.8 ms  ✓ NetworkOptions
   2377.0 ms  ✓ StructArrays → StructArraysSparseArraysExt
   6435.8 ms  ✓ ColorVectorSpace
   2570.4 ms  ✓ StructArrays → StructArraysStaticArraysExt
   4208.8 ms  ✓ Interpolations
   8732.1 ms  ✓ Colors
   1063.8 ms  ✓ Graphics
   1262.6 ms  ✓ Animations
  61179.3 ms  ✓ Unitful
   2325.1 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   2896.8 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   3825.5 ms  ✓ Interpolations → InterpolationsUnitfulExt
  44106.0 ms  ✓ Parsers
   1795.1 ms  ✓ JSON
   1758.1 ms  ✓ ColorBrewer
  20102.1 ms  ✓ Automa
  50566.6 ms  ✓ REPL
   1135.1 ms  ✓ UnicodeFun
   4443.7 ms  ✓ Pkg → REPLExt
   2755.3 ms  ✓ isoband_jll
   2764.7 ms  ✓ Bzip2_jll
   2771.9 ms  ✓ Graphite2_jll
   2781.2 ms  ✓ CRlibm_jll
   2877.6 ms  ✓ Libffi_jll
   2970.6 ms  ✓ FFTW_jll
   2973.8 ms  ✓ Ogg_jll
   2982.9 ms  ✓ OpenSpecFun_jll
   2988.9 ms  ✓ EarCut_jll
   3079.7 ms  ✓ libsixel_jll
   3277.2 ms  ✓ Gettext_jll
   3986.5 ms  ✓ LazyArtifacts
   1419.6 ms  ✓ Isoband
   1703.2 ms  ✓ FreeType2_jll
   4573.8 ms  ✓ PkgVersion
   1894.2 ms  ✓ libvorbis_jll
   1793.4 ms  ✓ Glib_jll
   1345.2 ms  ✓ Fontconfig_jll
   2081.0 ms  ✓ IntelOpenMP_jll
   1702.1 ms  ✓ FreeType
   3930.0 ms  ✓ IntervalArithmetic
   1070.9 ms  ✓ Cairo_jll
   4282.6 ms  ✓ SpecialFunctions
   1678.7 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   8399.6 ms  ✓ FileIO
   2420.7 ms  ✓ MKL_jll
   1818.6 ms  ✓ HarfBuzz_jll
   2191.7 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   2102.8 ms  ✓ Pango_jll
   2509.0 ms  ✓ libass_jll
   4700.0 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   4667.9 ms  ✓ QOI
  10368.7 ms  ✓ GeometryBasics
   5258.1 ms  ✓ OpenEXR
   3903.7 ms  ✓ FFMPEG_jll
   3914.0 ms  ✓ HypergeometricFunctions
   5197.8 ms  ✓ Cairo
   3834.8 ms  ✓ Packing
   4094.3 ms  ✓ ShaderAbstractions
  10568.5 ms  ✓ ExactPredicates
   6219.9 ms  ✓ FreeTypeAbstraction
  10301.5 ms  ✓ ColorSchemes
   4911.6 ms  ✓ StatsFuns
   2985.2 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   7563.7 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
  15225.1 ms  ✓ MakieCore
  21600.1 ms  ✓ FFTW
  18400.9 ms  ✓ GridLayoutBase
  13035.5 ms  ✓ DelaunayTriangulation
  14250.0 ms  ✓ MathTeXEngine
   6471.1 ms  ✓ Distributions
   1733.1 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   1833.4 ms  ✓ Distributions → DistributionsTestExt
  18144.0 ms  ✓ PlotUtils
   1881.3 ms  ✓ KernelDensity
  32260.4 ms  ✓ ImageCore
   2435.0 ms  ✓ ImageBase
   2895.6 ms  ✓ WebP
   3337.5 ms  ✓ Sixel
   4166.6 ms  ✓ PNGFiles
   4218.6 ms  ✓ JpegTurbo
   2234.0 ms  ✓ ImageAxes
    972.2 ms  ✓ ImageMetadata
   1476.9 ms  ✓ Netpbm
  60622.6 ms  ✓ TiffImages
    903.9 ms  ✓ ImageIO
  84420.0 ms  ✓ Makie
  27961.2 ms  ✓ CairoMakie
  247 dependencies successfully precompiled in 287 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.1 --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 880.46
	System time (seconds): 62.01
	Percent of CPU this job got: 282%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 5:33.56
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 3921044
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 1088
	Minor (reclaiming a frame) page faults: 15414074
	Voluntary context switches: 337849
	Involuntary context switches: 144667
	Swaps: 0
	File system inputs: 0
	File system outputs: 3966584
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
