nice: cannot set niceness: Permission denied
Precompiling packages...
   2146.1 ms  ✓ RangeArrays
   1917.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2420.7 ms  ✓ StaticArraysCore
   3096.4 ms  ✓ Adapt
   2820.5 ms  ✓ MappedArrays
   2788.6 ms  ✓ NaNMath
   6792.2 ms  ✓ IrrationalConstants
  12603.6 ms  ✓ BaseDirs
  10491.0 ms  ✓ MacroTools
   5999.6 ms  ✓ UnicodeFun
   3597.0 ms  ✓ Primes
   2118.6 ms  ✓ Showoff
   6574.2 ms  ✓ AdaptivePredicates
    ConstructionBaseLinearAlgebraExt Being precompiled by another process (pid: 281595, pidfile: /workdir/depot/compiled/v1.10/ConstructionBaseLinearAlgebraExt/mc2IG_9L19s.ji.pidfile)
   2199.5 ms  ✓ PrecompileTools
   2121.2 ms  ✓ Compat → CompatLinearAlgebraExt
   2706.0 ms  ✓ PaddedViews
   2479.1 ms  ✓ JLLWrappers
   1983.6 ms  ✓ Ratios
   2016.6 ms  ✓ AliasTables
   2899.7 ms  ✓ ComputePipeline
   1703.1 ms  ✓ StackViews
    IntervalSetsRandomExt Being precompiled by another process (pid: 281595, pidfile: /workdir/depot/compiled/v1.10/IntervalSetsRandomExt/GqezX_9L19s.ji.pidfile)
   2613.9 ms  ✓ SharedArrays
   1900.0 ms  ✓ RelocatableFolders
   3001.0 ms  ✓ SimpleTraits
   1805.5 ms  ✓ StructUtils → StructUtilsStaticArraysCoreExt
   2099.2 ms  ✓ Missings
   2986.1 ms  ✓ ProgressMeter
   1789.4 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   3025.7 ms  ✓ Tables
   6202.7 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   2393.3 ms  ✓ LogExpFunctions
   2706.8 ms  ✓ FilePathsBase
   2000.8 ms  ✓ OpenSSL_jll
   1706.2 ms  ✓ Graphite2_jll
   6376.8 ms  ✓ DataStructures
   2188.7 ms  ✓ CoreMath_jll
   4013.1 ms  ✓ FFTA
   1996.7 ms  ✓ Libmount_jll
   2215.1 ms  ✓ Bzip2_jll
   4495.9 ms  ✓ ChainRulesCore
   2384.9 ms  ✓ LLVMOpenMP_jll
   2289.2 ms  ✓ Xorg_libpciaccess_jll
   2421.2 ms  ✓ Rmath_jll
   2583.0 ms  ✓ Xorg_libXau_jll
   2298.9 ms  ✓ libfdk_aac_jll
   2392.5 ms  ✓ libpng_jll
  10500.9 ms  ✓ FileIO
   2084.0 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2296.5 ms  ✓ Imath_jll
   2411.7 ms  ✓ Giflib_jll
  12483.7 ms  ✓ SparseArrays
  10225.0 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2529.8 ms  ✓ LERC_jll
   2306.8 ms  ✓ EarCut_jll
   2299.8 ms  ✓ CRlibm_jll
   2309.6 ms  ✓ JpegTurbo_jll
   2699.2 ms  ✓ XZ_jll
   2210.5 ms  ✓ Ogg_jll
   2182.5 ms  ✓ Xorg_libXdmcp_jll
   2181.6 ms  ✓ x265_jll
   2185.7 ms  ✓ x264_jll
   2119.4 ms  ✓ libaom_jll
  10583.7 ms  ✓ IntervalSets → IntervalSetsRandomExt
   2278.3 ms  ✓ Opus_jll
   2108.0 ms  ✓ Xorg_xtrans_jll
   2669.7 ms  ✓ Zstd_jll
   2501.7 ms  ✓ Libiconv_jll
   3195.0 ms  ✓ StructArrays
   2287.8 ms  ✓ isoband_jll
   2600.0 ms  ✓ Libffi_jll
   2303.7 ms  ✓ Libuuid_jll
   2426.4 ms  ✓ FriBidi_jll
   2402.3 ms  ✓ OpenBLASConsistentFPCSR_jll
   1813.6 ms  ✓ StructUtils → StructUtilsTablesExt
   2021.7 ms  ✓ MosaicViews
   2777.1 ms  ✓ OpenSpecFun_jll
   1906.3 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   2206.7 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2104.1 ms  ✓ CoreMath
   2477.6 ms  ✓ SortingAlgorithms
   2505.4 ms  ✓ FreeType2_jll
   2288.8 ms  ✓ LAME_jll
   2174.6 ms  ✓ libdrm_jll
   2499.7 ms  ✓ Pixman_jll
   3976.6 ms  ✓ QuadGK
   2811.6 ms  ✓ OpenEXR_jll
   3293.1 ms  ✓ Rmath
   3301.0 ms  ✓ Statistics
   2786.6 ms  ✓ WoodburyMatrices
   2804.7 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2592.9 ms  ✓ Adapt → AdaptSparseArraysExt
   2501.2 ms  ✓ Expat_jll
   2596.7 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   5403.5 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2892.1 ms  ✓ CRlibm
   2510.7 ms  ✓ libsixel_jll
   2399.4 ms  ✓ libvorbis_jll
   2228.1 ms  ✓ Libtiff_jll
   3191.7 ms  ✓ AxisArrays
   2411.0 ms  ✓ GettextRuntime_jll
   2117.3 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   1813.9 ms  ✓ Isoband
   2093.5 ms  ✓ SuiteSparse
   3516.2 ms  ✓ CodecZstd
   2303.3 ms  ✓ FilePaths
   5806.3 ms  ✓ Xorg_libxcb_jll
   2873.3 ms  ✓ FreeType
   2199.2 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   2508.3 ms  ✓ FillArrays → FillArraysStatisticsExt
   2400.1 ms  ✓ AxisAlgorithms
   2483.5 ms  ✓ Fontconfig_jll
  10421.6 ms  ✓ SpecialFunctions
   1890.8 ms  ✓ Xorg_libX11_jll
   2316.6 ms  ✓ Glib_jll
   5406.6 ms  ✓ SignedDistanceFields
   3380.7 ms  ✓ PDMats
   2276.6 ms  ✓ Xorg_libXrender_jll
   2384.2 ms  ✓ Xorg_libXfixes_jll
   3600.3 ms  ✓ Xorg_libXext_jll
   7603.9 ms  ✓ StatsBase
  27512.6 ms  ✓ StaticArrays
   4429.0 ms  ✓ HypergeometricFunctions
   3199.9 ms  ✓ FillArrays → FillArraysPDMatsExt
StructArraysAdaptExt Waiting for background task / IO / timer.
[pid 283559] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x97ec880->0x7db758580850
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
StructArraysSparseArraysExt Waiting for background task / IO / timer.
[pid 283562] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x3ecb3350->0x73fbf0b22140
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
  10187.2 ms  ✓ FixedPointNumbers
   6400.6 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   8280.3 ms  ✓ IntervalArithmetic
  29815.8 ms  ✓ SIMD
   2695.5 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   2896.6 ms  ✓ FillArrays → FillArraysStaticArraysExt
   3214.2 ms  ✓ PDMats → StatsBaseExt
   3231.1 ms  ✓ Cairo_jll
   3406.7 ms  ✓ libva_jll
   3307.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2728.2 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3799.5 ms  ✓ Libglvnd_jll
   2391.0 ms  ✓ Adapt → AdaptStaticArraysExt
   2989.2 ms  ✓ StructArrays → StructArraysStaticArraysExt
   2292.8 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   2601.1 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   2874.9 ms  ✓ HarfBuzz_jll
   3008.9 ms  ✓ libwebp_jll
   6802.5 ms  ✓ StatsFuns
   6592.7 ms  ✓ ColorTypes
   2816.9 ms  ✓ libass_jll
   3714.4 ms  ✓ Pango_jll
  37813.6 ms  ✓ Parsers
   1403.4 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  22184.2 ms  ✓ StructArrays → StructArraysSparseArraysExt
  22315.1 ms  ✓ StructArrays → StructArraysAdaptExt
   6733.9 ms  ✓ Interpolations
   2804.5 ms  ✓ QOI
   4032.9 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
   2112.9 ms  ✓ FFMPEG_jll
IntervalArithmeticIntervalSetsExt Waiting for background task / IO / timer.
[pid 284390] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x979ae00->0x781ec8387b80
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
IntervalArithmeticSparseArraysExt Waiting for background task / IO / timer.
[pid 284388] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x23ef5e20->0x7ac11e8a19f0
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
IntervalArithmeticIrrationalConstantsExt Waiting for background task / IO / timer.
[pid 284412] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x2bf9d5b0->0x7852812aba90
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   9276.2 ms  ✓ ExactPredicates
   6489.4 ms  ✓ ColorVectorSpace
   1998.5 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   8389.3 ms  ✓ JSON
  11187.4 ms  ✓ Distributions
  10096.9 ms  ✓ Colors
   3186.0 ms  ✓ Graphics
   3307.6 ms  ✓ Animations
   3600.9 ms  ✓ OpenEXR
   4027.6 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   4500.3 ms  ✓ ColorBrewer
  22485.5 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
  23226.9 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
  23381.2 ms  ✓ IntervalArithmetic → IntervalArithmeticIrrationalConstantsExt
  13299.4 ms  ✓ DelaunayTriangulation
  63630.5 ms  ✓ Unitful
   6726.6 ms  ✓ Cairo
   6688.6 ms  ✓ KernelDensity
  29770.6 ms  ✓ Automa
   4016.0 ms  ✓ Unitful → PrintfExt
  13344.3 ms  ✓ ColorSchemes
  31961.4 ms  ✓ GeometryBasics
   1167.5 ms  ✓ Packing
   1593.4 ms  ✓ ShaderAbstractions
   2394.5 ms  ✓ FreeTypeAbstraction
   5560.3 ms  ✓ GridLayoutBase
NaNMathExt Waiting for background task / IO / timer.
[pid 285229] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x4043fd00->0x7800397dc670
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
ConstructionBaseUnitfulExt Waiting for background task / IO / timer.
[pid 285227] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x15b71a0->0x7b0eca7d8490
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   6175.8 ms  ✓ MathTeXEngine
InverseFunctionsUnitfulExt Waiting for background task / IO / timer.
[pid 285232] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x32822a80->0x79a9f15d8520
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
InterpolationsUnitfulExt Waiting for background task / IO / timer.
[pid 285236] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x2b95230->0x7b8d33c728c0
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
  10169.7 ms  ✓ PlotUtils
  40877.9 ms  ✓ TiffImages
  30988.2 ms  ✓ ImageCore
  22538.3 ms  ✓ Unitful → ConstructionBaseUnitfulExt
  22617.5 ms  ✓ Unitful → NaNMathExt
  23438.8 ms  ✓ Interpolations → InterpolationsUnitfulExt
  23626.1 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   1654.6 ms  ✓ WebP
   1724.0 ms  ✓ JpegTurbo
   1733.1 ms  ✓ Sixel
   1994.3 ms  ✓ ImageBase
   3034.4 ms  ✓ PNGFiles
   1572.2 ms  ✓ ImageAxes
    928.1 ms  ✓ ImageMetadata
    956.4 ms  ✓ Netpbm
    377.2 ms  ✓ ImageIO
  95714.0 ms  ✓ Makie
  34491.6 ms  ✓ CairoMakie
  246 dependencies successfully precompiled in 231 seconds
  9 dependencies had output during precompilation:
┌ Unitful → NaNMathExt
│  [pid 285229] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x4043fd00->0x7800397dc670
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ StructArrays → StructArraysAdaptExt
│  [pid 283559] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x97ec880->0x7db758580850
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ IntervalArithmetic → IntervalArithmeticSparseArraysExt
│  [pid 284388] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x23ef5e20->0x7ac11e8a19f0
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ Unitful → ConstructionBaseUnitfulExt
│  [pid 285227] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x15b71a0->0x7b0eca7d8490
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ Unitful → InverseFunctionsUnitfulExt
│  [pid 285232] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x32822a80->0x79a9f15d8520
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
│  [pid 284390] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x979ae00->0x781ec8387b80
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ IntervalArithmetic → IntervalArithmeticIrrationalConstantsExt
│  [pid 284412] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x2bf9d5b0->0x7852812aba90
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ Interpolations → InterpolationsUnitfulExt
│  [pid 285236] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x2b95230->0x7b8d33c728c0
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ StructArrays → StructArraysSparseArraysExt
│  [pid 283562] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x3ecb3350->0x73fbf0b22140
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 604.26
	System time (seconds): 51.67
	Percent of CPU this job got: 282%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:52.39
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 3935596
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 796
	Minor (reclaiming a frame) page faults: 12792117
	Voluntary context switches: 306676
	Involuntary context switches: 158963
	Swaps: 0
	File system inputs: 0
	File system outputs: 2619112
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
