nice: cannot set niceness: Permission denied
Precompiling packages...
   2028.7 ms  ✓ StatsAPI
   2492.9 ms  ✓ libfdk_aac_jll
   2432.6 ms  ✓ Imath_jll
   5796.0 ms  ✓ ChainRulesCore
   2488.9 ms  ✓ Giflib_jll
   2576.8 ms  ✓ LAME_jll
   2798.8 ms  ✓ LERC_jll
   2888.0 ms  ✓ EarCut_jll
   2795.2 ms  ✓ CRlibm_jll
   2817.1 ms  ✓ XZ_jll
   3094.7 ms  ✓ JpegTurbo_jll
   2684.3 ms  ✓ Xorg_libXdmcp_jll
   2799.9 ms  ✓ Ogg_jll
   2810.3 ms  ✓ x265_jll
   3000.6 ms  ✓ x264_jll
  12817.4 ms  ✓ FileIO
   3107.3 ms  ✓ libaom_jll
  16298.9 ms  ✓ SparseArrays
   2611.1 ms  ✓ Expat_jll
   3094.0 ms  ✓ Zstd_jll
   2704.6 ms  ✓ LZO_jll
   2499.0 ms  ✓ Opus_jll
   2507.3 ms  ✓ Xorg_xtrans_jll
   2522.8 ms  ✓ Libiconv_jll
   2520.0 ms  ✓ Libffi_jll
   2501.0 ms  ✓ isoband_jll
   2398.7 ms  ✓ Libuuid_jll
   2521.0 ms  ✓ FriBidi_jll
   2480.9 ms  ✓ OpenBLASConsistentFPCSR_jll
   2096.2 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   1999.5 ms  ✓ StructUtils → StructUtilsTablesExt
   2610.9 ms  ✓ OpenSpecFun_jll
   2104.5 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2079.8 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   3400.5 ms  ✓ AxisArrays
   2401.8 ms  ✓ Pixman_jll
   2390.4 ms  ✓ SortingAlgorithms
   2577.0 ms  ✓ FreeType2_jll
   3706.1 ms  ✓ StructArrays
   2288.1 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   3125.5 ms  ✓ Rmath
   2908.9 ms  ✓ OpenEXR_jll
   4013.6 ms  ✓ QuadGK
   2679.0 ms  ✓ libsixel_jll
   2905.4 ms  ✓ CRlibm
   2392.4 ms  ✓ SuiteSparse
   2683.3 ms  ✓ libvorbis_jll
   2896.4 ms  ✓ WoodburyMatrices
   2408.7 ms  ✓ Adapt → AdaptSparseArraysExt
   3095.6 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2503.0 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   3417.3 ms  ✓ Statistics
   1900.3 ms  ✓ Isoband
   2599.0 ms  ✓ Libtiff_jll
   5800.0 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2641.1 ms  ✓ GettextRuntime_jll
   2510.8 ms  ✓ FilePaths
   2716.7 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   2982.3 ms  ✓ Fontconfig_jll
   2584.1 ms  ✓ AxisAlgorithms
   7101.7 ms  ✓ Xorg_libxcb_jll
   3682.9 ms  ✓ FreeType
   2613.0 ms  ✓ FillArrays → FillArraysStatisticsExt
   3688.4 ms  ✓ PDMats
   3100.9 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   2005.2 ms  ✓ StructArrays → StructArraysAdaptExt
   2497.2 ms  ✓ StructArrays → StructArraysSparseArraysExt
   2711.0 ms  ✓ Glib_jll
   2122.3 ms  ✓ Xorg_libX11_jll
   5289.1 ms  ✓ SignedDistanceFields
   2101.6 ms  ✓ FillArrays → FillArraysPDMatsExt
   1201.7 ms  ✓ Xorg_libXrender_jll
   1576.8 ms  ✓ Xorg_libXext_jll
   7303.4 ms  ✓ IntervalArithmetic
   9404.8 ms  ✓ SpecialFunctions
  27523.7 ms  ✓ StaticArrays
   8797.9 ms  ✓ FixedPointNumbers
   3004.9 ms  ✓ Cairo_jll
   2913.9 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   3304.1 ms  ✓ Libglvnd_jll
   7976.0 ms  ✓ StatsBase
   3172.5 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3117.9 ms  ✓ FillArrays → FillArraysStaticArraysExt
   3376.6 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3703.9 ms  ✓ Adapt → AdaptStaticArraysExt
   4866.2 ms  ✓ HypergeometricFunctions
   3708.3 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   5307.4 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3790.9 ms  ✓ HarfBuzz_jll
   3869.2 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   3808.7 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   3192.0 ms  ✓ libwebp_jll
  33432.3 ms  ✓ SIMD
   3141.9 ms  ✓ PDMats → StatsBaseExt
   7590.9 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   2993.1 ms  ✓ StructArrays → StructArraysStaticArraysExt
   2107.4 ms  ✓ libass_jll
   6797.6 ms  ✓ ColorTypes
   2399.7 ms  ✓ Pango_jll
   4579.2 ms  ✓ FFMPEG_jll
   6993.8 ms  ✓ StatsFuns
   5206.0 ms  ✓ QOI
   9326.2 ms  ✓ Interpolations
   1893.2 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  41109.5 ms  ✓ Parsers
  11806.4 ms  ✓ ExactPredicates
   3812.5 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
   8784.4 ms  ✓ ColorVectorSpace
   1130.2 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
  12420.4 ms  ✓ Colors
   7585.8 ms  ✓ JSON
   2412.5 ms  ✓ Animations
   2890.8 ms  ✓ Graphics
   2915.8 ms  ✓ OpenEXR
  12190.4 ms  ✓ Distributions
   9990.8 ms  ✓ DelaunayTriangulation
   3484.6 ms  ✓ ColorBrewer
   3306.5 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   5487.1 ms  ✓ Cairo
  64206.0 ms  ✓ Unitful
   5895.0 ms  ✓ KernelDensity
  13908.7 ms  ✓ ColorSchemes
   4290.3 ms  ✓ Unitful → PrintfExt
  34798.7 ms  ✓ GeometryBasics
  28424.1 ms  ✓ Automa
   1399.5 ms  ✓ Unitful → NaNMathExt
   1691.0 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   1694.1 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   2267.4 ms  ✓ Interpolations → InterpolationsUnitfulExt
   1924.8 ms  ✓ Packing
   2405.9 ms  ✓ ShaderAbstractions
   3004.3 ms  ✓ FreeTypeAbstraction
   6365.4 ms  ✓ GridLayoutBase
   5783.4 ms  ✓ MathTeXEngine
  10794.7 ms  ✓ PlotUtils
  32230.1 ms  ✓ ImageCore
  44974.5 ms  ✓ TiffImages
   1453.1 ms  ✓ WebP
   1473.8 ms  ✓ Sixel
   1503.2 ms  ✓ JpegTurbo
   1754.5 ms  ✓ ImageBase
   2793.4 ms  ✓ PNGFiles
   1529.5 ms  ✓ ImageAxes
    909.3 ms  ✓ ImageMetadata
    929.5 ms  ✓ Netpbm
    383.3 ms  ✓ ImageIO
  93615.4 ms  ✓ Makie
  33340.6 ms  ✓ CairoMakie
  238 dependencies successfully precompiled in 228 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 598.26
	System time (seconds): 52.42
	Percent of CPU this job got: 284%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:48.84
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 3818028
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 835
	Minor (reclaiming a frame) page faults: 12445944
	Voluntary context switches: 273907
	Involuntary context switches: 161017
	Swaps: 0
	File system inputs: 1472
	File system outputs: 2586576
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
