Precompiling Pkg...
   1510.4 ms  ✓ Zlib_jll
   4104.5 ms  ✓ oneTBB_jll
   3707.3 ms  ✓ x264_jll
   4271.3 ms  ✓ JpegTurbo_jll
   3900.2 ms  ✓ libaom_jll
   4083.7 ms  ✓ Zstd_jll
   3804.4 ms  ✓ LZO_jll
   3781.9 ms  ✓ Opus_jll
   3980.0 ms  ✓ Xorg_xtrans_jll
   4897.7 ms  ✓ Expat_jll
   3793.6 ms  ✓ FriBidi_jll
   4082.7 ms  ✓ Libgpg_error_jll
   4111.4 ms  ✓ Xorg_libpthread_stubs_jll
   4489.6 ms  ✓ Libuuid_jll
   4909.5 ms  ✓ Libiconv_jll
  18586.4 ms  ✓ Test
   3389.6 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   4105.8 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   3806.6 ms  ✓ SortingAlgorithms
   4013.5 ms  ✓ Pixman_jll
   3485.4 ms  ✓ SuiteSparse
   4999.0 ms  ✓ Rmath
   3906.0 ms  ✓ WoodburyMatrices
   4783.3 ms  ✓ OpenEXR_jll
   3906.4 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3608.5 ms  ✓ Statistics → SparseArraysExt
   6123.6 ms  ✓ QuadGK
   3902.1 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   8023.2 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3987.4 ms  ✓ Libtiff_jll
   3997.0 ms  ✓ Libgcrypt_jll
   3691.6 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   4104.1 ms  ✓ XML2_jll
   3706.2 ms  ✓ AxisAlgorithms
   3383.8 ms  ✓ SignedDistanceFields
   5013.6 ms  ✓ PDMats
   6291.4 ms  ✓ FilePathsBase → FilePathsBaseTestExt
   7018.1 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   4418.2 ms  ✓ XSLT_jll
   3698.0 ms  ✓ FillArrays → FillArraysPDMatsExt
   3435.9 ms  ✓ FilePaths
  45423.1 ms  ✓ StyledStrings
   9681.1 ms  ✓ FixedPointNumbers
   8690.7 ms  ✓ StatsBase
   3476.8 ms  ✓ Xorg_libxcb_jll
    912.5 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   1110.0 ms  ✓ Xorg_libX11_jll
   1892.3 ms  ✓ Xorg_libXrender_jll
   1997.6 ms  ✓ Xorg_libXext_jll
  23892.8 ms  ✓ StaticArrays
   5913.6 ms  ✓ ColorTypes
   3715.6 ms  ✓ Libglvnd_jll
  26929.4 ms  ✓ SIMD
   3186.5 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3188.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3272.8 ms  ✓ Adapt → AdaptStaticArraysExt
   3391.8 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   1773.6 ms  ✓ libwebp_jll
   2002.7 ms  ✓ StructArrays
   1916.6 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   2022.6 ms  ✓ StructArrays → StructArraysAdaptExt
   5623.3 ms  ✓ ColorVectorSpace
   2408.3 ms  ✓ StructArrays → StructArraysStaticArraysExt
   2409.7 ms  ✓ StructArrays → StructArraysSparseArraysExt
   4610.6 ms  ✓ Interpolations
   7625.3 ms  ✓ Colors
    972.9 ms  ✓ Graphics
    997.2 ms  ✓ Animations
  59151.6 ms  ✓ Unitful
   1533.3 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   1946.2 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   3022.4 ms  ✓ Interpolations → InterpolationsUnitfulExt
  43040.2 ms  ✓ Parsers
  19056.6 ms  ✓ Automa
   2065.8 ms  ✓ JSON
    594.0 ms  ✓ ColorBrewer
  49802.6 ms  ✓ REPL
   1132.9 ms  ✓ UnicodeFun
   4367.6 ms  ✓ Pkg → REPLExt
   2505.1 ms  ✓ Bzip2_jll
   2791.2 ms  ✓ OpenSpecFun_jll
   3007.1 ms  ✓ Ogg_jll
   3007.7 ms  ✓ CRlibm_jll
   3083.7 ms  ✓ Graphite2_jll
   3086.9 ms  ✓ EarCut_jll
   3101.1 ms  ✓ isoband_jll
   3100.6 ms  ✓ FFTW_jll
   3101.2 ms  ✓ libsixel_jll
   3110.1 ms  ✓ Libffi_jll
   3208.1 ms  ✓ Gettext_jll
   4288.5 ms  ✓ PkgVersion
   4392.7 ms  ✓ LazyArtifacts
   1898.6 ms  ✓ FreeType2_jll
   1593.8 ms  ✓ Isoband
   1688.8 ms  ✓ libvorbis_jll
   1805.8 ms  ✓ Glib_jll
   1329.4 ms  ✓ Fontconfig_jll
   1722.7 ms  ✓ FreeType
   1835.5 ms  ✓ IntelOpenMP_jll
   1076.1 ms  ✓ Cairo_jll
   3821.4 ms  ✓ IntervalArithmetic
   4812.7 ms  ✓ SpecialFunctions
   8196.1 ms  ✓ FileIO
   1688.6 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   1992.8 ms  ✓ HarfBuzz_jll
   2598.1 ms  ✓ MKL_jll
   1678.2 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   1887.5 ms  ✓ libass_jll
   3082.1 ms  ✓ Pango_jll
   5207.8 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   9920.0 ms  ✓ GeometryBasics
   5598.4 ms  ✓ QOI
   5695.6 ms  ✓ OpenEXR
   3699.8 ms  ✓ FFMPEG_jll
   5122.3 ms  ✓ Cairo
   4078.8 ms  ✓ ShaderAbstractions
   4570.4 ms  ✓ HypergeometricFunctions
   4399.0 ms  ✓ Packing
  10466.7 ms  ✓ ExactPredicates
   9894.2 ms  ✓ ColorSchemes
   6681.7 ms  ✓ FreeTypeAbstraction
   4521.7 ms  ✓ StatsFuns
  14879.8 ms  ✓ MakieCore
   5989.7 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   8322.2 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
  21575.3 ms  ✓ FFTW
  18516.8 ms  ✓ GridLayoutBase
  12618.5 ms  ✓ DelaunayTriangulation
  13952.8 ms  ✓ MathTeXEngine
   5405.4 ms  ✓ Distributions
  18322.9 ms  ✓ PlotUtils
   2154.5 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   2161.9 ms  ✓ Distributions → DistributionsTestExt
   1197.1 ms  ✓ KernelDensity
  32603.4 ms  ✓ ImageCore
   2410.4 ms  ✓ ImageBase
   2925.8 ms  ✓ WebP
   3287.6 ms  ✓ Sixel
   4125.1 ms  ✓ JpegTurbo
   4253.9 ms  ✓ PNGFiles
   2258.7 ms  ✓ ImageAxes
    945.3 ms  ✓ ImageMetadata
   1477.5 ms  ✓ Netpbm
  60916.7 ms  ✓ TiffImages
    919.9 ms  ✓ ImageIO
  85554.4 ms  ✓ Makie
  28099.0 ms  ✓ CairoMakie
  247 dependencies successfully precompiled in 287 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.1 --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 878.79
	System time (seconds): 62.15
	Percent of CPU this job got: 281%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 5:34.30
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 3922384
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 1093
	Minor (reclaiming a frame) page faults: 15403529
	Voluntary context switches: 338155
	Involuntary context switches: 141223
	Swaps: 0
	File system inputs: 0
	File system outputs: 3961448
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
