nice: cannot set niceness: Permission denied
Precompiling packages...
   2101.8 ms  ✓ RangeArrays
   2989.9 ms  ✓ Libuuid_jll
  12380.5 ms  ✓ FileIO
  14305.0 ms  ✓ SparseArrays
   2691.9 ms  ✓ OpenSpecFun_jll
   2288.1 ms  ✓ StructUtils → StructUtilsStaticArraysCoreExt
   1978.8 ms  ✓ MosaicViews
   4209.9 ms  ✓ MuladdMacro
   1817.4 ms  ✓ StructUtils → StructUtilsTablesExt
   3599.0 ms  ✓ AxisArrays
   1791.9 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   1929.1 ms  ✓ CoreMath
   3379.7 ms  ✓ StructArrays
   3915.0 ms  ✓ FilePathsBase
   2300.2 ms  ✓ Pixman_jll
   2188.5 ms  ✓ FreeType2_jll
   2490.8 ms  ✓ libdrm_jll
   4510.8 ms  ✓ Gamma
   2494.8 ms  ✓ x264_jll
   3090.6 ms  ✓ Rmath
   5798.2 ms  ✓ ChainRulesCore
   2331.1 ms  ✓ OpenEXR_jll
   2900.4 ms  ✓ CRlibm
   4224.8 ms  ✓ QuadGK
   3010.5 ms  ✓ libsixel_jll
   2625.1 ms  ✓ libvorbis_jll
   1990.9 ms  ✓ Isoband
   8825.8 ms  ✓ Accessors
   2692.1 ms  ✓ Libtiff_jll
   2608.1 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2978.3 ms  ✓ GettextRuntime_jll
   3900.9 ms  ✓ CodecZstd
   2507.2 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3013.8 ms  ✓ Statistics
   2898.5 ms  ✓ WoodburyMatrices
   2479.8 ms  ✓ Adapt → AdaptSparseArraysExt
   2096.0 ms  ✓ StructArrays → StructArraysAdaptExt
   2795.1 ms  ✓ StructArrays → StructArraysSparseArraysExt
   2613.2 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   6311.0 ms  ✓ Xorg_libxcb_jll
   2290.0 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   2112.5 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   4293.1 ms  ✓ FFTA
   3007.7 ms  ✓ Fontconfig_jll
   3389.1 ms  ✓ FreeType
   2405.2 ms  ✓ SuiteSparse
   2275.6 ms  ✓ Accessors → StructArraysExt
   2510.9 ms  ✓ Accessors → LinearAlgebraExt
   2387.3 ms  ✓ Accessors → IntervalSetsExt
   4678.9 ms  ✓ HypergeometricFunctions
   2800.5 ms  ✓ Glib_jll
   5782.8 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2591.6 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   2708.1 ms  ✓ FillArrays → FillArraysStatisticsExt
   2121.7 ms  ✓ Xorg_libX11_jll
   3009.7 ms  ✓ AxisAlgorithms
   2605.7 ms  ✓ FilePaths
  10979.8 ms  ✓ SpecialFunctions
   2469.6 ms  ✓ Xorg_libXext_jll
   2002.3 ms  ✓ Xorg_libXfixes_jll
   6703.8 ms  ✓ SignedDistanceFields
   2889.3 ms  ✓ Xorg_libXrender_jll
   3332.7 ms  ✓ PDMats
   8486.6 ms  ✓ IntervalArithmetic
   2416.9 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   2784.5 ms  ✓ FillArrays → FillArraysPDMatsExt
   2883.5 ms  ✓ Cairo_jll
   3014.6 ms  ✓ libva_jll
   3601.8 ms  ✓ Libglvnd_jll
   3427.2 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   5626.9 ms  ✓ StatsFuns
  10128.6 ms  ✓ StatsBase
  12687.3 ms  ✓ FixedPointNumbers
   3701.5 ms  ✓ IntervalArithmetic → IntervalArithmeticIrrationalConstantsExt
   7799.0 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   4221.6 ms  ✓ HarfBuzz_jll
   4899.1 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   3072.0 ms  ✓ PDMats → StatsBaseExt
   3502.1 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   5296.8 ms  ✓ libwebp_jll
  29917.5 ms  ✓ Parsers
   2897.0 ms  ✓ Ratios → RatiosFixedPointNumbersExt
  30331.1 ms  ✓ StaticArrays
  12532.6 ms  ✓ Roots
   2772.6 ms  ✓ libass_jll
   2891.8 ms  ✓ Pango_jll
   2611.0 ms  ✓ Adapt → AdaptStaticArraysExt
  33096.2 ms  ✓ SIMD
   7591.0 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
   3685.4 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3611.7 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3176.5 ms  ✓ Roots → RootsChainRulesCoreExt
   3899.6 ms  ✓ FillArrays → FillArraysStaticArraysExt
   4014.3 ms  ✓ Accessors → StaticArraysExt
   4295.3 ms  ✓ StructArrays → StructArraysStaticArraysExt
   7695.2 ms  ✓ ColorTypes
   4825.6 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3725.9 ms  ✓ QOI
   5492.0 ms  ✓ FFMPEG_jll
  39498.5 ms  ✓ Automa
  10531.8 ms  ✓ ExactPredicates
   7722.8 ms  ✓ Interpolations
   7800.4 ms  ✓ ColorVectorSpace
   1119.8 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
  11917.9 ms  ✓ Distributions
  10934.0 ms  ✓ Colors
   3176.4 ms  ✓ Graphics
   3267.2 ms  ✓ Animations
   3959.6 ms  ✓ OpenEXR
   5188.6 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   9892.9 ms  ✓ DelaunayTriangulation
  66011.4 ms  ✓ Unitful
   5086.0 ms  ✓ Cairo
   2183.4 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   2484.6 ms  ✓ Unitful → PrintfExt
   2488.1 ms  ✓ Unitful → NaNMathExt
   2586.3 ms  ✓ Accessors → UnitfulExt
   2592.9 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   2671.3 ms  ✓ Roots → RootsUnitfulExt
   4974.9 ms  ✓ KernelDensity
   3392.5 ms  ✓ Interpolations → InterpolationsUnitfulExt
  11186.9 ms  ✓ ColorSchemes
  27015.4 ms  ✓ GeometryBasics
   1497.3 ms  ✓ Packing
   1565.3 ms  ✓ GeometryBasics → IntervalSetsExt
   2354.8 ms  ✓ ShaderAbstractions
   3122.4 ms  ✓ FreeTypeAbstraction
   7885.8 ms  ✓ GridLayoutBase
  36447.2 ms  ✓ JSON
   1552.2 ms  ✓ ColorBrewer
   8753.2 ms  ✓ MathTeXEngine
  13339.0 ms  ✓ PlotUtils
  42333.2 ms  ✓ TiffImages
  31576.9 ms  ✓ ImageCore
   1387.9 ms  ✓ Sixel
   1481.8 ms  ✓ WebP
   1533.0 ms  ✓ JpegTurbo
   1722.7 ms  ✓ ImageBase
   2859.8 ms  ✓ PNGFiles
   1579.6 ms  ✓ ImageAxes
    933.7 ms  ✓ ImageMetadata
    963.3 ms  ✓ Netpbm
    377.0 ms  ✓ ImageIO
 102235.8 ms  ✓ Makie
  34933.2 ms  ✓ CairoMakie
  257 dependencies successfully precompiled in 243 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 641.09
	System time (seconds): 53.47
	Percent of CPU this job got: 284%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:03.94
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4058960
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 759
	Minor (reclaiming a frame) page faults: 13447148
	Voluntary context switches: 316591
	Involuntary context switches: 201766
	Swaps: 0
	File system inputs: 1296
	File system outputs: 2694352
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
