Precompiling Pkg...
   1059.2 ms  ✓ Zlib_jll
   2285.2 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   3988.7 ms  ✓ LogExpFunctions
   4176.2 ms  ✓ Tables
   2415.1 ms  ✓ MosaicViews
   2104.3 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   6205.9 ms  ✓ GeoInterface
   3688.0 ms  ✓ AxisArrays
   3917.3 ms  ✓ SimpleTraits
   3098.9 ms  ✓ OpenSSL_jll
   2705.9 ms  ✓ Libmount_jll
   2906.0 ms  ✓ Graphite2_jll
   2701.6 ms  ✓ LLVMOpenMP_jll
   2697.8 ms  ✓ Bzip2_jll
   5010.7 ms  ✓ FilePathsBase
   2904.1 ms  ✓ Xorg_libXau_jll
   2926.2 ms  ✓ Rmath_jll
   6210.1 ms  ✓ ChainRulesCore
   2793.9 ms  ✓ libpng_jll
   2874.6 ms  ✓ libfdk_aac_jll
   2810.3 ms  ✓ Imath_jll
   7418.1 ms  ✓ ColorTypes
   7805.7 ms  ✓ DataStructures
   3100.0 ms  ✓ LAME_jll
   3206.2 ms  ✓ Giflib_jll
   2901.7 ms  ✓ LERC_jll
   2897.7 ms  ✓ EarCut_jll
  17294.2 ms  ✓ SparseArrays
   2890.8 ms  ✓ CRlibm_jll
   2903.2 ms  ✓ Ogg_jll
   3402.9 ms  ✓ JpegTurbo_jll
   3405.9 ms  ✓ XZ_jll
   3196.6 ms  ✓ oneTBB_jll
   6293.3 ms  ✓ IntelOpenMP_jll
   3094.2 ms  ✓ x265_jll
   3192.7 ms  ✓ x264_jll
   3383.6 ms  ✓ Xorg_libXdmcp_jll
   3380.4 ms  ✓ Zstd_jll
   3394.7 ms  ✓ libaom_jll
   3299.3 ms  ✓ Expat_jll
   3804.4 ms  ✓ LZO_jll
   3380.5 ms  ✓ Opus_jll
   3493.5 ms  ✓ Xorg_xtrans_jll
   3483.9 ms  ✓ Libffi_jll
   4104.5 ms  ✓ Libiconv_jll
   3706.1 ms  ✓ Libuuid_jll
   3709.0 ms  ✓ FriBidi_jll
   4290.6 ms  ✓ isoband_jll
   4096.9 ms  ✓ FFTW_jll
  21693.8 ms  ✓ FileIO
   3493.6 ms  ✓ OpenBLASConsistentFPCSR_jll
   3490.2 ms  ✓ OpenSpecFun_jll
  17394.0 ms  ✓ Test
   4204.3 ms  ✓ SharedArrays
   2512.3 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2315.5 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2693.1 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   2997.9 ms  ✓ Pixman_jll
   5305.7 ms  ✓ ProgressMeter
   3207.8 ms  ✓ FreeType2_jll
   4192.5 ms  ✓ StructArrays
   3920.7 ms  ✓ FilePaths
   3593.0 ms  ✓ OpenEXR_jll
   2693.4 ms  ✓ SortingAlgorithms
   2512.6 ms  ✓ SuiteSparse
   2980.8 ms  ✓ WoodburyMatrices
   2897.6 ms  ✓ Statistics → SparseArraysExt
   3199.7 ms  ✓ FillArrays → FillArraysSparseArraysExt
   6609.4 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2707.6 ms  ✓ Adapt → AdaptSparseArraysExt
   5210.8 ms  ✓ QuadGK
   8114.7 ms  ✓ QOI
   3409.9 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   3680.4 ms  ✓ CRlibm
   3496.3 ms  ✓ libvorbis_jll
   3703.9 ms  ✓ libsixel_jll
   2505.1 ms  ✓ Isoband
   3488.6 ms  ✓ XML2_jll
   4492.7 ms  ✓ Libtiff_jll
   2675.2 ms  ✓ SignedDistanceFields
   2897.5 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   6690.0 ms  ✓ MKL_jll
  13492.6 ms  ✓ ColorVectorSpace
   6514.0 ms  ✓ Rmath
   3004.1 ms  ✓ StructArrays → StructArraysAdaptExt
   4523.3 ms  ✓ Fontconfig_jll
  11406.1 ms  ✓ Xorg_libxcb_jll
   7093.1 ms  ✓ FilePathsBase → FilePathsBaseTestExt
   4917.5 ms  ✓ StructArrays → StructArraysSparseArraysExt
   4095.4 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
  10209.7 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   4589.6 ms  ✓ PDMats
   7908.6 ms  ✓ FreeType
   3403.1 ms  ✓ AxisAlgorithms
  50995.3 ms  ✓ StyledStrings
   2912.4 ms  ✓ Gettext_jll
   3196.5 ms  ✓ Xorg_libX11_jll
  20688.8 ms  ✓ Colors
   3802.0 ms  ✓ FillArrays → FillArraysPDMatsExt
   2997.3 ms  ✓ ColorTypes → StyledStringsExt
  15221.8 ms  ✓ SpecialFunctions
   2915.0 ms  ✓ Xorg_libXrender_jll
   3100.7 ms  ✓ Xorg_libXext_jll
   4306.2 ms  ✓ Glib_jll
   2997.1 ms  ✓ Animations
   3006.9 ms  ✓ Graphics
   3200.1 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
  12289.7 ms  ✓ StatsBase
   4092.3 ms  ✓ Cairo_jll
   4100.8 ms  ✓ Libglvnd_jll
  12308.4 ms  ✓ IntervalArithmetic
   5991.8 ms  ✓ HypergeometricFunctions
   7702.1 ms  ✓ OpenEXR
  34416.6 ms  ✓ StaticArrays
   3486.1 ms  ✓ HarfBuzz_jll
   8694.5 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   2917.8 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   3194.7 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   4591.3 ms  ✓ libwebp_jll
   3387.6 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   4290.4 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3205.7 ms  ✓ Adapt → AdaptStaticArraysExt
   3811.1 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   4395.4 ms  ✓ StructArrays → StructArraysStaticArraysExt
   4396.3 ms  ✓ libass_jll
  15678.3 ms  ✓ ColorSchemes
   9005.5 ms  ✓ StatsFuns
   5113.1 ms  ✓ Pango_jll
  42818.9 ms  ✓ SIMD
  10112.5 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   7309.9 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   8705.9 ms  ✓ FFMPEG_jll
  10991.1 ms  ✓ Interpolations
  11078.9 ms  ✓ Cairo
  35076.2 ms  ✓ FFTW
  15690.8 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
  58121.9 ms  ✓ Parsers
  88099.2 ms  ✓ Unitful
   2617.3 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   2698.7 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   7695.7 ms  ✓ JSON
  24304.5 ms  ✓ Distributions
  23788.0 ms  ✓ ExactPredicates
   3927.7 ms  ✓ Interpolations → InterpolationsUnitfulExt
   1696.9 ms  ✓ ColorBrewer
   2171.3 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   2507.8 ms  ✓ Distributions → DistributionsTestExt
   2539.9 ms  ✓ KernelDensity
  15610.2 ms  ✓ DelaunayTriangulation
  47137.2 ms  ✓ GeometryBasics
  40090.2 ms  ✓ Automa
  41093.7 ms  ✓ PlotUtils
   1950.1 ms  ✓ Packing
   3451.6 ms  ✓ ShaderAbstractions
   5259.1 ms  ✓ FreeTypeAbstraction
  63166.2 ms  ✓ ImageCore
   9089.3 ms  ✓ MakieCore
   4428.9 ms  ✓ ImageBase
   5714.8 ms  ✓ WebP
   7230.5 ms  ✓ JpegTurbo
  13705.4 ms  ✓ GridLayoutBase
   7432.4 ms  ✓ PNGFiles
   3529.9 ms  ✓ ImageAxes
    862.0 ms  ✓ ImageMetadata
   1425.7 ms  ✓ Netpbm
  92858.1 ms  ✓ REPL
   1085.9 ms  ✓ UnicodeFun
   5641.1 ms  ✓ Pkg → REPLExt
   2157.0 ms  ✓ Sixel
   6925.8 ms  ✓ MathTeXEngine
  90455.9 ms  ✓ TiffImages
    808.6 ms  ✓ ImageIO
  87459.1 ms  ✓ Makie
  27880.6 ms  ✓ CairoMakie
  249 dependencies successfully precompiled in 282 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.5 --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 935.67
	System time (seconds): 63.35
	Percent of CPU this job got: 305%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 5:26.56
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4049280
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 1005
	Minor (reclaiming a frame) page faults: 14806341
	Voluntary context switches: 327544
	Involuntary context switches: 233165
	Swaps: 0
	File system inputs: 272
	File system outputs: 4017152
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
