nice: cannot set niceness: Permission denied
Precompiling packages...
 108539.2 ms  ✓ Pkg (serial)
   1496.5 ms  ✓ MLDataDevices → MLUtilsExt
  34951.5 ms  ✓ Zygote
   1268.2 ms  ✓ MLDataDevices → ZygoteExt
   8187.8 ms  ✓ Flux
  152 dependencies successfully precompiled in 109 seconds. 9 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.5 --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 544.25
	System time (seconds): 37.03
	Percent of CPU this job got: 266%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:38.42
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2160220
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 404
	Minor (reclaiming a frame) page faults: 9072040
	Voluntary context switches: 23459
	Involuntary context switches: 82145
	Swaps: 0
	File system inputs: 312
	File system outputs: 816496
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
