nice: cannot set niceness: Permission denied
Precompiling packages...
   2089.1 ms  ✓ DefineSingletons
    663.3 ms  ✓ MLDataDevices → OneHotArraysExt
   3558.6 ms  ✓ MLUtils
    935.2 ms  ✓ MLDataDevices → MLUtilsExt
  20858.7 ms  ✓ Zygote
    785.2 ms  ✓ MLDataDevices → ZygoteExt
   3767.0 ms  ✓ Flux
  146 dependencies successfully precompiled in 57 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 180.43
	System time (seconds): 26.09
	Percent of CPU this job got: 359%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:57.42
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 965152
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 368
	Minor (reclaiming a frame) page faults: 6176107
	Voluntary context switches: 179487
	Involuntary context switches: 62045
	Swaps: 0
	File system inputs: 0
	File system outputs: 454776
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
