nice: cannot set niceness: Permission denied
Precompiling packages...
   2097.4 ms  ✓ DefineSingletons
  13193.9 ms  ✓ SparseArrays
   1084.5 ms  ✓ StructArrays → StructArraysAdaptExt
   3477.4 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   1199.4 ms  ✓ Accessors → LinearAlgebraExt
   1106.4 ms  ✓ SuiteSparse
   1500.2 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   1688.9 ms  ✓ FillArrays → FillArraysSparseArraysExt
   1706.8 ms  ✓ Statistics
   1715.0 ms  ✓ Adapt → AdaptSparseArraysExt
   1888.9 ms  ✓ StructArrays → StructArraysSparseArraysExt
   1238.8 ms  ✓ Accessors → StructArraysExt
   1401.5 ms  ✓ Accessors → TestExt
   1482.2 ms  ✓ SparseInverseSubset
   8592.3 ms  ✓ SpecialFunctions
   1989.1 ms  ✓ BangBang
   1492.6 ms  ✓ FillArrays → FillArraysStatisticsExt
   1489.5 ms  ✓ MLDataDevices → SparseArraysExt
   1288.4 ms  ✓ DiffRules
   1087.9 ms  ✓ BangBang → BangBangTablesExt
   1284.2 ms  ✓ BangBang → BangBangChainRulesCoreExt
   2601.0 ms  ✓ Optimisers
   1681.8 ms  ✓ MicroCollections
    881.7 ms  ✓ Optimisers → OptimisersAdaptExt
   1215.9 ms  ✓ BangBang → BangBangStructArraysExt
   1077.4 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
   2825.7 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   4122.4 ms  ✓ StatsBase
  16313.6 ms  ✓ StaticArrays
   3318.1 ms  ✓ Transducers
    996.0 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   1176.2 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   1184.7 ms  ✓ Adapt → AdaptStaticArraysExt
   1256.3 ms  ✓ FillArrays → FillArraysStaticArraysExt
   1289.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   5116.9 ms  ✓ ForwardDiff
   1088.5 ms  ✓ Transducers → TransducersAdaptExt
    918.7 ms  ✓ StructArrays → StructArraysStaticArraysExt
    953.9 ms  ✓ Accessors → StaticArraysExt
    639.8 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   7299.2 ms  ✓ ChainRules
    587.3 ms  ✓ BangBang → BangBangStaticArraysExt
    515.3 ms  ✓ MLDataDevices → ChainRulesExt
   3718.2 ms  ✓ KernelAbstractions
   1474.5 ms  ✓ KernelAbstractions → LinearAlgebraExt
  35189.6 ms  ✓ MLStyle
    817.0 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
    818.7 ms  ✓ KernelAbstractions → EnzymeExt
    891.9 ms  ✓ KernelAbstractions → SparseArraysExt
   1487.0 ms  ✓ JuliaVariables
   3117.0 ms  ✓ NNlib
   2086.0 ms  ✓ FLoops
    720.9 ms  ✓ NNlib → NNlibSpecialFunctionsExt
    848.4 ms  ✓ OneHotArrays
    920.6 ms  ✓ NNlib → NNlibEnzymeCoreExt
    700.5 ms  ✓ NNlib → NNlibForwardDiffExt
    648.5 ms  ✓ MLDataDevices → OneHotArraysExt
   3597.1 ms  ✓ MLUtils
    977.8 ms  ✓ MLDataDevices → MLUtilsExt
  20731.1 ms  ✓ Zygote
    788.0 ms  ✓ MLDataDevices → ZygoteExt
   3757.8 ms  ✓ Flux
  146 dependencies successfully precompiled in 57 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 180.24
	System time (seconds): 26.21
	Percent of CPU this job got: 358%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:57.50
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 958532
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 310
	Minor (reclaiming a frame) page faults: 6151274
	Voluntary context switches: 183240
	Involuntary context switches: 61409
	Swaps: 0
	File system inputs: 0
	File system outputs: 454304
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
