nice: cannot set niceness: Permission denied
Precompiling packages...
   2090.2 ms  ✓ DefineSingletons
   1868.3 ms  ✓ EnzymeCore → AdaptExt
   3387.8 ms  ✓ LogExpFunctions
   9297.1 ms  ✓ UnsafeAtomics
   1883.8 ms  ✓ ContextVariablesX
   1540.9 ms  ✓ PrecompileTools
   2203.3 ms  ✓ JLLWrappers
   3406.8 ms  ✓ Tables
   1695.4 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2598.8 ms  ✓ Functors
   9502.4 ms  ✓ MacroTools
   2111.4 ms  ✓ Atomix
   1869.3 ms  ✓ FLoopsBase
   7497.5 ms  ✓ DataStructures
   2359.4 ms  ✓ OpenSpecFun_jll
   5004.8 ms  ✓ ChainRulesCore
  11089.3 ms  ✓ Test
   2492.1 ms  ✓ CommonSubexpressions
   2479.9 ms  ✓ SortingAlgorithms
   3581.7 ms  ✓ StructArrays
   3309.4 ms  ✓ MLDataDevices
   2098.0 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2146.4 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   3900.2 ms  ✓ SimpleTraits
   2399.5 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2015.2 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   2388.9 ms  ✓ MLDataDevices → ChainRulesCoreExt
   5220.0 ms  ✓ Setfield
   3702.6 ms  ✓ ZygoteRules
   1905.6 ms  ✓ MLDataDevices → FillArraysExt
   1288.1 ms  ✓ StructArrays → StructArraysAdaptExt
   4596.5 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   6423.0 ms  ✓ IRTools
   2608.7 ms  ✓ MLCore
   3819.3 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   6847.6 ms  ✓ Accessors
  12759.6 ms  ✓ SparseArrays
   1715.7 ms  ✓ SplittablesBase
   1060.8 ms  ✓ Accessors → LinearAlgebraExt
   1172.7 ms  ✓ Adapt → AdaptSparseArraysExt
   1171.5 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   1229.1 ms  ✓ SuiteSparse
   1618.6 ms  ✓ StructArrays → StructArraysSparseArraysExt
   1623.5 ms  ✓ FillArrays → FillArraysSparseArraysExt
   1710.2 ms  ✓ Statistics
   7239.0 ms  ✓ SpecialFunctions
   1408.2 ms  ✓ Accessors → StructArraysExt
   1592.4 ms  ✓ Accessors → TestExt
   1432.6 ms  ✓ MLDataDevices → SparseArraysExt
   1513.3 ms  ✓ SparseInverseSubset
   1919.0 ms  ✓ BangBang
   1509.7 ms  ✓ DiffRules
   1701.3 ms  ✓ FillArrays → FillArraysStatisticsExt
   1083.3 ms  ✓ BangBang → BangBangChainRulesCoreExt
   1089.7 ms  ✓ BangBang → BangBangTablesExt
   1371.1 ms  ✓ MicroCollections
   2664.6 ms  ✓ Optimisers
   3404.8 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1104.9 ms  ✓ BangBang → BangBangStructArraysExt
    956.2 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
    941.3 ms  ✓ Optimisers → OptimisersAdaptExt
   3843.5 ms  ✓ StatsBase
   2978.4 ms  ✓ Transducers
  16009.2 ms  ✓ StaticArrays
   4798.7 ms  ✓ ForwardDiff
   1055.0 ms  ✓ Transducers → TransducersAdaptExt
    993.6 ms  ✓ Adapt → AdaptStaticArraysExt
   1000.9 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   1078.9 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   1200.9 ms  ✓ StaticArrays → StaticArraysStatisticsExt
    850.1 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
    631.1 ms  ✓ StructArrays → StructArraysStaticArraysExt
    658.7 ms  ✓ Accessors → StaticArraysExt
   6807.6 ms  ✓ ChainRules
    544.9 ms  ✓ BangBang → BangBangStaticArraysExt
    779.8 ms  ✓ MLDataDevices → ChainRulesExt
   3859.4 ms  ✓ KernelAbstractions
   1167.9 ms  ✓ KernelAbstractions → LinearAlgebraExt
  34297.8 ms  ✓ MLStyle
    602.7 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
    620.7 ms  ✓ KernelAbstractions → EnzymeExt
    679.8 ms  ✓ KernelAbstractions → SparseArraysExt
   1507.3 ms  ✓ JuliaVariables
   3046.1 ms  ✓ NNlib
   2130.8 ms  ✓ FLoops
    718.0 ms  ✓ NNlib → NNlibSpecialFunctionsExt
    844.0 ms  ✓ OneHotArrays
    930.2 ms  ✓ NNlib → NNlibEnzymeCoreExt
    714.1 ms  ✓ NNlib → NNlibForwardDiffExt
    647.0 ms  ✓ MLDataDevices → OneHotArraysExt
   3525.4 ms  ✓ MLUtils
    937.1 ms  ✓ MLDataDevices → MLUtilsExt
  20958.3 ms  ✓ Zygote
    779.5 ms  ✓ MLDataDevices → ZygoteExt
   3787.7 ms  ✓ Flux
  141 dependencies successfully precompiled in 56 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 177.10
	System time (seconds): 25.44
	Percent of CPU this job got: 355%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:56.93
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 981300
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 336
	Minor (reclaiming a frame) page faults: 6014020
	Voluntary context switches: 172733
	Involuntary context switches: 55614
	Swaps: 0
	File system inputs: 0
	File system outputs: 452816
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
