nice: cannot set niceness: Permission denied
Precompiling packages...
   1701.3 ms  ✓ NetworkOptions
   2401.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2501.7 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   3099.9 ms  ✓ AliasTables
   2713.3 ms  ✓ ScopedValues
   2282.3 ms  ✓ PrecompileTools
   9714.6 ms  ✓ Compat
   2211.6 ms  ✓ JLLWrappers
   2030.7 ms  ✓ Atomix
   2106.9 ms  ✓ LogExpFunctions
   1486.3 ms  ✓ Compat → CompatLinearAlgebraExt
   7482.4 ms  ✓ Missings
  11088.0 ms  ✓ InteractiveUtils
   2002.8 ms  ✓ OpenSpecFun_jll
  15896.2 ms  ✓ MacroTools
   7513.7 ms  ✓ Tables
   5513.3 ms  ✓ LLVMExtra_jll
   2483.5 ms  ✓ CommonSubexpressions
  12422.9 ms  ✓ Distributed
   3188.8 ms  ✓ SimpleTraits
   6308.8 ms  ✓ Functors
   4289.6 ms  ✓ Setfield
   7827.5 ms  ✓ ChainRulesCore
   2894.8 ms  ✓ MLDataDevices
   4183.4 ms  ✓ MLCore
   2215.5 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2322.8 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2409.7 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   9813.9 ms  ✓ SpecialFunctions
   3484.2 ms  ✓ ZygoteRules
   7088.5 ms  ✓ StructArrays
   2295.0 ms  ✓ MLDataDevices → FillArraysExt
   2307.9 ms  ✓ MLDataDevices → ChainRulesCoreExt
  10178.8 ms  ✓ IRTools
  18637.1 ms  ✓ SparseArrays
   2234.6 ms  ✓ StructArrays → StructArraysAdaptExt
   3008.9 ms  ✓ DiffRules
   2393.6 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   6321.4 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2692.2 ms  ✓ SuiteSparse
   2874.5 ms  ✓ MLDataDevices → SparseArraysExt
   2907.2 ms  ✓ Statistics → SparseArraysExt
   2970.1 ms  ✓ StructArrays → StructArraysSparseArraysExt
   2991.3 ms  ✓ Adapt → AdaptSparseArraysExt
   3112.3 ms  ✓ FillArrays → FillArraysSparseArraysExt
   1905.6 ms  ✓ SparseInverseSubset
   6487.2 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   9470.1 ms  ✓ Optimisers
  16499.6 ms  ✓ Test
   5705.6 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
    830.4 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
    906.0 ms  ✓ Optimisers → OptimisersAdaptExt
   1939.0 ms  ✓ DataStructures
   2010.1 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   1078.1 ms  ✓ SortingAlgorithms
  22331.3 ms  ✓ StaticArrays
   1662.0 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   1668.4 ms  ✓ FillArrays → FillArraysStaticArraysExt
   1697.5 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   1766.0 ms  ✓ Adapt → AdaptStaticArraysExt
   9595.4 ms  ✓ ForwardDiff
   3316.4 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   1033.2 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   3527.3 ms  ✓ StructArrays → StructArraysStaticArraysExt
  21075.1 ms  ✓ LLVM
   5577.2 ms  ✓ StatsBase
   1467.2 ms  ✓ UnsafeAtomics → UnsafeAtomicsLLVM
   8955.7 ms  ✓ ChainRules
   5021.1 ms  ✓ KernelAbstractions
   1019.8 ms  ✓ MLDataDevices → ChainRulesExt
    783.2 ms  ✓ KernelAbstractions → LinearAlgebraExt
    824.7 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
    833.9 ms  ✓ KernelAbstractions → EnzymeExt
    942.6 ms  ✓ KernelAbstractions → SparseArraysExt
   3953.1 ms  ✓ NNlib
   1169.9 ms  ✓ NNlib → NNlibSpecialFunctionsExt
   1230.5 ms  ✓ NNlib → NNlibForwardDiffExt
   5031.1 ms  ✓ GPUArrays
   1263.6 ms  ✓ NNlib → NNlibEnzymeCoreExt
   1353.5 ms  ✓ OneHotArrays
    685.7 ms  ✓ MLDataDevices → OneHotArraysExt
   1445.8 ms  ✓ MLDataDevices → GPUArraysSparseArraysExt
   3097.2 ms  ✓ MLUtils
    981.1 ms  ✓ MLDataDevices → MLUtilsExt
  25098.5 ms  ✓ Zygote
   1066.2 ms  ✓ MLDataDevices → ZygoteExt
   7022.2 ms  ✓ Flux
  126 dependencies successfully precompiled in 77 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.6 --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 370.57
	System time (seconds): 30.50
	Percent of CPU this job got: 284%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:20.79
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2169400
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 442
	Minor (reclaiming a frame) page faults: 8174481
	Voluntary context switches: 23253
	Involuntary context switches: 22981
	Swaps: 0
	File system inputs: 0
	File system outputs: 788976
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
