nice: cannot set niceness: Permission denied
Precompiling packages...
 104812.4 ms  ✓ Pkg (serial)
   2186.2 ms  ✓ PrecompileTools
   2689.1 ms  ✓ JLLWrappers
   2481.3 ms  ✓ GPUArraysCore
   2721.2 ms  ✓ EnzymeCore → AdaptExt
   2105.7 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
  13212.9 ms  ✓ InteractiveUtils
   9978.4 ms  ✓ Missings
  17717.1 ms  ✓ MacroTools
   2494.1 ms  ✓ Compat → CompatLinearAlgebraExt
   8170.3 ms  ✓ DataStructures
   3419.8 ms  ✓ OpenSpecFun_jll
   2574.8 ms  ✓ CommonSubexpressions
   3020.3 ms  ✓ SortingAlgorithms
   3498.3 ms  ✓ SimpleTraits
   4323.7 ms  ✓ ContextVariablesX
  11180.7 ms  ✓ Tables
   6583.3 ms  ✓ Setfield
  19830.1 ms  ✓ Distributed
   2783.8 ms  ✓ FLoopsBase
   9022.6 ms  ✓ Functors
   4811.4 ms  ✓ MLCore
  10613.2 ms  ✓ ChainRulesCore
  11797.2 ms  ✓ IRTools
   3041.4 ms  ✓ MLDataDevices
  10986.8 ms  ✓ SpecialFunctions
  22580.0 ms  ✓ SparseArrays
   7896.7 ms  ✓ StructArrays
   2219.2 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2492.9 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   2594.0 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2303.6 ms  ✓ MLDataDevices → FillArraysExt
  15096.6 ms  ✓ Accessors
   4287.8 ms  ✓ ZygoteRules
   3131.5 ms  ✓ MLDataDevices → ChainRulesCoreExt
   2490.7 ms  ✓ SuiteSparse
   3419.4 ms  ✓ DiffRules
   3226.1 ms  ✓ Adapt → AdaptSparseArraysExt
   3793.1 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3920.9 ms  ✓ Statistics → SparseArraysExt
   2497.8 ms  ✓ StructArrays → StructArraysAdaptExt
   3318.9 ms  ✓ StructArrays → StructArraysSparseArraysExt
   3790.1 ms  ✓ MLDataDevices → SparseArraysExt
   2813.1 ms  ✓ Accessors → LinearAlgebraExt
   2176.5 ms  ✓ Accessors → StructArraysExt
   3206.2 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   7802.6 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2611.6 ms  ✓ SparseInverseSubset
  21170.4 ms  ✓ Test
   8909.0 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   8313.8 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   3601.3 ms  ✓ BangBang
  11401.4 ms  ✓ Optimisers
   2410.9 ms  ✓ Accessors → TestExt
   2109.4 ms  ✓ BangBang → BangBangChainRulesCoreExt
   2185.3 ms  ✓ BangBang → BangBangStructArraysExt
   3736.7 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2109.4 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
   2376.8 ms  ✓ BangBang → BangBangTablesExt
   2645.1 ms  ✓ MicroCollections
   2418.8 ms  ✓ Optimisers → OptimisersAdaptExt
   4238.2 ms  ✓ SplittablesBase
   4957.9 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
  10907.7 ms  ✓ StatsBase
  30930.2 ms  ✓ StaticArrays
   2234.5 ms  ✓ FillArrays → FillArraysStaticArraysExt
   2338.3 ms  ✓ Adapt → AdaptStaticArraysExt
   2503.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2566.3 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2729.1 ms  ✓ Accessors → StaticArraysExt
   2725.9 ms  ✓ BangBang → BangBangStaticArraysExt
  14845.8 ms  ✓ ForwardDiff
   1945.3 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   9828.6 ms  ✓ Transducers
   6152.6 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   6149.1 ms  ✓ StructArrays → StructArraysStaticArraysExt
   2255.6 ms  ✓ Transducers → TransducersAdaptExt
  19023.3 ms  ✓ ChainRules
  63950.0 ms  ✓ MLStyle
   1492.4 ms  ✓ MLDataDevices → ChainRulesExt
  12531.9 ms  ✓ KernelAbstractions
   1502.5 ms  ✓ KernelAbstractions → EnzymeExt
   1563.5 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
   1595.8 ms  ✓ KernelAbstractions → LinearAlgebraExt
   1931.4 ms  ✓ KernelAbstractions → SparseArraysExt
   4106.7 ms  ✓ JuliaVariables
   4653.2 ms  ✓ FLoops
   6044.5 ms  ✓ NNlib
   1139.4 ms  ✓ NNlib → NNlibSpecialFunctionsExt
   1447.5 ms  ✓ NNlib → NNlibForwardDiffExt
   1484.2 ms  ✓ NNlib → NNlibEnzymeCoreExt
   1666.7 ms  ✓ OneHotArrays
    927.9 ms  ✓ MLDataDevices → OneHotArraysExt
   8019.8 ms  ✓ MLUtils
   1414.0 ms  ✓ MLDataDevices → MLUtilsExt
  37027.2 ms  ✓ Zygote
   1417.0 ms  ✓ MLDataDevices → ZygoteExt
   9223.8 ms  ✓ Flux
  152 dependencies successfully precompiled in 111 seconds. 9 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.5 --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 534.64
	System time (seconds): 37.18
	Percent of CPU this job got: 263%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:36.76
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2156124
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 635
	Minor (reclaiming a frame) page faults: 9033809
	Voluntary context switches: 23035
	Involuntary context switches: 74167
	Swaps: 0
	File system inputs: 5048
	File system outputs: 816016
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
