nice: cannot set niceness: Permission denied
Precompiling packages...
   1723.5 ms  ✓ Unicode
   2091.1 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   5986.3 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2617.9 ms  ✓ DiffRules
   2698.5 ms  ✓ Statistics → SparseArraysExt
   2701.0 ms  ✓ SuiteSparse
   2812.5 ms  ✓ Adapt → AdaptSparseArraysExt
   2882.1 ms  ✓ MLDataDevices → SparseArraysExt
   2890.3 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2954.3 ms  ✓ StructArrays → StructArraysSparseArraysExt
   1321.3 ms  ✓ SparseInverseSubset
   8729.7 ms  ✓ Optimisers
   5310.7 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   5093.1 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   1000.4 ms  ✓ Optimisers → OptimisersAdaptExt
   1002.4 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
  22618.5 ms  ✓ StaticArrays
   5877.3 ms  ✓ StatsBase
   1578.5 ms  ✓ Adapt → AdaptStaticArraysExt
   1584.2 ms  ✓ FillArrays → FillArraysStaticArraysExt
   1758.9 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   1868.1 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   8991.8 ms  ✓ ForwardDiff
   1025.6 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   3585.6 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3623.7 ms  ✓ StructArrays → StructArraysStaticArraysExt
  20198.9 ms  ✓ LLVM
    952.4 ms  ✓ LLVM → BFloat16sExt
   9915.8 ms  ✓ ChainRules
   1881.8 ms  ✓ UnsafeAtomics → UnsafeAtomicsLLVM
   5186.7 ms  ✓ KernelAbstractions
   1189.7 ms  ✓ MLDataDevices → ChainRulesExt
   1042.3 ms  ✓ KernelAbstractions → LinearAlgebraExt
   1092.8 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
   1103.9 ms  ✓ KernelAbstractions → EnzymeExt
   1199.1 ms  ✓ KernelAbstractions → SparseArraysExt
   4171.4 ms  ✓ NNlib
   5026.6 ms  ✓ GPUArrays
   1198.8 ms  ✓ NNlib → NNlibSpecialFunctionsExt
   1213.5 ms  ✓ NNlib → NNlibForwardDiffExt
   1377.3 ms  ✓ NNlib → NNlibEnzymeCoreExt
   1375.9 ms  ✓ OneHotArrays
    693.0 ms  ✓ MLDataDevices → OneHotArraysExt
   1608.2 ms  ✓ MLDataDevices → GPUArraysSparseArraysExt
  47355.5 ms  ✓ REPL
    737.3 ms  ✓ CodeTracking
   2809.9 ms  ✓ MLUtils
   4663.0 ms  ✓ Pkg → REPLExt
   1604.7 ms  ✓ MLDataDevices → MLUtilsExt
  32979.9 ms  ✓ Zygote
   1075.7 ms  ✓ MLDataDevices → ZygoteExt
   6612.6 ms  ✓ Flux
  129 dependencies successfully precompiled in 87 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 439.54
	System time (seconds): 32.23
	Percent of CPU this job got: 313%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:30.26
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2171256
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 471
	Minor (reclaiming a frame) page faults: 8746174
	Voluntary context switches: 24435
	Involuntary context switches: 26354
	Swaps: 0
	File system inputs: 0
	File system outputs: 898432
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
