nice: cannot set niceness: Permission denied
Precompiling packages...
 112399.0 ms  ✓ Pkg (serial)
   4938.1 ms  ✓ ScopedValues
   2173.2 ms  ✓ Adapt
   3073.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   8611.6 ms  ✓ NaNMath
   2414.8 ms  ✓ PrecompileTools
  10039.8 ms  ✓ Compat
   3599.0 ms  ✓ JLLWrappers
   2273.3 ms  ✓ Atomix
   2782.0 ms  ✓ GPUArraysCore
   4334.7 ms  ✓ LogExpFunctions
   9749.9 ms  ✓ Missings
   3233.5 ms  ✓ EnzymeCore → AdaptExt
  17177.3 ms  ✓ MacroTools
   2960.6 ms  ✓ Compat → CompatLinearAlgebraExt
   2544.0 ms  ✓ OpenSpecFun_jll
  15009.2 ms  ✓ InteractiveUtils
   1988.6 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   1902.3 ms  ✓ CommonSubexpressions
   9614.7 ms  ✓ DataStructures
   2640.4 ms  ✓ ContextVariablesX
   1312.6 ms  ✓ SortingAlgorithms
   2355.5 ms  ✓ FLoopsBase
  17133.3 ms  ✓ Distributed
   4280.5 ms  ✓ SimpleTraits
   6813.1 ms  ✓ Setfield
  12574.3 ms  ✓ Tables
   9183.9 ms  ✓ Functors
  11291.8 ms  ✓ ChainRulesCore
  11121.1 ms  ✓ SpecialFunctions
   4290.1 ms  ✓ MLCore
   1943.6 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   4269.7 ms  ✓ MLDataDevices
  24001.0 ms  ✓ SparseArrays
  14100.3 ms  ✓ IRTools
  15110.7 ms  ✓ Accessors
   7726.5 ms  ✓ StructArrays
   2644.8 ms  ✓ MLDataDevices → MLDataDevicesFillArraysExt
   4892.4 ms  ✓ ZygoteRules
   2893.4 ms  ✓ SuiteSparse
   5429.2 ms  ✓ DiffRules
   3295.7 ms  ✓ Statistics → SparseArraysExt
   5912.5 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3914.2 ms  ✓ MLDataDevices → MLDataDevicesChainRulesCoreExt
   3703.9 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3379.1 ms  ✓ Adapt → AdaptSparseArraysExt
   2708.0 ms  ✓ StructArrays → StructArraysSparseArraysExt
   2403.0 ms  ✓ StructArrays → StructArraysAdaptExt
   2854.9 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   4887.4 ms  ✓ MLDataDevices → MLDataDevicesSparseArraysExt
   8624.3 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   4053.4 ms  ✓ Accessors → LinearAlgebraExt
   3271.7 ms  ✓ SparseInverseSubset
   3604.0 ms  ✓ Accessors → StructArraysExt
  21917.9 ms  ✓ Test
   3529.6 ms  ✓ BangBang
  13290.4 ms  ✓ Optimisers
   9680.0 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2478.1 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2829.3 ms  ✓ Accessors → TestExt
   2408.8 ms  ✓ BangBang → BangBangStructArraysExt
   3098.0 ms  ✓ BangBang → BangBangChainRulesCoreExt
   4303.6 ms  ✓ SplittablesBase
   3035.1 ms  ✓ BangBang → BangBangTablesExt
   2233.1 ms  ✓ Optimisers → OptimisersAdaptExt
   3063.8 ms  ✓ MicroCollections
   2333.9 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
   5466.7 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
  11756.9 ms  ✓ StatsBase
  33818.7 ms  ✓ StaticArrays
   2108.5 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2130.2 ms  ✓ Adapt → AdaptStaticArraysExt
   2264.4 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2276.7 ms  ✓ Accessors → StaticArraysExt
   2736.2 ms  ✓ BangBang → BangBangStaticArraysExt
  16023.3 ms  ✓ ForwardDiff
   4892.4 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   5548.0 ms  ✓ StructArrays → StructArraysStaticArraysExt
   2575.8 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  10337.7 ms  ✓ Transducers
   2314.7 ms  ✓ Transducers → TransducersAdaptExt
  65904.0 ms  ✓ MLStyle
  19590.4 ms  ✓ ChainRules
  12176.3 ms  ✓ KernelAbstractions
   1858.8 ms  ✓ MLDataDevices → MLDataDevicesChainRulesExt
   1524.6 ms  ✓ KernelAbstractions → LinearAlgebraExt
   1565.1 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
   1769.1 ms  ✓ KernelAbstractions → EnzymeExt
   1866.5 ms  ✓ KernelAbstractions → SparseArraysExt
   4408.0 ms  ✓ JuliaVariables
   6337.4 ms  ✓ NNlib
   4302.2 ms  ✓ FLoops
   1561.6 ms  ✓ NNlib → NNlibEnzymeCoreExt
   1619.7 ms  ✓ NNlib → NNlibForwardDiffExt
   1625.7 ms  ✓ NNlib → NNlibSpecialFunctionsExt
   1721.0 ms  ✓ OneHotArrays
   1032.0 ms  ✓ MLDataDevices → MLDataDevicesOneHotArraysExt
   9486.9 ms  ✓ MLUtils
   1952.0 ms  ✓ MLDataDevices → MLDataDevicesMLUtilsExt
  37249.8 ms  ✓ Zygote
   1425.6 ms  ✓ MLDataDevices → MLDataDevicesZygoteExt
   8984.1 ms  ✓ Flux
  146 dependencies successfully precompiled in 114 seconds. 9 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 557.04
	System time (seconds): 36.78
	Percent of CPU this job got: 261%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:47.33
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2139924
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 470
	Minor (reclaiming a frame) page faults: 8813404
	Voluntary context switches: 21827
	Involuntary context switches: 78941
	Swaps: 0
	File system inputs: 0
	File system outputs: 810352
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
