nice: cannot set niceness: Permission denied
Precompiling packages...
   2026.7 ms  ✓ DefineSingletons
	User time (seconds): 176.27
	System time (seconds): 25.23
	Percent of CPU this job got: 357%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:56.34
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 947524
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 350
	Minor (reclaiming a frame) page faults: 5993890
	Voluntary context switches: 176307
	Involuntary context switches: 53279
	Swaps: 0
	File system inputs: 0
	File system outputs: 451064
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
