Precompiling project...
   1791.7 ms  ✓ DefineSingletons
   2776.3 ms  ✓ StructArrays → StructArraysSparseArraysExt
   2973.6 ms  ✓ BangBang
   2293.4 ms  ✓ Accessors → TestExt
   2311.6 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   9299.3 ms  ✓ SpecialFunctions
   1587.4 ms  ✓ SparseInverseSubset
   3126.1 ms  ✓ SplittablesBase
   1411.7 ms  ✓ BangBang → BangBangChainRulesCoreExt
   1527.2 ms  ✓ BangBang → BangBangStructArraysExt
   1599.4 ms  ✓ BangBang → BangBangTablesExt
   1789.8 ms  ✓ MicroCollections
   4104.4 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   1351.6 ms  ✓ DiffRules
   3788.1 ms  ✓ StatsBase
   2627.2 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
  18276.9 ms  ✓ StaticArrays
   3594.2 ms  ✓ Transducers
   1630.7 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   1640.0 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   1747.0 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   1757.0 ms  ✓ Adapt → AdaptStaticArraysExt
   1821.3 ms  ✓ BangBang → BangBangStaticArraysExt
   1832.2 ms  ✓ Accessors → StaticArraysExt
   1855.1 ms  ✓ StructArrays → StructArraysStaticArraysExt
   1423.2 ms  ✓ Transducers → TransducersAdaptExt
   5184.9 ms  ✓ ForwardDiff
    561.1 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   7337.3 ms  ✓ ChainRules
   2025.8 ms  ✓ MLDataDevices → MLDataDevicesChainRulesExt
   5424.2 ms  ✓ KernelAbstractions
  38182.7 ms  ✓ MLStyle
    735.3 ms  ✓ KernelAbstractions → LinearAlgebraExt
    784.8 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
    827.9 ms  ✓ KernelAbstractions → EnzymeExt
    873.4 ms  ✓ KernelAbstractions → SparseArraysExt
   1825.6 ms  ✓ JuliaVariables
   3415.6 ms  ✓ NNlib
   2527.9 ms  ✓ FLoops
    895.4 ms  ✓ NNlib → NNlibSpecialFunctionsExt
    903.1 ms  ✓ NNlib → NNlibEnzymeCoreExt
    907.4 ms  ✓ NNlib → NNlibForwardDiffExt
    949.2 ms  ✓ OneHotArrays
    579.0 ms  ✓ MLDataDevices → MLDataDevicesOneHotArraysExt
   4153.2 ms  ✓ MLUtils
   1025.7 ms  ✓ MLDataDevices → MLDataDevicesMLUtilsExt
  24134.8 ms  ✓ Zygote
    976.1 ms  ✓ MLDataDevices → MLDataDevicesZygoteExt
   4045.1 ms  ✓ Flux
  145 dependencies successfully precompiled in 63 seconds. 7 already precompiled.
	Command being timed: "julia +1.11.6 --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 296.85
	System time (seconds): 26.91
	Percent of CPU this job got: 278%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:56.40
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2017836
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 521
	Minor (reclaiming a frame) page faults: 6870088
	Voluntary context switches: 199597
	Involuntary context switches: 67882
	Swaps: 0
	File system inputs: 0
	File system outputs: 900816
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
