nice: cannot set niceness: Permission denied
Precompiling packages...
 128093.2 ms  ✓ Pkg (serial)
   2442.7 ms  ✓ BangBang → BangBangTablesExt
   4353.2 ms  ✓ SplittablesBase
   3037.1 ms  ✓ DiffRules
   5064.4 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   7273.0 ms  ✓ StatsBase
   5466.5 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
  30449.7 ms  ✓ StaticArrays
   1497.9 ms  ✓ Accessors → StaticArraysExt
   7690.7 ms  ✓ Transducers
   2522.8 ms  ✓ Adapt → AdaptStaticArraysExt
   2608.1 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2621.0 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2826.0 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   2824.8 ms  ✓ StructArrays → StructArraysStaticArraysExt
   2852.8 ms  ✓ BangBang → BangBangStaticArraysExt
   1665.5 ms  ✓ Transducers → TransducersAdaptExt
   9304.2 ms  ✓ ForwardDiff
   1166.7 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  14029.2 ms  ✓ ChainRules
   1691.2 ms  ✓ MLDataDevices → MLDataDevicesChainRulesExt
   6719.7 ms  ✓ KernelAbstractions
   3368.3 ms  ✓ KernelAbstractions → LinearAlgebraExt
   3458.8 ms  ✓ KernelAbstractions → SparseArraysExt
   3642.6 ms  ✓ KernelAbstractions → EnzymeExt
   4057.2 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
  66244.4 ms  ✓ MLStyle
   8926.4 ms  ✓ NNlib
   3327.5 ms  ✓ JuliaVariables
   1552.6 ms  ✓ NNlib → NNlibSpecialFunctionsExt
   1627.0 ms  ✓ NNlib → NNlibEnzymeCoreExt
   1668.1 ms  ✓ OneHotArrays
   1687.3 ms  ✓ NNlib → NNlibForwardDiffExt
    842.3 ms  ✓ MLDataDevices → MLDataDevicesOneHotArraysExt
   4708.3 ms  ✓ FLoops
   7821.2 ms  ✓ MLUtils
   2141.4 ms  ✓ MLDataDevices → MLDataDevicesMLUtilsExt
  44858.2 ms  ✓ Zygote
   2394.9 ms  ✓ MLDataDevices → MLDataDevicesZygoteExt
  12863.6 ms  ✓ Flux
  146 dependencies successfully precompiled in 114 seconds. 9 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.1 --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 559.15
	System time (seconds): 34.90
	Percent of CPU this job got: 243%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:04.14
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2097336
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 396
	Minor (reclaiming a frame) page faults: 8094628
	Voluntary context switches: 21774
	Involuntary context switches: 114875
	Swaps: 0
	File system inputs: 0
	File system outputs: 807168
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
