nice: cannot set niceness: Permission denied
Precompiling packages...
 102489.1 ms  ✓ Pkg (serial)
   8010.4 ms  ✓ Functors
   7503.9 ms  ✓ Setfield
  11014.1 ms  ✓ ChainRulesCore
   3288.6 ms  ✓ MLDataDevices
   5801.1 ms  ✓ MLCore
   2533.0 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   2816.8 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2907.3 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
  11378.0 ms  ✓ SpecialFunctions
   3794.9 ms  ✓ ZygoteRules
  22812.1 ms  ✓ SparseArrays
   8582.1 ms  ✓ StructArrays
   5199.0 ms  ✓ MLDataDevices → ChainRulesCoreExt
   3194.4 ms  ✓ MLDataDevices → FillArraysExt
   2809.7 ms  ✓ DiffRules
   3294.3 ms  ✓ SuiteSparse
   3382.1 ms  ✓ Statistics → SparseArraysExt
   3402.6 ms  ✓ FillArrays → FillArraysSparseArraysExt
  16502.5 ms  ✓ Accessors
   3760.7 ms  ✓ Adapt → AdaptSparseArraysExt
   2592.5 ms  ✓ StructArrays → StructArraysSparseArraysExt
  16696.9 ms  ✓ IRTools
   2391.0 ms  ✓ StructArrays → StructArraysAdaptExt
   4588.0 ms  ✓ MLDataDevices → SparseArraysExt
  10076.9 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2414.7 ms  ✓ Accessors → StructArraysExt
   2817.6 ms  ✓ Accessors → LinearAlgebraExt
   3796.9 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   4516.8 ms  ✓ SparseInverseSubset
  22623.8 ms  ✓ Test
   9445.7 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
  12698.0 ms  ✓ Optimisers
   3181.2 ms  ✓ BangBang
   1903.3 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
   9610.4 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2177.7 ms  ✓ Optimisers → OptimisersAdaptExt
   3077.1 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   3258.2 ms  ✓ Accessors → TestExt
   2304.0 ms  ✓ BangBang → BangBangTablesExt
   2619.8 ms  ✓ BangBang → BangBangStructArraysExt
   2738.4 ms  ✓ BangBang → BangBangChainRulesCoreExt
   2709.7 ms  ✓ MicroCollections
   4532.9 ms  ✓ SplittablesBase
   5396.2 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
  11587.0 ms  ✓ StatsBase
  13695.8 ms  ✓ ForwardDiff
  33820.3 ms  ✓ StaticArrays
   2752.3 ms  ✓ Adapt → AdaptStaticArraysExt
   2878.0 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2993.6 ms  ✓ FillArrays → FillArraysStaticArraysExt
   3106.6 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3494.4 ms  ✓ Accessors → StaticArraysExt
   3587.7 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   4272.7 ms  ✓ BangBang → BangBangStaticArraysExt
  12183.4 ms  ✓ Transducers
   8095.4 ms  ✓ StructArrays → StructArraysStaticArraysExt
   9306.6 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3421.7 ms  ✓ Transducers → TransducersAdaptExt
  66364.6 ms  ✓ MLStyle
  19282.6 ms  ✓ ChainRules
   1409.5 ms  ✓ MLDataDevices → ChainRulesExt
  11726.7 ms  ✓ KernelAbstractions
   1333.8 ms  ✓ KernelAbstractions → LinearAlgebraExt
   1376.0 ms  ✓ KernelAbstractions → EnzymeExt
   1380.3 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
   1650.5 ms  ✓ KernelAbstractions → SparseArraysExt
   4063.7 ms  ✓ JuliaVariables
   3954.9 ms  ✓ FLoops
   5358.6 ms  ✓ NNlib
   1344.1 ms  ✓ NNlib → NNlibSpecialFunctionsExt
   1473.8 ms  ✓ NNlib → NNlibForwardDiffExt
   1519.8 ms  ✓ NNlib → NNlibEnzymeCoreExt
   1714.1 ms  ✓ OneHotArrays
    885.7 ms  ✓ MLDataDevices → OneHotArraysExt
   8346.5 ms  ✓ MLUtils
   1478.1 ms  ✓ MLDataDevices → MLUtilsExt
  35539.9 ms  ✓ Zygote
   1433.5 ms  ✓ MLDataDevices → ZygoteExt
   9237.9 ms  ✓ Flux
  152 dependencies successfully precompiled in 113 seconds. 9 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 542.30
	System time (seconds): 37.62
	Percent of CPU this job got: 267%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:36.78
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2164824
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 450
	Minor (reclaiming a frame) page faults: 9072885
	Voluntary context switches: 24024
	Involuntary context switches: 68437
	Swaps: 0
	File system inputs: 768
	File system outputs: 816016
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
