nice: cannot set niceness: Permission denied
Precompiling packages...
   2127.1 ms  ✓ DefineSingletons
    547.6 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
    561.1 ms  ✓ KernelAbstractions → EnzymeExt
    617.3 ms  ✓ KernelAbstractions → SparseArraysExt
   1607.4 ms  ✓ JuliaVariables
   2042.1 ms  ✓ FLoops
   3113.1 ms  ✓ NNlib
    734.5 ms  ✓ NNlib → NNlibSpecialFunctionsExt
    840.8 ms  ✓ OneHotArrays
    918.3 ms  ✓ NNlib → NNlibEnzymeCoreExt
    701.2 ms  ✓ NNlib → NNlibForwardDiffExt
    649.1 ms  ✓ MLDataDevices → OneHotArraysExt
   3595.1 ms  ✓ MLUtils
    964.4 ms  ✓ MLDataDevices → MLUtilsExt
  20883.8 ms  ✓ Zygote
    804.1 ms  ✓ MLDataDevices → ZygoteExt
   3784.7 ms  ✓ Flux
  146 dependencies successfully precompiled in 57 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 183.38
	System time (seconds): 25.70
	Percent of CPU this job got: 359%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:58.19
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 943064
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 308
	Minor (reclaiming a frame) page faults: 6173677
	Voluntary context switches: 179581
	Involuntary context switches: 63001
	Swaps: 0
	File system inputs: 0
	File system outputs: 456552
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
