nice: cannot set niceness: Permission denied
Precompiling packages...
   1975.6 ms  ✓ OpenLibm_jll
   1723.3 ms  ✓ OpenSpecFun_jll
   1973.7 ms  ✓ oneTBB_jll
   2702.6 ms  ✓ MuladdMacro
   1306.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   3322.7 ms  ✓ PreallocationTools
   1204.0 ms  ✓ TruncatedStacktraces
   1206.5 ms  ✓ CommonSubexpressions
   1394.7 ms  ✓ MKL_jll
   1709.1 ms  ✓ MaybeInplace
   4037.1 ms  ✓ RecipesBase
   2054.4 ms  ✓ Setfield
    959.2 ms  ✓ FunctionWrappersWrappers
    569.7 ms  ✓ FiniteDiff
   8511.3 ms  ✓ SparseArrays
   3728.0 ms  ✓ Accessors
   1904.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2092.6 ms  ✓ Adapt → AdaptSparseArraysExt
   2116.9 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2303.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   1466.4 ms  ✓ Accessors → LinearAlgebraExt
   2482.8 ms  ✓ Statistics
   2503.0 ms  ✓ AMD
   5406.3 ms  ✓ SpecialFunctions
   2706.5 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2794.0 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
    928.1 ms  ✓ DiffRules
   1836.7 ms  ✓ SymbolicIndexingInterface
   2425.3 ms  ✓ SciMLOperators
    717.3 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
    905.4 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   3951.5 ms  ✓ ForwardDiff
   2108.5 ms  ✓ FastPower → FastPowerForwardDiffExt
   3218.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   7704.0 ms  ✓ RecursiveArrayTools
   4686.1 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
  12621.3 ms  ✓ SparseMatrixColorings
   2540.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   2698.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   2735.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  15025.2 ms  ✓ Krylov
   3583.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   2983.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
  18309.6 ms  ✓ SparseColumnPivotedQR
    420.9 ms  ✓ SparseColumnPivotedQR → SparseColumnPivotedQRAMDExt
  10680.6 ms  ✓ SciMLBase
   2019.2 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   2535.4 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   4911.8 ms  ✓ SciMLJacobianOperators
  33578.1 ms  ✓ PureKLU
    520.9 ms  ✓ PureKLU → PureKLUForwardDiffExt
   3100.7 ms  ✓ LineSearch
   4297.1 ms  ✓ NonlinearSolveBase
    988.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   1218.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   1239.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   2409.1 ms  ✓ BracketingNonlinearSolve
   6133.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
  10220.7 ms  ✓ LinearSolve
   3122.8 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   4682.1 ms  ✓ DiffEqBase
   1606.8 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   8665.8 ms  ✓ NonlinearSolveSpectralMethods
   4049.9 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
   1551.7 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   5547.3 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
   1522.0 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   5819.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   5504.3 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   4261.3 ms  ✓ OrdinaryDiffEqCore
   1243.2 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
  11038.9 ms  ✓ SimpleNonlinearSolve
   4248.4 ms  ✓ OrdinaryDiffEqDifferentiation
   1460.8 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
   7317.9 ms  ✓ OrdinaryDiffEqTsit5
           ✗ OrdinaryDiffEqRosenbrock
  13844.9 ms  ✓ NonlinearSolveQuasiNewton
   1209.4 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  24239.6 ms  ✓ OrdinaryDiffEqVerner
  36067.9 ms  ✓ NonlinearSolveFirstOrder
  26161.0 ms  ✓ NonlinearSolve
   2512.8 ms  ✓ OrdinaryDiffEqNonlinearSolve
  34094.2 ms  ✓ OrdinaryDiffEqSDIRK
   6425.8 ms  ✓ OrdinaryDiffEqBDF
           ✗ OrdinaryDiffEqDefault
           ✗ OrdinaryDiffEq
  136 dependencies successfully precompiled in 175 seconds
  1 dependency had output during precompilation:
┌ SciMLBase
│  ┌ Warning: Replacing docs for `SciMLBase.AlgorithmInterpretation :: Union{}` in module `SciMLBase.AlgorithmInterpretation`
│  └ @ Base.Docs docs/Docs.jl:243
└  

ERROR: The following 1 direct dependency failed to precompile:

OrdinaryDiffEq 

Failed to precompile OrdinaryDiffEq [1dea7af3-3e70-54e6-95c3-0bf5283fa5ed] to "/workdir/depot/compiled/v1.10/OrdinaryDiffEq/jl_QcNmkb".
ERROR: LoadError: UndefVarError: `TimeDerivativeWrapper` not defined
Stacktrace:
 [1] include
   @ ./Base.jl:495 [inlined]
 [2] include_package_for_output(pkg::Base.PkgId, input::String, depot_path::Vector{String}, dl_load_path::Vector{String}, load_path::Vector{String}, concrete_deps::Vector{Pair{Base.PkgId, UInt128}}, source::String)
   @ Base ./loading.jl:2306
 [3] top-level scope
   @ stdin:5
in expression starting at /workdir/depot/packages/OrdinaryDiffEqRosenbrock/68eDN/src/OrdinaryDiffEqRosenbrock.jl:1
in expression starting at stdin:5
ERROR: LoadError: Failed to precompile OrdinaryDiffEqRosenbrock [43230ef6-c299-4910-a778-202eb28ce4ce] to "/workdir/depot/compiled/v1.10/OrdinaryDiffEqRosenbrock/jl_qf6Tbs".
Stacktrace:
  [1] error(s::String)
    @ Base ./error.jl:35
  [2] compilecache(pkg::Base.PkgId, path::String, internal_stderr::IO, internal_stdout::IO, keep_loaded_modules::Bool; loadable_exts::Nothing)
    @ Base ./loading.jl:2547
  [3] compilecache
    @ ./loading.jl:2414 [inlined]
  [4] (::Base.var"#973#974"{Base.PkgId})()
    @ Base ./loading.jl:2058
  [5] mkpidlock(f::Base.var"#973#974"{Base.PkgId}, at::String, pid::Int32; kwopts::@Kwargs{stale_age::Int64, wait::Bool})
    @ FileWatching.Pidfile ~/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/FileWatching/src/pidfile.jl:93
  [6] #mkpidlock#6
    @ ~/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/FileWatching/src/pidfile.jl:88 [inlined]
  [7] trymkpidlock(::Function, ::Vararg{Any}; kwargs::@Kwargs{stale_age::Int64})
    @ FileWatching.Pidfile ~/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/FileWatching/src/pidfile.jl:111
  [8] #invokelatest#2
    @ ./essentials.jl:894 [inlined]
  [9] invokelatest
    @ ./essentials.jl:889 [inlined]
 [10] maybe_cachefile_lock(f::Base.var"#973#974"{Base.PkgId}, pkg::Base.PkgId, srcpath::String; stale_age::Int64)
    @ Base ./loading.jl:3062
 [11] maybe_cachefile_lock
    @ ./loading.jl:3059 [inlined]
 [12] _require(pkg::Base.PkgId, env::String)
    @ Base ./loading.jl:2044
 [13] __require_prelocked(uuidkey::Base.PkgId, env::String)
    @ Base ./loading.jl:1886
 [14] #invoke_in_world#3
    @ ./essentials.jl:926 [inlined]
 [15] invoke_in_world
    @ ./essentials.jl:923 [inlined]
 [16] _require_prelocked(uuidkey::Base.PkgId, env::String)
    @ Base ./loading.jl:1877
 [17] macro expansion
    @ ./loading.jl:1864 [inlined]
 [18] macro expansion
    @ ./lock.jl:270 [inlined]
 [19] __require(into::Module, mod::Symbol)
    @ Base ./loading.jl:1827
 [20] #invoke_in_world#3
    @ ./essentials.jl:926 [inlined]
 [21] invoke_in_world
    @ ./essentials.jl:923 [inlined]
 [22] require(into::Module, mod::Symbol)
    @ Base ./loading.jl:1820
 [23] include
    @ ./Base.jl:495 [inlined]
 [24] include_package_for_output(pkg::Base.PkgId, input::String, depot_path::Vector{String}, dl_load_path::Vector{String}, load_path::Vector{String}, concrete_deps::Vector{Pair{Base.PkgId, UInt128}}, source::Nothing)
    @ Base ./loading.jl:2306
 [25] top-level scope
    @ stdin:5
in expression starting at /workdir/depot/packages/OrdinaryDiffEq/yIGZC/src/OrdinaryDiffEq.jl:1
in expression starting at stdin:
Command exited with non-zero status 1
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 526.82
	System time (seconds): 31.52
	Percent of CPU this job got: 315%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:56.73
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2129352
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 609
	Minor (reclaiming a frame) page faults: 9017738
	Voluntary context switches: 174778
	Involuntary context switches: 69682
	Swaps: 0
	File system inputs: 0
	File system outputs: 1252872
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 1
