Precompiling Pkg...
   1135.6 ms  ✓ p7zip_jll
   2120.3 ms  ✓ CommonWorldInvalidations
   1826.4 ms  ✓ DataAPI
   1705.1 ms  ✓ StaticArraysCore
   2480.9 ms  ✓ EnzymeCore
   2397.0 ms  ✓ Adapt
   2793.5 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   8705.4 ms  ✓ ExproniconLite
   2189.8 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2386.6 ms  ✓ NaNMath
   2308.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5711.2 ms  ✓ IrrationalConstants
   2108.3 ms  ✓ RuntimeGeneratedFunctions
   2796.0 ms  ✓ Compat
   3494.1 ms  ✓ CpuId
   3594.9 ms  ✓ Preferences
   1803.7 ms  ✓ IfElse
   1805.0 ms  ✓ FastClosures
   2104.8 ms  ✓ FunctionWrappersWrappers
   5082.4 ms  ✓ GenericSchur
   2177.6 ms  ✓ FillArrays → FillArraysStatisticsExt
   2692.6 ms  ✓ Parameters
   2187.3 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   5790.9 ms  ✓ LazyArtifacts
   1993.5 ms  ✓ TableTraits
   2208.2 ms  ✓ DiffResults
   4186.0 ms  ✓ ThreadingUtilities
  11586.3 ms  ✓ MacroTools
   2891.4 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2815.2 ms  ✓ ArrayInterface
   5403.1 ms  ✓ DifferentiationInterface
   2117.1 ms  ✓ EnzymeCore → AdaptExt
   3499.9 ms  ✓ GPUArraysCore
   2698.9 ms  ✓ Compat → CompatLinearAlgebraExt
   2793.2 ms  ✓ JLLWrappers
   3211.9 ms  ✓ PrecompileTools
   2991.2 ms  ✓ CommonSubexpressions
   7094.5 ms  ✓ InteractiveUtils
   4910.5 ms  ✓ LogExpFunctions
   3194.0 ms  ✓ MaybeInplace
   2611.8 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   4115.5 ms  ✓ Tables
  11195.6 ms  ✓ TimerOutputs
  11299.0 ms  ✓ Distributed
   3212.1 ms  ✓ SciMLStructures
   2879.9 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   6007.9 ms  ✓ Setfield
   2892.0 ms  ✓ OpenSpecFun_jll
   2882.3 ms  ✓ TruncatedStacktraces
   2198.2 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   4010.3 ms  ✓ oneTBB_jll
   3624.5 ms  ✓ SimpleTraits
   4308.1 ms  ✓ Static
   9724.8 ms  ✓ Jieko
  18206.3 ms  ✓ SparseArrays
   6388.3 ms  ✓ ChainRulesCore
   3696.1 ms  ✓ SharedArrays
   7006.2 ms  ✓ IntelOpenMP_jll
   3516.7 ms  ✓ FiniteDiff
  10500.2 ms  ✓ Accessors
   2781.6 ms  ✓ BitTwiddlingConvenienceFunctions
   8208.7 ms  ✓ RecipesBase
   3381.9 ms  ✓ Statistics → SparseArraysExt
   7704.2 ms  ✓ DataStructures
   2700.8 ms  ✓ Adapt → AdaptSparseArraysExt
   2788.1 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   3723.9 ms  ✓ FillArrays → FillArraysSparseArraysExt
   5315.0 ms  ✓ CPUSummary
   3100.2 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   2391.2 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   3789.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2184.9 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   3179.2 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2604.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   5795.1 ms  ✓ SparseMatrixColorings
   7299.4 ms  ✓ StaticArrayInterface
   2602.3 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2311.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2205.5 ms  ✓ PolyesterWeave
   2320.0 ms  ✓ Accessors → LinearAlgebraExt
   1807.2 ms  ✓ CloseOpenIntervals
   5083.0 ms  ✓ MKL_jll
   2319.3 ms  ✓ LayoutPointers
   2514.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   5590.0 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
  11599.4 ms  ✓ SpecialFunctions
   3286.8 ms  ✓ SymbolicIndexingInterface
   1621.1 ms  ✓ DiffRules
   2308.6 ms  ✓ StrideArraysCore
   3504.1 ms  ✓ SciMLOperators
   1489.8 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   1512.0 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   2013.2 ms  ✓ Polyester
   3825.1 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1040.8 ms  ✓ FastBroadcast
   3622.1 ms  ✓ RecursiveArrayTools
  21911.0 ms  ✓ StaticArrays
  17389.5 ms  ✓ Krylov
   2387.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   2593.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   2294.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2785.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   2793.4 ms  ✓ Adapt → AdaptStaticArraysExt
   2872.7 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   2909.8 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2900.8 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   8411.8 ms  ✓ ForwardDiff
   3018.1 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3007.4 ms  ✓ Accessors → StaticArraysExt
   1781.3 ms  ✓ FastPower → FastPowerForwardDiffExt
   4800.7 ms  ✓ ArnoldiMethod
   2287.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   2667.1 ms  ✓ PreallocationTools
   2769.9 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   2766.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   5500.7 ms  ✓ FastGaussQuadrature
  23766.7 ms  ✓ Moshi
   1177.6 ms  ✓ NLSolversBase
  38015.3 ms  ✓ ArrayLayouts
   1460.6 ms  ✓ LineSearches
    573.1 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
   4459.0 ms  ✓ Graphs
    668.9 ms  ✓ VertexSafeGraphs
   1622.0 ms  ✓ LazyArrays
    842.3 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
   1548.9 ms  ✓ SparseDiffTools
   5724.8 ms  ✓ SciMLBase
   1048.8 ms  ✓ SparseDiffTools → SparseDiffToolsPolyesterExt
    678.4 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   1735.3 ms  ✓ DiffEqBase
   2125.0 ms  ✓ SciMLJacobianOperators
   1496.8 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   1764.1 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   1996.1 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   3600.3 ms  ✓ OrdinaryDiffEqCore
   3601.8 ms  ✓ LineSearch
    965.3 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   2880.0 ms  ✓ LineSearch → LineSearchLineSearchesExt
   8108.2 ms  ✓ OrdinaryDiffEqFunctionMap
  12898.6 ms  ✓ NonlinearSolveBase
  10487.0 ms  ✓ OrdinaryDiffEqPRK
  10912.8 ms  ✓ OrdinaryDiffEqExplicitRK
  11092.8 ms  ✓ OrdinaryDiffEqSymplecticRK
  11892.4 ms  ✓ OrdinaryDiffEqFeagin
  12400.3 ms  ✓ OrdinaryDiffEqRKN
  10219.7 ms  ✓ OrdinaryDiffEqQPRK
  12718.6 ms  ✓ OrdinaryDiffEqHighOrderRK
  12805.8 ms  ✓ OrdinaryDiffEqStabilizedRK
   5181.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   3309.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   3791.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
  14999.0 ms  ✓ OrdinaryDiffEqSSPRK
   3191.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseDiffEqBaseExt
   4817.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
  15735.7 ms  ✓ OrdinaryDiffEqLowOrderRK
   9920.3 ms  ✓ OrdinaryDiffEqLowStorageRK
  21314.9 ms  ✓ OrdinaryDiffEqTsit5
   5668.8 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
   9788.6 ms  ✓ BracketingNonlinearSolve
   2392.8 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
  30532.2 ms  ✓ LinearSolve
   3805.4 ms  ✓ OrdinaryDiffEqNordsieck
   2831.9 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   2853.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
  13762.5 ms  ✓ NonlinearSolveSpectralMethods
   1062.9 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   5734.6 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
  10568.9 ms  ✓ OrdinaryDiffEqDifferentiation
  17745.3 ms  ✓ SimpleNonlinearSolve
   2766.8 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveDiffEqBaseExt
   2824.7 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
  75248.8 ms  ✓ ExponentialUtilities
   1553.6 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
   7863.4 ms  ✓ OrdinaryDiffEqExtrapolation
  25688.0 ms  ✓ NonlinearSolveQuasiNewton
   3707.5 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  61452.3 ms  ✓ OrdinaryDiffEqVerner
   2542.4 ms  ✓ OrdinaryDiffEqLinear
  34496.5 ms  ✓ NonlinearSolveFirstOrder
  28245.9 ms  ✓ OrdinaryDiffEqRosenbrock
   9000.7 ms  ✓ NonlinearSolve
   3208.0 ms  ✓ OrdinaryDiffEqNonlinearSolve
   3556.3 ms  ✓ OrdinaryDiffEqIMEXMultistep
   3574.9 ms  ✓ OrdinaryDiffEqStabilizedIRK
   3909.2 ms  ✓ OrdinaryDiffEqPDIRK
   4832.5 ms  ✓ OrdinaryDiffEqSDIRK
   3362.8 ms  ✓ OrdinaryDiffEqExponentialRK
  14322.3 ms  ✓ OrdinaryDiffEqFIRK
  10939.5 ms  ✓ OrdinaryDiffEqBDF
  17168.8 ms  ✓ OrdinaryDiffEqDefault
   3389.8 ms  ✓ OrdinaryDiffEq
  221 dependencies successfully precompiled in 172 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.4 --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 698.63
	System time (seconds): 54.64
	Percent of CPU this job got: 349%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:35.37
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2019844
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 972
	Minor (reclaiming a frame) page faults: 13182898
	Voluntary context switches: 307598
	Involuntary context switches: 121796
	Swaps: 0
	File system inputs: 16
	File system outputs: 1631344
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
