nice: cannot set niceness: Permission denied
Precompiling packages...
   1969.2 ms  ✓ ConcreteStructs
   3788.6 ms  ✓ Tables
   1820.9 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2605.8 ms  ✓ SciMLStructures
   9372.7 ms  ✓ MacroTools
   2914.4 ms  ✓ FunctionWrappersWrappers
   3096.0 ms  ✓ MuladdMacro
   2204.5 ms  ✓ IntelOpenMP_jll
   2182.3 ms  ✓ OpenSpecFun_jll
   2518.6 ms  ✓ oneTBB_jll
   1818.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   1639.9 ms  ✓ TruncatedStacktraces
   1731.9 ms  ✓ CommonSubexpressions
   1701.4 ms  ✓ RespecializeParams
   4291.0 ms  ✓ PreallocationTools
   2014.6 ms  ✓ MaybeInplace
   1922.6 ms  ✓ MKL_jll
   5320.5 ms  ✓ RecipesBase
   2801.7 ms  ✓ Setfield
    795.1 ms  ✓ PreallocationTools → PreallocationToolsEnzymeCoreExt
   6500.8 ms  ✓ FindFirstFunctions
   1105.2 ms  ✓ FiniteDiff
   4002.7 ms  ✓ Accessors
   9914.6 ms  ✓ SparseArrays
   8684.1 ms  ✓ StringManipulation
   2075.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2077.8 ms  ✓ Accessors → LinearAlgebraExt
   2495.4 ms  ✓ Adapt → AdaptSparseArraysExt
   6419.7 ms  ✓ SpecialFunctions
   2577.5 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2516.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2696.6 ms  ✓ Statistics
   2800.2 ms  ✓ AMD
   3030.3 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   3098.5 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   1293.8 ms  ✓ DiffRules
   2425.6 ms  ✓ SymbolicIndexingInterface
   3240.1 ms  ✓ SciMLOperators
   1098.6 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   4690.9 ms  ✓ ForwardDiff
   2403.6 ms  ✓ FastPower → FastPowerForwardDiffExt
   3299.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   7658.0 ms  ✓ RecursiveArrayTools
  12919.2 ms  ✓ SparseMatrixColorings
   5892.8 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   2904.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsTablesExt
   3112.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   3212.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   3221.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   4138.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   3806.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
  16859.1 ms  ✓ Krylov
  20224.1 ms  ✓ SparseColumnPivotedQR
    423.4 ms  ✓ SparseColumnPivotedQR → SparseColumnPivotedQRAMDExt
  12688.2 ms  ✓ SciMLBase
   4402.9 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   5698.1 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
  12460.2 ms  ✓ SciMLJacobianOperators
  45896.0 ms  ✓ PureKLU
  44934.8 ms  ✓ PrettyTables
    515.3 ms  ✓ PureKLU → PureKLUForwardDiffExt
    501.9 ms  ✓ SymbolicIndexingInterface → SymbolicIndexingInterfacePrettyTablesExt
   3652.6 ms  ✓ LineSearch
   3113.2 ms  ✓ TimerOutputs
   4911.4 ms  ✓ NonlinearSolveBase
   2353.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   3035.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   3218.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
  12525.8 ms  ✓ LinearSolve
   1237.5 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   2929.8 ms  ✓ BracketingNonlinearSolve
   1592.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   2050.5 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
   2904.9 ms  ✓ DiffEqBase
   1154.3 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   7168.6 ms  ✓ NonlinearSolveSpectralMethods
   3169.3 ms  ✓ OrdinaryDiffEqCore
    969.6 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
  15195.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
  10356.3 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   5513.7 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
  12058.1 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
  20632.7 ms  ✓ NonlinearSolveQuasiNewton
   6873.7 ms  ✓ OrdinaryDiffEqDifferentiation
   1929.6 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
   4093.3 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
  17104.4 ms  ✓ SimpleNonlinearSolve
  20536.4 ms  ✓ OrdinaryDiffEqTsit5
  36594.1 ms  ✓ OrdinaryDiffEqVerner
  43844.8 ms  ✓ NonlinearSolveFirstOrder
  51532.1 ms  ✓ OrdinaryDiffEqRosenbrock
  42586.3 ms  ✓ NonlinearSolve
   2714.7 ms  ✓ OrdinaryDiffEqNonlinearSolve
  35715.1 ms  ✓ OrdinaryDiffEqSDIRK
  10828.8 ms  ✓ OrdinaryDiffEqBDF
  81142.2 ms  ✓ OrdinaryDiffEqDefault
   3176.8 ms  ✓ OrdinaryDiffEq
  151 dependencies successfully precompiled in 307 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 992.96
	System time (seconds): 40.27
	Percent of CPU this job got: 335%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 5:07.87
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 3296016
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 730
	Minor (reclaiming a frame) page faults: 11473584
	Voluntary context switches: 200523
	Involuntary context switches: 95841
	Swaps: 0
	File system inputs: 0
	File system outputs: 2071984
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
