Precompiling Pkg...
    998.8 ms  ✓ Unicode
  11512.5 ms  ✓ MacroTools
   7580.9 ms  ✓ InteractiveUtils
   2396.6 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2506.1 ms  ✓ DiffResults
   2796.4 ms  ✓ JLLWrappers
   3209.1 ms  ✓ Compat → CompatLinearAlgebraExt
   2709.4 ms  ✓ PrecompileTools
   2396.0 ms  ✓ EnzymeCore → AdaptExt
   3021.7 ms  ✓ GPUArraysCore
   2991.5 ms  ✓ CommonSubexpressions
   4987.1 ms  ✓ Tables
   4681.3 ms  ✓ LogExpFunctions
   3998.5 ms  ✓ ArrayInterface
  10803.0 ms  ✓ TimerOutputs
   3208.0 ms  ✓ TruncatedStacktraces
  11591.5 ms  ✓ Distributed
   3301.5 ms  ✓ oneTBB_jll
   3198.1 ms  ✓ OpenSpecFun_jll
   4097.2 ms  ✓ SimpleTraits
   2299.9 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   1990.5 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   3991.8 ms  ✓ Static
   2106.9 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   7894.0 ms  ✓ Setfield
   3124.9 ms  ✓ MaybeInplace
   2605.0 ms  ✓ SciMLStructures
   6706.0 ms  ✓ ChainRulesCore
  10204.6 ms  ✓ Jieko
   6306.5 ms  ✓ IntelOpenMP_jll
   3204.5 ms  ✓ BitTwiddlingConvenienceFunctions
   3785.8 ms  ✓ SharedArrays
  10806.9 ms  ✓ Accessors
   2410.3 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2606.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   2185.4 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   8695.6 ms  ✓ DataStructures
   3109.0 ms  ✓ FiniteDiff
   8494.9 ms  ✓ RecipesBase
  17199.6 ms  ✓ SparseArrays
   2282.4 ms  ✓ Accessors → LinearAlgebraExt
   5795.4 ms  ✓ CPUSummary
   2076.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   5903.5 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2604.1 ms  ✓ Statistics → SparseArraysExt
   2879.1 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3001.2 ms  ✓ Adapt → AdaptSparseArraysExt
   7595.4 ms  ✓ StaticArrayInterface
   3271.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2717.8 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2701.6 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   5216.4 ms  ✓ MKL_jll
   2800.8 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2596.8 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   4889.4 ms  ✓ SparseMatrixColorings
   1897.5 ms  ✓ CloseOpenIntervals
   2301.0 ms  ✓ PolyesterWeave
   2106.6 ms  ✓ LayoutPointers
  10895.1 ms  ✓ SpecialFunctions
   3429.9 ms  ✓ SymbolicIndexingInterface
   1594.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   4705.2 ms  ✓ SciMLOperators
   1795.9 ms  ✓ DiffRules
   2400.8 ms  ✓ StrideArraysCore
   1488.6 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   1586.1 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1707.0 ms  ✓ Polyester
   3841.0 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   4111.5 ms  ✓ RecursiveArrayTools
   1127.4 ms  ✓ FastBroadcast
   1367.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   1377.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
  21766.6 ms  ✓ StaticArrays
   2527.7 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2710.6 ms  ✓ Adapt → AdaptStaticArraysExt
   2806.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2798.2 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   2938.7 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   2920.8 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   2925.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   2995.6 ms  ✓ Accessors → StaticArraysExt
   8507.1 ms  ✓ ForwardDiff
   3842.3 ms  ✓ ArnoldiMethod
  16904.0 ms  ✓ Krylov
   1491.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   1502.6 ms  ✓ PreallocationTools
   1534.8 ms  ✓ FastPower → FastPowerForwardDiffExt
   1695.9 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   5305.7 ms  ✓ FastGaussQuadrature
   1812.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  41030.1 ms  ✓ ArrayLayouts
  21398.5 ms  ✓ Moshi
   1934.3 ms  ✓ NLSolversBase
    655.9 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
   1439.9 ms  ✓ LineSearches
   5319.4 ms  ✓ Graphs
   1731.5 ms  ✓ LazyArrays
    649.4 ms  ✓ VertexSafeGraphs
    841.0 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
   1541.1 ms  ✓ SparseDiffTools
    958.9 ms  ✓ SparseDiffTools → SparseDiffToolsPolyesterExt
   5710.6 ms  ✓ SciMLBase
    630.9 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   1721.5 ms  ✓ DiffEqBase
   2225.3 ms  ✓ SciMLJacobianOperators
   1487.5 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   1712.5 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   1964.3 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   3600.5 ms  ✓ OrdinaryDiffEqCore
   3517.2 ms  ✓ LineSearch
    940.2 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   3262.9 ms  ✓ LineSearch → LineSearchLineSearchesExt
   7911.6 ms  ✓ OrdinaryDiffEqFunctionMap
  12667.0 ms  ✓ NonlinearSolveBase
  10408.0 ms  ✓ OrdinaryDiffEqPRK
  10931.3 ms  ✓ OrdinaryDiffEqExplicitRK
  11723.6 ms  ✓ OrdinaryDiffEqSymplecticRK
  11803.4 ms  ✓ OrdinaryDiffEqFeagin
  12202.7 ms  ✓ OrdinaryDiffEqRKN
  12314.6 ms  ✓ OrdinaryDiffEqHighOrderRK
  10083.3 ms  ✓ OrdinaryDiffEqQPRK
  13211.2 ms  ✓ OrdinaryDiffEqStabilizedRK
   5212.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   3093.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
  15014.2 ms  ✓ OrdinaryDiffEqSSPRK
   4310.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   3427.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseDiffEqBaseExt
   4988.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
  15912.7 ms  ✓ OrdinaryDiffEqLowOrderRK
   9787.6 ms  ✓ OrdinaryDiffEqLowStorageRK
  20998.3 ms  ✓ OrdinaryDiffEqTsit5
   5914.1 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
  10699.1 ms  ✓ BracketingNonlinearSolve
   2020.7 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
  30688.9 ms  ✓ LinearSolve
   4137.5 ms  ✓ OrdinaryDiffEqNordsieck
   2964.7 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   2983.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
  13625.0 ms  ✓ NonlinearSolveSpectralMethods
   1096.4 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   5767.6 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
  11427.7 ms  ✓ OrdinaryDiffEqDifferentiation
  17685.5 ms  ✓ SimpleNonlinearSolve
   2311.3 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
   2488.5 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveDiffEqBaseExt
  73316.1 ms  ✓ ExponentialUtilities
   1520.1 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
   7177.4 ms  ✓ OrdinaryDiffEqExtrapolation
  23727.8 ms  ✓ NonlinearSolveQuasiNewton
   4668.6 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  61072.1 ms  ✓ OrdinaryDiffEqVerner
   1858.0 ms  ✓ OrdinaryDiffEqLinear
  34076.9 ms  ✓ NonlinearSolveFirstOrder
  26978.2 ms  ✓ OrdinaryDiffEqRosenbrock
   9062.3 ms  ✓ NonlinearSolve
   3222.1 ms  ✓ OrdinaryDiffEqNonlinearSolve
   3543.1 ms  ✓ OrdinaryDiffEqIMEXMultistep
   3587.8 ms  ✓ OrdinaryDiffEqStabilizedIRK
   3943.2 ms  ✓ OrdinaryDiffEqPDIRK
   4809.3 ms  ✓ OrdinaryDiffEqSDIRK
   3372.5 ms  ✓ OrdinaryDiffEqExponentialRK
  14829.1 ms  ✓ OrdinaryDiffEqFIRK
  10964.0 ms  ✓ OrdinaryDiffEqBDF
  17157.1 ms  ✓ OrdinaryDiffEqDefault
   3436.3 ms  ✓ OrdinaryDiffEq
  221 dependencies successfully precompiled in 172 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.4 --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 696.30
	System time (seconds): 54.73
	Percent of CPU this job got: 348%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:35.68
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2014836
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 1160
	Minor (reclaiming a frame) page faults: 13220246
	Voluntary context switches: 301920
	Involuntary context switches: 113794
	Swaps: 0
	File system inputs: 0
	File system outputs: 1630216
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
