nice: cannot set niceness: Permission denied
Precompiling packages...
   1934.7 ms  ✓ OpenLibm_jll
   7101.5 ms  ✓ SciMLBase
    841.6 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
    956.8 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   1075.9 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   1801.3 ms  ✓ SciMLJacobianOperators
   3052.1 ms  ✓ LineSearch
    861.3 ms  ✓ LineSearch → LineSearchLineSearchesExt
   4214.6 ms  ✓ NonlinearSolveBase
   2546.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   9398.5 ms  ✓ LinearSolve
   3134.3 ms  ✓ BracketingNonlinearSolve
   2332.3 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
   1042.5 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   2027.4 ms  ✓ DiffEqBase
    927.8 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   2816.0 ms  ✓ OrdinaryDiffEqCore
NonlinearSolveBaseSparseMatrixColoringsExt Waiting for background task / IO / timer.
[pid 3796337] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x36eb920->0x7136832b4430
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
NonlinearSolveBaseLineSearchExt Waiting for background task / IO / timer.
[pid 3796342] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x33f36f00->0x72a1ef7f4f70
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
NonlinearSolveBaseChainRulesCoreExt Waiting for background task / IO / timer.
[pid 3796343] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x2b54aaf0->0x7fb3cdcd2c20
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   1028.9 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   3369.0 ms  ✓ OrdinaryDiffEqFunctionMap
LinearSolveForwardDiffExt Waiting for background task / IO / timer.
[pid 3796399] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x14c24e40->0x7387b4b981c0
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
NonlinearSolveBaseForwardDiffExt Waiting for background task / IO / timer.
[pid 3796338] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x19dec300->0x748296fd5180
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   4360.9 ms  ✓ OrdinaryDiffEqHighOrderRK
   4364.4 ms  ✓ OrdinaryDiffEqSymplecticRK
   4566.6 ms  ✓ OrdinaryDiffEqExplicitRK
   4737.9 ms  ✓ OrdinaryDiffEqStabilizedRK
   5223.1 ms  ✓ OrdinaryDiffEqSSPRK
   5876.1 ms  ✓ OrdinaryDiffEqLowOrderRK
   3405.5 ms  ✓ OrdinaryDiffEqLinear
   3181.5 ms  ✓ OrdinaryDiffEqPRK
   3693.4 ms  ✓ OrdinaryDiffEqRKN
   3451.2 ms  ✓ OrdinaryDiffEqFeagin
   2909.2 ms  ✓ OrdinaryDiffEqQPRK
  22443.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
  22547.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   2481.3 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
  22777.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseChainRulesCoreExt
   4093.6 ms  ✓ OrdinaryDiffEqLowStorageRK
   7597.0 ms  ✓ OrdinaryDiffEqTsit5
NonlinearSolveBaseLinearSolveExt Waiting for background task / IO / timer.
[pid 3796402] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x3820f50->0x723231553be0
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
  21247.6 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
  24798.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   1717.2 ms  ✓ OrdinaryDiffEqNordsieck
BracketingNonlinearSolveForwardDiffExt Waiting for background task / IO / timer.
[pid 3796437] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x27bf5d20->0x70f82da89d80
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
DiffEqBaseChainRulesCoreExt Waiting for background task / IO / timer.
[pid 3796502] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0xfc5f310->0x723e35ffbc70
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   6470.0 ms  ✓ NonlinearSolveSpectralMethods
   1022.2 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
  31462.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
  31571.6 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
  31930.0 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   4579.0 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveChainRulesCoreExt
DiffEqBaseForwardDiffExt Waiting for background task / IO / timer.
[pid 3796503] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x318e0ef0->0x75fe1e4f8880
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
  31708.2 ms  ✓ OrdinaryDiffEqVerner
  43932.3 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
  14864.7 ms  ✓ SimpleNonlinearSolve
   2266.2 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
  19952.3 ms  ✓ NonlinearSolveQuasiNewton
   4065.0 ms  ✓ OrdinaryDiffEqDifferentiation
   1251.2 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
   1586.7 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
   2778.6 ms  ✓ OrdinaryDiffEqExponentialRK
   3532.3 ms  ✓ OrdinaryDiffEqExtrapolation
  30336.4 ms  ✓ NonlinearSolveFirstOrder
  10116.4 ms  ✓ NonlinearSolve
  21912.7 ms  ✓ OrdinaryDiffEqRosenbrock
   4102.4 ms  ✓ OrdinaryDiffEqNonlinearSolve
   2896.3 ms  ✓ OrdinaryDiffEqIMEXMultistep
   2945.8 ms  ✓ OrdinaryDiffEqStabilizedIRK
   3276.0 ms  ✓ OrdinaryDiffEqPDIRK
   4015.1 ms  ✓ OrdinaryDiffEqSDIRK
  14175.0 ms  ✓ OrdinaryDiffEqFIRK
  10371.0 ms  ✓ OrdinaryDiffEqBDF
  18350.3 ms  ✓ OrdinaryDiffEqDefault
   2874.0 ms  ✓ OrdinaryDiffEq
  208 dependencies successfully precompiled in 190 seconds
  13 dependencies had output during precompilation:
┌ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
│  [pid 3796337] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x36eb920->0x7136832b4430
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ DiffEqBase → DiffEqBaseForwardDiffExt
│  [pid 3796503] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x318e0ef0->0x75fe1e4f8880
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
│  [pid 3796342] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x33f36f00->0x72a1ef7f4f70
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ ADTypes → ADTypesConstructionBaseExt
│  [pid 3793951] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x18222b10->0x77d599dd14e0
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ NonlinearSolveBase → NonlinearSolveBaseChainRulesCoreExt
│  [pid 3796343] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x2b54aaf0->0x7fb3cdcd2c20
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
│  [pid 3794674] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x1861520->0x70917c834ee0
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
│  [pid 3796402] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x3820f50->0x723231553be0
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ MaybeInplace → MaybeInplaceSparseArraysExt
│  [pid 3794978] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x20e59c50->0x787d50c284f0
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ LinearSolve → LinearSolveForwardDiffExt
│  [pid 3796399] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x14c24e40->0x7387b4b981c0
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
│  [pid 3795842] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0xa189fb0->0x780143b6dc90
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
│  [pid 3796437] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x27bf5d20->0x70f82da89d80
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
│  [pid 3796338] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x19dec300->0x748296fd5180
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ DiffEqBase → DiffEqBaseChainRulesCoreExt
│  [pid 3796502] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0xfc5f310->0x723e35ffbc70
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 562.65
	System time (seconds): 45.11
	Percent of CPU this job got: 318%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:10.96
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 1393264
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 882
	Minor (reclaiming a frame) page faults: 12056451
	Voluntary context switches: 263123
	Involuntary context switches: 91986
	Swaps: 0
	File system inputs: 0
	File system outputs: 1411552
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
