nice: cannot set niceness: Permission denied
Precompiling packages...
   1742.6 ms  ✓ OpenLibm_jll
   2000.7 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   5704.5 ms  ✓ ThreadingUtilities
  11106.2 ms  ✓ MacroTools
   3846.2 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2687.8 ms  ✓ IntelOpenMP_jll
   2419.9 ms  ✓ oneTBB_jll
   2167.4 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   3733.8 ms  ✓ LogExpFunctions
   8308.3 ms  ✓ TimerOutputs
   3190.5 ms  ✓ OpenSpecFun_jll
   1875.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2020.6 ms  ✓ TruncatedStacktraces
   6667.7 ms  ✓ DataStructures
   3294.3 ms  ✓ SciMLStructures
   2015.0 ms  ✓ CommonSubexpressions
   5942.1 ms  ✓ ChainRulesCore
   3351.9 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   9100.8 ms  ✓ Jieko
   1760.0 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   4641.4 ms  ✓ Static
   1819.2 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   1917.3 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   3638.2 ms  ✓ MaybeInplace
   2051.8 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   5192.5 ms  ✓ PreallocationTools
   3119.0 ms  ✓ MKL_jll
   6320.0 ms  ✓ RecipesBase
   1673.5 ms  ✓ BitTwiddlingConvenienceFunctions
   4879.3 ms  ✓ Setfield
   1604.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   2913.3 ms  ✓ CPUSummary
  14526.2 ms  ✓ SparseArrays
   1707.5 ms  ✓ FiniteDiff
   4931.2 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   1800.0 ms  ✓ PolyesterWeave
   3915.3 ms  ✓ StaticArrayInterface
   7714.5 ms  ✓ Accessors
   2080.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2240.6 ms  ✓ Adapt → AdaptSparseArraysExt
   2320.1 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2696.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2867.4 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2876.1 ms  ✓ Statistics
   2270.9 ms  ✓ CloseOpenIntervals
   2168.1 ms  ✓ Accessors → LinearAlgebraExt
   2408.9 ms  ✓ LayoutPointers
   9331.7 ms  ✓ SpecialFunctions
   2216.8 ms  ✓ NLSolversBase
   2168.5 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2778.4 ms  ✓ FillArrays → FillArraysStatisticsExt
   3022.3 ms  ✓ StrideArraysCore
   1884.0 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2612.5 ms  ✓ DiffRules
   2511.0 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   2813.9 ms  ✓ LineSearches
   4402.4 ms  ✓ SymbolicIndexingInterface
   4535.9 ms  ✓ SciMLOperators
   1699.6 ms  ✓ Polyester
   4673.9 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1595.8 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1785.5 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   1583.5 ms  ✓ FastBroadcast
  21793.3 ms  ✓ StaticArrays
   2587.2 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2767.0 ms  ✓ FillArrays → FillArraysStaticArraysExt
   3148.3 ms  ✓ Adapt → AdaptStaticArraysExt
   3177.4 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
  10288.0 ms  ✓ ForwardDiff
   3966.1 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   4198.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3097.6 ms  ✓ Accessors → StaticArraysExt
   3020.8 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3317.7 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   3006.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   3418.6 ms  ✓ FastPower → FastPowerForwardDiffExt
   3679.8 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   8208.9 ms  ✓ FastGaussQuadrature
   4427.1 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
  25279.7 ms  ✓ Moshi
  13702.1 ms  ✓ RecursiveArrayTools
  21996.8 ms  ✓ Krylov
  22256.1 ms  ✓ SparseMatrixColorings
    845.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
    892.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
    911.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
    649.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
    662.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   9000.1 ms  ✓ SciMLBase
   1234.8 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   1329.1 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1536.3 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   4071.8 ms  ✓ SciMLJacobianOperators
  39921.0 ms  ✓ ExponentialUtilities
   6888.7 ms  ✓ LineSearch
   1276.5 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
   1075.9 ms  ✓ LineSearch → LineSearchLineSearchesExt
   8639.1 ms  ✓ NonlinearSolveBase
   2457.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
  16202.9 ms  ✓ LinearSolve
   2129.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   2215.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseChainRulesCoreExt
   2351.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   2385.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   3950.9 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
   5196.5 ms  ✓ BracketingNonlinearSolve
   1667.4 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   2062.6 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   2943.4 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
   1808.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   2213.6 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveChainRulesCoreExt
   4414.3 ms  ✓ DiffEqBase
   9357.6 ms  ✓ NonlinearSolveSpectralMethods
   2351.4 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   2259.7 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   2570.6 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   2676.8 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   6314.3 ms  ✓ OrdinaryDiffEqCore
  12939.6 ms  ✓ SimpleNonlinearSolve
   2406.7 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   5512.1 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
   9206.2 ms  ✓ OrdinaryDiffEqFunctionMap
  11992.5 ms  ✓ OrdinaryDiffEqFeagin
  12798.1 ms  ✓ OrdinaryDiffEqPRK
  12879.2 ms  ✓ OrdinaryDiffEqLinear
  13032.7 ms  ✓ OrdinaryDiffEqExplicitRK
  13139.8 ms  ✓ OrdinaryDiffEqHighOrderRK
   8709.3 ms  ✓ OrdinaryDiffEqQPRK
  13409.3 ms  ✓ OrdinaryDiffEqSymplecticRK
  13697.0 ms  ✓ OrdinaryDiffEqRKN
  14927.8 ms  ✓ OrdinaryDiffEqStabilizedRK
  16035.2 ms  ✓ OrdinaryDiffEqLowOrderRK
  16120.5 ms  ✓ OrdinaryDiffEqSSPRK
  30688.5 ms  ✓ NonlinearSolveQuasiNewton
  12516.8 ms  ✓ OrdinaryDiffEqLowStorageRK
   3369.9 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  22576.0 ms  ✓ OrdinaryDiffEqTsit5
   6631.1 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
  10851.2 ms  ✓ OrdinaryDiffEqDifferentiation
   1914.4 ms  ✓ OrdinaryDiffEqNordsieck
   2295.4 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
   4123.9 ms  ✓ OrdinaryDiffEqExponentialRK
   7014.4 ms  ✓ OrdinaryDiffEqExtrapolation
  48378.4 ms  ✓ NonlinearSolveFirstOrder
  20196.7 ms  ✓ NonlinearSolve
   8868.1 ms  ✓ OrdinaryDiffEqNonlinearSolve
  66466.8 ms  ✓ OrdinaryDiffEqVerner
  45233.5 ms  ✓ OrdinaryDiffEqRosenbrock
   5489.5 ms  ✓ OrdinaryDiffEqIMEXMultistep
   5905.9 ms  ✓ OrdinaryDiffEqPDIRK
   6074.8 ms  ✓ OrdinaryDiffEqStabilizedIRK
   7109.2 ms  ✓ OrdinaryDiffEqSDIRK
  13293.4 ms  ✓ OrdinaryDiffEqBDF
  20475.4 ms  ✓ OrdinaryDiffEqFIRK
  24181.4 ms  ✓ OrdinaryDiffEqDefault
   3480.2 ms  ✓ OrdinaryDiffEq
  208 dependencies successfully precompiled in 205 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 743.57
	System time (seconds): 49.40
	Percent of CPU this job got: 385%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:25.96
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 1394964
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 801
	Minor (reclaiming a frame) page faults: 11821353
	Voluntary context switches: 246058
	Involuntary context switches: 195254
	Swaps: 0
	File system inputs: 0
	File system outputs: 1374456
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
