Precompiling Pkg...
   1513.3 ms  ✓ p7zip_jll
   2806.6 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   7386.8 ms  ✓ InteractiveUtils
   3194.7 ms  ✓ Parameters
   3186.0 ms  ✓ Adapt
   2895.9 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3009.9 ms  ✓ DiffResults
   3605.2 ms  ✓ JLLWrappers
   5383.3 ms  ✓ ThreadingUtilities
   2905.9 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   3000.5 ms  ✓ Compat → CompatLinearAlgebraExt
   3209.1 ms  ✓ PrecompileTools
   3103.0 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   3599.5 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   4186.5 ms  ✓ LogExpFunctions
   5003.6 ms  ✓ Tables
   4375.5 ms  ✓ EnzymeCore → AdaptExt
  13696.6 ms  ✓ MacroTools
   3590.9 ms  ✓ OpenSpecFun_jll
  11805.4 ms  ✓ Distributed
  12685.8 ms  ✓ TimerOutputs
   4416.6 ms  ✓ oneTBB_jll
   2599.0 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   4096.4 ms  ✓ Static
   7103.8 ms  ✓ IntelOpenMP_jll
   2901.5 ms  ✓ CommonSubexpressions
   2902.7 ms  ✓ TruncatedStacktraces
   6094.6 ms  ✓ ChainRulesCore
   3111.5 ms  ✓ SharedArrays
   3599.4 ms  ✓ SimpleTraits
   2126.0 ms  ✓ BitTwiddlingConvenienceFunctions
   6521.8 ms  ✓ RecipesBase
   1797.8 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   7498.6 ms  ✓ DataStructures
   3509.2 ms  ✓ CPUSummary
   3717.9 ms  ✓ MKL_jll
  15995.6 ms  ✓ SparseArrays
  12807.1 ms  ✓ Test
   4688.9 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3285.1 ms  ✓ HostCPUFeatures
   3016.5 ms  ✓ DifferentiationInterface
   3087.0 ms  ✓ PolyesterWeave
   2518.3 ms  ✓ Statistics → SparseArraysExt
   2515.2 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2610.3 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2132.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   2903.3 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2328.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   3222.3 ms  ✓ KLU
   3403.6 ms  ✓ SparseMatrixColorings
   3436.3 ms  ✓ Sparspak
    940.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   4470.6 ms  ✓ SpecialFunctions
  16516.0 ms  ✓ StaticArrays
   2657.7 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1303.3 ms  ✓ Adapt → AdaptStaticArraysExt
   1401.2 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   1592.3 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   1589.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   1597.4 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   1597.8 ms  ✓ DiffRules
   1300.4 ms  ✓ GPUArraysCore
   1577.9 ms  ✓ ArrayInterface
   9719.1 ms  ✓ Krylov
   1771.6 ms  ✓ FunctionProperties
   1609.6 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   1608.2 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   2985.3 ms  ✓ Setfield
   1703.3 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   1815.4 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   3182.2 ms  ✓ ArnoldiMethod
   4280.8 ms  ✓ Accessors
   2366.4 ms  ✓ SciMLStructures
   2789.8 ms  ✓ MaybeInplace
   3364.2 ms  ✓ FiniteDiff
   3583.6 ms  ✓ Accessors → AccessorsDatesExt
   4106.3 ms  ✓ Accessors → AccessorsTestExt
   3782.0 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   5895.2 ms  ✓ Accessors → AccessorsStaticArraysExt
   4213.5 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   5300.4 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   8788.6 ms  ✓ StaticArrayInterface
   5505.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
  12799.1 ms  ✓ ForwardDiff
   2001.9 ms  ✓ StaticArrayInterface → StaticArrayInterfaceOffsetArraysExt
  45418.3 ms  ✓ MLStyle
   2399.0 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   4419.8 ms  ✓ SymbolicIndexingInterface
   4918.5 ms  ✓ SciMLOperators
   1980.8 ms  ✓ FastPower → FastPowerForwardDiffExt
   2477.1 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   1797.9 ms  ✓ CloseOpenIntervals
   2877.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   2303.6 ms  ✓ LayoutPointers
   1876.0 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   2294.9 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   1806.3 ms  ✓ PreallocationTools
  14724.8 ms  ✓ Graphs
   2133.2 ms  ✓ NLSolversBase
   2079.0 ms  ✓ StrideArraysCore
   4499.5 ms  ✓ RecursiveArrayTools
   1685.5 ms  ✓ VertexSafeGraphs
   1395.1 ms  ✓ Polyester
  25601.1 ms  ✓ ArrayLayouts
   1595.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   1667.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   1243.8 ms  ✓ FastBroadcast
   3214.0 ms  ✓ LineSearches
   1384.0 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
    909.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   2916.4 ms  ✓ SparseDiffTools
   9021.0 ms  ✓ Expronicon
   2063.6 ms  ✓ LazyArrays
   1269.5 ms  ✓ SparseDiffTools → SparseDiffToolsPolyesterExt
   1347.0 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
   8710.6 ms  ✓ VectorizationBase
    853.3 ms  ✓ SLEEFPirates
   7968.6 ms  ✓ SciMLBase
    803.8 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   2189.2 ms  ✓ SciMLJacobianOperators
   4128.0 ms  ✓ DiffEqBase
   1517.1 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   3519.2 ms  ✓ LineSearch
   1601.0 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   1045.8 ms  ✓ LineSearch → LineSearchLineSearchesExt
   5199.2 ms  ✓ NonlinearSolveBase
   1634.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   2209.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   2395.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   2602.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseDiffEqBaseExt
   2722.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   6257.9 ms  ✓ OrdinaryDiffEqCore
   2962.1 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
  24209.0 ms  ✓ LoopVectorization
   5113.5 ms  ✓ LoopVectorization → SpecialFunctionsExt
  10002.1 ms  ✓ OrdinaryDiffEqFunctionMap
  11349.9 ms  ✓ OrdinaryDiffEqPRK
  11880.5 ms  ✓ OrdinaryDiffEqQPRK
  12024.6 ms  ✓ OrdinaryDiffEqSymplecticRK
  12128.3 ms  ✓ OrdinaryDiffEqExplicitRK
  12508.6 ms  ✓ OrdinaryDiffEqFeagin
  12901.0 ms  ✓ OrdinaryDiffEqRKN
  12957.6 ms  ✓ OrdinaryDiffEqHighOrderRK
  13032.6 ms  ✓ OrdinaryDiffEqStabilizedRK
   4645.7 ms  ✓ LoopVectorization → ForwardDiffExt
  14749.3 ms  ✓ OrdinaryDiffEqSSPRK
  15945.3 ms  ✓ OrdinaryDiffEqLowStorageRK
  16405.1 ms  ✓ OrdinaryDiffEqLowOrderRK
   4347.0 ms  ✓ TriangularSolve
  21120.9 ms  ✓ OrdinaryDiffEqTsit5
   5245.0 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
  65709.2 ms  ✓ ExponentialUtilities
   1698.6 ms  ✓ OrdinaryDiffEqNordsieck
   8236.3 ms  ✓ RecursiveFactorization
  41306.1 ms  ✓ OrdinaryDiffEqVerner
   2618.2 ms  ✓ OrdinaryDiffEqLinear
  20401.6 ms  ✓ LinearSolve
   2200.7 ms  ✓ LinearSolve → LinearSolveRecursiveArrayToolsExt
   2221.6 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   2253.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   3861.1 ms  ✓ OrdinaryDiffEqDifferentiation
   4009.0 ms  ✓ BracketingNonlinearSolve
   1414.4 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   6627.5 ms  ✓ NonlinearSolveSpectralMethods
   6528.2 ms  ✓ OrdinaryDiffEqExtrapolation
  12144.7 ms  ✓ NonlinearSolveQuasiNewton
   9636.4 ms  ✓ SimpleNonlinearSolve
   1078.4 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
   1117.9 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveDiffEqBaseExt
  18663.9 ms  ✓ NonlinearSolveFirstOrder
  19657.2 ms  ✓ OrdinaryDiffEqRosenbrock
  11504.6 ms  ✓ NonlinearSolve
   3841.1 ms  ✓ OrdinaryDiffEqNonlinearSolve
   4246.7 ms  ✓ OrdinaryDiffEqStabilizedIRK
   4262.4 ms  ✓ OrdinaryDiffEqIMEXMultistep
   4613.6 ms  ✓ OrdinaryDiffEqPDIRK
   4725.2 ms  ✓ OrdinaryDiffEqFIRK
   5283.3 ms  ✓ OrdinaryDiffEqSDIRK
   3838.9 ms  ✓ OrdinaryDiffEqExponentialRK
   9402.0 ms  ✓ OrdinaryDiffEqBDF
  14412.9 ms  ✓ OrdinaryDiffEqDefault
   3959.9 ms  ✓ OrdinaryDiffEq
  233 dependencies successfully precompiled in 199 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.1 --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 758.62
	System time (seconds): 58.25
	Percent of CPU this job got: 332%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:05.91
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2030952
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 912
	Minor (reclaiming a frame) page faults: 14912316
	Voluntary context switches: 321016
	Involuntary context switches: 97731
	Swaps: 0
	File system inputs: 0
	File system outputs: 2099472
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
