nice: cannot set niceness: Permission denied
Precompiling packages...
   1595.0 ms  ✓ CompilerSupportLibraries_jll
   2220.5 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
  10198.6 ms  ✓ NonlinearSolveSpectralMethods
   1592.0 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   6694.9 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   8179.9 ms  ✓ OrdinaryDiffEqCore
  10183.3 ms  ✓ SimpleNonlinearSolve
   1531.5 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   4653.7 ms  ✓ OrdinaryDiffEqDifferentiation
   2470.9 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
  18758.4 ms  ✓ OrdinaryDiffEqTsit5
  32367.3 ms  ✓ NonlinearSolveQuasiNewton
   2044.8 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  34019.8 ms  ✓ OrdinaryDiffEqVerner
  49419.9 ms  ✓ NonlinearSolveFirstOrder
  48699.1 ms  ✓ OrdinaryDiffEqRosenbrock
  50842.8 ms  ✓ NonlinearSolve
   4518.4 ms  ✓ OrdinaryDiffEqNonlinearSolve
  30993.1 ms  ✓ OrdinaryDiffEqSDIRK
  24289.1 ms  ✓ OrdinaryDiffEqBDF
  62318.8 ms  ✓ OrdinaryDiffEqDefault
   3504.4 ms  ✓ OrdinaryDiffEq
  158 dependencies successfully precompiled in 360 seconds. 26 already precompiled.
  24 dependencies precompiled but different versions are currently loaded (ArgTools, Base64, Dates, Downloads, JuliaSyntaxHighlighting, LibCURL, LibCURL_jll, LibGit2, LibGit2_jll, LibSSH2_jll, Logging, Markdown, MozillaCACerts_jll, NetworkOptions, OpenSSL_jll, Pkg, Printf, StyledStrings, TOML, Tar, UUIDs, Zlib_jll, nghttp2_jll and p7zip_jll). Restart julia to access the new versions. Otherwise, 109 dependents of these packages may trigger further precompilation to work with the unexpected versions.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.7 --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 1203.29
	System time (seconds): 52.30
	Percent of CPU this job got: 296%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 7:04.08
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2912368
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 951
	Minor (reclaiming a frame) page faults: 15428864
	Voluntary context switches: 35575
	Involuntary context switches: 73335
	Swaps: 0
	File system inputs: 0
	File system outputs: 2296432
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
