Precompiling Pkg...
   1126.4 ms  ✓ p7zip_jll
   2903.8 ms  ✓ DocStringExtensions
   1700.1 ms  ✓ CommonWorldInvalidations
   1700.2 ms  ✓ PackageExtensionCompat
   1805.6 ms  ✓ DataAPI
   2590.6 ms  ✓ ConstructionBase
   2197.3 ms  ✓ FastClosures
   2893.4 ms  ✓ EnzymeCore
   2295.4 ms  ✓ StaticArraysCore
   4005.1 ms  ✓ ThreadingUtilities
   8021.5 ms  ✓ ExproniconLite
   1895.4 ms  ✓ TableTraits
   5217.7 ms  ✓ IrrationalConstants
   2788.1 ms  ✓ Compat
   3490.3 ms  ✓ CpuId
   2308.7 ms  ✓ NaNMath
   3499.5 ms  ✓ Preferences
   2784.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   1990.5 ms  ✓ FunctionWrappersWrappers
   5694.3 ms  ✓ Crayons
   2377.5 ms  ✓ RuntimeGeneratedFunctions
   2298.9 ms  ✓ Inflate
   5487.6 ms  ✓ GenericSchur
   2504.1 ms  ✓ Adapt
   2595.3 ms  ✓ Parameters
   2110.4 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2306.3 ms  ✓ FillArrays → FillArraysStatisticsExt
   5787.1 ms  ✓ LazyArtifacts
   6477.3 ms  ✓ InteractiveUtils
  10594.1 ms  ✓ MacroTools
   2103.9 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   5305.8 ms  ✓ DifferentiationInterface
   2595.0 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2811.8 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2306.0 ms  ✓ DiffResults
   2192.8 ms  ✓ Compat → CompatLinearAlgebraExt
   2592.3 ms  ✓ PrecompileTools
   2600.5 ms  ✓ JLLWrappers
   2805.1 ms  ✓ ArrayInterface
   2299.9 ms  ✓ EnzymeCore → AdaptExt
   3600.7 ms  ✓ LogExpFunctions
   3195.0 ms  ✓ GPUArraysCore
   4001.6 ms  ✓ Tables
   2607.3 ms  ✓ CommonSubexpressions
   2615.0 ms  ✓ TruncatedStacktraces
   9105.0 ms  ✓ Distributed
   4196.4 ms  ✓ SimpleTraits
  11807.2 ms  ✓ TimerOutputs
   3082.5 ms  ✓ oneTBB_jll
   2595.5 ms  ✓ OpenSpecFun_jll
   3912.0 ms  ✓ Static
   6025.1 ms  ✓ Setfield
   2992.4 ms  ✓ MaybeInplace
   8909.1 ms  ✓ Jieko
   2091.1 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2117.5 ms  ✓ SciMLStructures
   2184.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2278.3 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   6085.5 ms  ✓ IntelOpenMP_jll
   6508.2 ms  ✓ ChainRulesCore
   2481.8 ms  ✓ BitTwiddlingConvenienceFunctions
   8304.2 ms  ✓ DataStructures
   3392.3 ms  ✓ SharedArrays
   2384.8 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   9403.4 ms  ✓ RecipesBase
   3402.1 ms  ✓ FiniteDiff
   2202.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   9899.3 ms  ✓ StringManipulation
   2187.4 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   5017.0 ms  ✓ CPUSummary
   1814.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
  12614.5 ms  ✓ Accessors
   6182.6 ms  ✓ StaticArrayInterface
   5399.8 ms  ✓ MKL_jll
  18721.1 ms  ✓ SparseArrays
   1995.4 ms  ✓ PolyesterWeave
   5904.9 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2400.3 ms  ✓ Accessors → LinearAlgebraExt
   2396.1 ms  ✓ CloseOpenIntervals
   2486.9 ms  ✓ Adapt → AdaptSparseArraysExt
   2485.6 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2878.4 ms  ✓ Statistics → SparseArraysExt
   3192.0 ms  ✓ LayoutPointers
   3074.0 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3021.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
  10310.8 ms  ✓ SpecialFunctions
   2407.9 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   2492.9 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2407.6 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   4792.1 ms  ✓ SparseMatrixColorings
   2196.9 ms  ✓ DiffRules
   2810.8 ms  ✓ StrideArraysCore
   2103.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   4992.3 ms  ✓ SciMLOperators
   4208.1 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1722.4 ms  ✓ Polyester
   1193.7 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1602.8 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   1870.6 ms  ✓ FastBroadcast
  24112.4 ms  ✓ StaticArrays
   2882.5 ms  ✓ Adapt → AdaptStaticArraysExt
   2887.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2895.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   2900.3 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   8990.8 ms  ✓ ForwardDiff
   3300.4 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   3804.5 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3886.9 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   4088.0 ms  ✓ Accessors → StaticArraysExt
   5097.0 ms  ✓ ArnoldiMethod
   2294.9 ms  ✓ FastPower → FastPowerForwardDiffExt
   3101.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   3111.1 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   3298.6 ms  ✓ PreallocationTools
  18001.8 ms  ✓ Krylov
   6896.8 ms  ✓ FastGaussQuadrature
  24501.8 ms  ✓ Moshi
   1322.6 ms  ✓ NLSolversBase
  38127.3 ms  ✓ ArrayLayouts
   1506.0 ms  ✓ LineSearches
    577.5 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
   5020.6 ms  ✓ Graphs
    724.4 ms  ✓ VertexSafeGraphs
   1692.0 ms  ✓ LazyArrays
    899.1 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
   1627.9 ms  ✓ SparseDiffTools
   2150.9 ms  ✓ SparseDiffTools → SparseDiffToolsPolyesterExt
  29792.4 ms  ✓ PrettyTables
   1017.2 ms  ✓ SymbolicIndexingInterface
   1591.6 ms  ✓ RecursiveArrayTools
    702.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
    737.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
    763.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   5695.2 ms  ✓ SciMLBase
    745.1 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   1830.9 ms  ✓ DiffEqBase
   2338.5 ms  ✓ SciMLJacobianOperators
   1696.9 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   1876.5 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   2074.5 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   3854.7 ms  ✓ OrdinaryDiffEqCore
   3808.4 ms  ✓ LineSearch
   1121.8 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   3434.2 ms  ✓ LineSearch → LineSearchLineSearchesExt
  14146.6 ms  ✓ NonlinearSolveBase
  10186.5 ms  ✓ OrdinaryDiffEqFunctionMap
  10670.7 ms  ✓ OrdinaryDiffEqPRK
  11672.6 ms  ✓ OrdinaryDiffEqExplicitRK
  12197.9 ms  ✓ OrdinaryDiffEqHighOrderRK
   9517.3 ms  ✓ OrdinaryDiffEqQPRK
  12766.6 ms  ✓ OrdinaryDiffEqRKN
  12973.0 ms  ✓ OrdinaryDiffEqSymplecticRK
  15855.3 ms  ✓ OrdinaryDiffEqFeagin
  17369.4 ms  ✓ OrdinaryDiffEqSSPRK
  17387.5 ms  ✓ OrdinaryDiffEqStabilizedRK
  17769.4 ms  ✓ OrdinaryDiffEqLowOrderRK
   7784.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   7912.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   7190.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseDiffEqBaseExt
   8308.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   8280.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
  14597.8 ms  ✓ OrdinaryDiffEqLowStorageRK
   8814.1 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
  67226.9 ms  ✓ ExponentialUtilities
  28066.2 ms  ✓ OrdinaryDiffEqTsit5
  35510.5 ms  ✓ LinearSolve
  16701.9 ms  ✓ BracketingNonlinearSolve
   3010.1 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
   2922.8 ms  ✓ OrdinaryDiffEqNordsieck
   1750.0 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   2948.0 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   3044.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
  13588.3 ms  ✓ NonlinearSolveSpectralMethods
   5605.2 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
   1473.2 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   4278.2 ms  ✓ OrdinaryDiffEqDifferentiation
  11237.1 ms  ✓ SimpleNonlinearSolve
   1827.0 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
   1910.7 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveDiffEqBaseExt
   7686.6 ms  ✓ OrdinaryDiffEqExtrapolation
  17617.6 ms  ✓ NonlinearSolveQuasiNewton
   4737.4 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  60383.3 ms  ✓ OrdinaryDiffEqVerner
  27682.0 ms  ✓ NonlinearSolveFirstOrder
   3018.9 ms  ✓ OrdinaryDiffEqLinear
  28286.4 ms  ✓ OrdinaryDiffEqRosenbrock
   9356.8 ms  ✓ NonlinearSolve
   3490.1 ms  ✓ OrdinaryDiffEqNonlinearSolve
   3824.3 ms  ✓ OrdinaryDiffEqIMEXMultistep
   3842.3 ms  ✓ OrdinaryDiffEqStabilizedIRK
   4189.6 ms  ✓ OrdinaryDiffEqPDIRK
   5145.9 ms  ✓ OrdinaryDiffEqSDIRK
   3554.8 ms  ✓ OrdinaryDiffEqExponentialRK
  14714.7 ms  ✓ OrdinaryDiffEqFIRK
  11510.1 ms  ✓ OrdinaryDiffEqBDF
  17892.4 ms  ✓ OrdinaryDiffEqDefault
   3551.5 ms  ✓ OrdinaryDiffEq
  225 dependencies successfully precompiled in 184 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.4 --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 734.63
	System time (seconds): 55.68
	Percent of CPU this job got: 343%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:49.85
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2026824
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 793
	Minor (reclaiming a frame) page faults: 13717036
	Voluntary context switches: 303330
	Involuntary context switches: 153510
	Swaps: 0
	File system inputs: 432
	File system outputs: 1694464
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
