nice: cannot set niceness: Permission denied
Precompiling packages...
   2025.7 ms  ✓ OpenLibm_jll
   2170.1 ms  ✓ Setfield
   1021.8 ms  ✓ FunctionWrappersWrappers
    565.6 ms  ✓ FiniteDiff
   2841.2 ms  ✓ Accessors
   8542.9 ms  ✓ SparseArrays
   1588.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   1887.4 ms  ✓ Accessors → LinearAlgebraExt
   1946.5 ms  ✓ Adapt → AdaptSparseArraysExt
   1948.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   1962.7 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2253.5 ms  ✓ AMD
   2254.5 ms  ✓ Statistics
   4913.4 ms  ✓ SpecialFunctions
   2547.2 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2558.8 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
    782.0 ms  ✓ DiffRules
   1862.3 ms  ✓ SymbolicIndexingInterface
   2404.5 ms  ✓ SciMLOperators
    786.0 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1022.4 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   4181.6 ms  ✓ ForwardDiff
   2414.4 ms  ✓ FastPower → FastPowerForwardDiffExt
   6633.4 ms  ✓ RecursiveArrayTools
   4117.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   4115.7 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
  11647.6 ms  ✓ SparseMatrixColorings
   2623.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   2787.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   3016.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   3892.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   3074.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
  15461.7 ms  ✓ Krylov
  17561.4 ms  ✓ SparseColumnPivotedQR
    431.9 ms  ✓ SparseColumnPivotedQR → SparseColumnPivotedQRAMDExt
  10402.2 ms  ✓ SciMLBase
   2587.5 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   2787.3 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   4626.2 ms  ✓ SciMLJacobianOperators
  32900.3 ms  ✓ PureKLU
    536.0 ms  ✓ PureKLU → PureKLUForwardDiffExt
   3559.2 ms  ✓ LineSearch
   4595.9 ms  ✓ NonlinearSolveBase
    960.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   1199.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   1208.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   2124.2 ms  ✓ BracketingNonlinearSolve
   6017.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   3299.0 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   9974.3 ms  ✓ LinearSolve
   4992.2 ms  ✓ DiffEqBase
   1586.4 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   8471.5 ms  ✓ NonlinearSolveSpectralMethods
   4124.1 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
   1678.1 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   5606.3 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
   1524.3 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   6165.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   5326.4 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   4145.2 ms  ✓ OrdinaryDiffEqCore
   1782.1 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
  10506.5 ms  ✓ SimpleNonlinearSolve
   3415.4 ms  ✓ OrdinaryDiffEqDifferentiation
   1465.9 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
   6413.7 ms  ✓ OrdinaryDiffEqTsit5
  13547.2 ms  ✓ NonlinearSolveQuasiNewton
   1329.2 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  27082.6 ms  ✓ OrdinaryDiffEqRosenbrock
  32807.8 ms  ✓ OrdinaryDiffEqVerner
  44625.6 ms  ✓ NonlinearSolveFirstOrder
  26616.7 ms  ✓ NonlinearSolve
   2519.1 ms  ✓ OrdinaryDiffEqNonlinearSolve
  33834.5 ms  ✓ OrdinaryDiffEqSDIRK
   6471.6 ms  ✓ OrdinaryDiffEqBDF
  19567.7 ms  ✓ OrdinaryDiffEqDefault
   2500.9 ms  ✓ OrdinaryDiffEq
  141 dependencies successfully precompiled in 200 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 609.01
	System time (seconds): 33.84
	Percent of CPU this job got: 319%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:21.34
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2190744
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 758
	Minor (reclaiming a frame) page faults: 9444125
	Voluntary context switches: 185070
	Involuntary context switches: 69775
	Swaps: 0
	File system inputs: 12664
	File system outputs: 1445736
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
