nice: cannot set niceness: Permission denied
Precompiling packages...
    396.6 ms  ✓ DataValueInterfaces
    781.6 ms  ✓ JLLWrappers
   4339.5 ms  ✓ SparseArrays
    879.3 ms  ✓ SciMLLogging
    826.5 ms  ✓ TruncatedStacktraces
    431.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
    430.2 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2624.3 ms  ✓ Accessors
    792.7 ms  ✓ FiniteDiff
   1028.0 ms  ✓ Tables
   2420.6 ms  ✓ RecipesBase
   2818.2 ms  ✓ FindFirstFunctions
   1054.2 ms  ✓ SciMLStructures
   4157.1 ms  ✓ MuladdMacro
   5224.4 ms  ✓ StringManipulation
    955.3 ms  ✓ OpenSpecFun_jll
   1715.5 ms  ✓ PreallocationTools
   1268.8 ms  ✓ IntelOpenMP_jll
    767.0 ms  ✓ AMD
   1304.5 ms  ✓ oneTBB_jll
    682.4 ms  ✓ Statistics → SparseArraysExt
   4402.6 ms  ✓ FunctionWrappersWrappers
    690.3 ms  ✓ Adapt → AdaptSparseArraysExt
    587.5 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
    607.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
    572.9 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   6782.6 ms  ✓ Krylov
    571.1 ms  ✓ Accessors → LinearAlgebraExt
    719.9 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
    639.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   9101.9 ms  ✓ SparseMatrixColorings
    696.4 ms  ✓ PreallocationTools → PreallocationToolsEnzymeCoreExt
   3397.2 ms  ✓ SpecialFunctions
    703.5 ms  ✓ RespecializeParams
   1673.0 ms  ✓ MKL_jll
  12386.4 ms  ✓ SparseColumnPivotedQR
   1232.9 ms  ✓ SymbolicIndexingInterface
   2159.8 ms  ✓ SciMLOperators
    982.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
    699.8 ms  ✓ DiffRules
    749.6 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
    776.5 ms  ✓ SparseColumnPivotedQR → SparseColumnPivotedQRAMDExt
   3530.5 ms  ✓ ForwardDiff
   4337.4 ms  ✓ RecursiveArrayTools
    617.7 ms  ✓ FastPower → FastPowerForwardDiffExt
    770.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
    634.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsTablesExt
    803.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   1468.4 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
    661.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
    675.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
    642.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   7864.5 ms  ✓ SciMLBase
    866.6 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1217.2 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   2516.9 ms  ✓ SciMLJacobianOperators
  34068.1 ms  ✓ PureKLU
    804.7 ms  ✓ PureKLU → PureKLUForwardDiffExt
   4556.7 ms  ✓ LineSearch
  60489.0 ms  ✓ REPL
  14429.2 ms  ✓ LinearSolve
   1697.7 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   2650.8 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
   8382.3 ms  ✓ Pkg → REPLExt
  23431.5 ms  ✓ PrettyTables
    704.2 ms  ✓ SymbolicIndexingInterface → SymbolicIndexingInterfacePrettyTablesExt
   5599.6 ms  ✓ TimerOutputs
   5530.1 ms  ✓ NonlinearSolveBase
    870.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   1093.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   1298.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   1755.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   2719.0 ms  ✓ BracketingNonlinearSolve
   1105.2 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   5660.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   3274.7 ms  ✓ DiffEqBase
   1196.6 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   4954.7 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
  14191.7 ms  ✓ NonlinearSolveSpectralMethods
   1397.2 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   4293.5 ms  ✓ OrdinaryDiffEqCore
  12182.5 ms  ✓ SimpleNonlinearSolve
   1385.2 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   4212.8 ms  ✓ OrdinaryDiffEqDifferentiation
   2498.7 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
  24044.6 ms  ✓ NonlinearSolveQuasiNewton
   2001.0 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  14771.4 ms  ✓ OrdinaryDiffEqTsit5
  44128.5 ms  ✓ NonlinearSolveFirstOrder
  32835.3 ms  ✓ OrdinaryDiffEqVerner
  39482.0 ms  ✓ OrdinaryDiffEqRosenbrock
  49541.6 ms  ✓ NonlinearSolve
   3424.0 ms  ✓ OrdinaryDiffEqNonlinearSolve
  43603.7 ms  ✓ OrdinaryDiffEqSDIRK
  16071.6 ms  ✓ OrdinaryDiffEqBDF
  74235.9 ms  ✓ OrdinaryDiffEqDefault
   2923.2 ms  ✓ OrdinaryDiffEq
  156 dependencies successfully precompiled in 343 seconds. 27 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +alpha --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 947.73
	System time (seconds): 42.54
	Percent of CPU this job got: 227%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 7:14.97
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2780760
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 1017
	Minor (reclaiming a frame) page faults: 16016240
	Voluntary context switches: 34788
	Involuntary context switches: 16749
	Swaps: 0
	File system inputs: 1840
	File system outputs: 1968880
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
