Precompiling Pkg...
   1062.1 ms  ✓ p7zip_jll
   6287.9 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2687.6 ms  ✓ Statistics → SparseArraysExt
   2802.4 ms  ✓ Adapt → AdaptSparseArraysExt
   2918.6 ms  ✓ FillArrays → FillArraysSparseArraysExt
   5305.1 ms  ✓ CPUSummary
   5516.2 ms  ✓ StaticArrayInterface
   2690.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   5710.3 ms  ✓ MKL_jll
   2710.5 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2605.7 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2416.1 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   4922.6 ms  ✓ SparseMatrixColorings
   2399.3 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   1892.1 ms  ✓ CloseOpenIntervals
   2208.9 ms  ✓ PolyesterWeave
   2003.1 ms  ✓ LayoutPointers
  11299.8 ms  ✓ SpecialFunctions
   1888.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   1903.0 ms  ✓ StrideArraysCore
   4721.2 ms  ✓ SciMLOperators
   1493.3 ms  ✓ DiffRules
   1592.2 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1800.6 ms  ✓ Polyester
   1702.3 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   1218.5 ms  ✓ FastBroadcast
   4192.8 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
  22688.3 ms  ✓ StaticArrays
   2789.0 ms  ✓ Adapt → AdaptStaticArraysExt
   2890.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   2897.4 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   2911.1 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2992.0 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3000.6 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3071.2 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   3089.6 ms  ✓ Accessors → StaticArraysExt
   8438.3 ms  ✓ ForwardDiff
  18479.7 ms  ✓ Krylov
   5398.3 ms  ✓ FastGaussQuadrature
   1857.9 ms  ✓ FastPower → FastPowerForwardDiffExt
   2178.5 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   2178.3 ms  ✓ PreallocationTools
   2451.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  24039.4 ms  ✓ Moshi
   1262.4 ms  ✓ NLSolversBase
  37133.9 ms  ✓ ArrayLayouts
    515.3 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
   1391.8 ms  ✓ LineSearches
   1646.4 ms  ✓ LazyArrays
    843.5 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
  25565.7 ms  ✓ PrettyTables
   1083.3 ms  ✓ SymbolicIndexingInterface
   1646.2 ms  ✓ RecursiveArrayTools
    711.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
    718.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
    751.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   5815.8 ms  ✓ SciMLBase
    749.4 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   1871.5 ms  ✓ DiffEqBase
   2392.8 ms  ✓ SciMLJacobianOperators
   1735.7 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   1844.3 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   2103.7 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   3926.8 ms  ✓ OrdinaryDiffEqCore
   3901.8 ms  ✓ LineSearch
   1172.3 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   3697.2 ms  ✓ LineSearch → LineSearchLineSearchesExt
   8608.2 ms  ✓ OrdinaryDiffEqFunctionMap
  15502.3 ms  ✓ NonlinearSolveBase
  11001.4 ms  ✓ OrdinaryDiffEqExplicitRK
  11713.2 ms  ✓ OrdinaryDiffEqSymplecticRK
  11704.8 ms  ✓ OrdinaryDiffEqPRK
  13300.4 ms  ✓ OrdinaryDiffEqFeagin
  14596.9 ms  ✓ OrdinaryDiffEqRKN
  14716.7 ms  ✓ OrdinaryDiffEqSSPRK
  15309.7 ms  ✓ OrdinaryDiffEqHighOrderRK
  16314.9 ms  ✓ OrdinaryDiffEqStabilizedRK
   5688.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
  17706.6 ms  ✓ OrdinaryDiffEqLowOrderRK
   6596.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   7512.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
  16684.4 ms  ✓ OrdinaryDiffEqQPRK
   8832.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   6985.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseDiffEqBaseExt
  15584.6 ms  ✓ OrdinaryDiffEqLowStorageRK
  64917.1 ms  ✓ ExponentialUtilities
  25103.1 ms  ✓ OrdinaryDiffEqTsit5
   7596.9 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
   5178.5 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
  15629.9 ms  ✓ BracketingNonlinearSolve
   5798.6 ms  ✓ OrdinaryDiffEqNordsieck
  37244.3 ms  ✓ LinearSolve
   6418.1 ms  ✓ OrdinaryDiffEqLinear
   1596.3 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   2692.9 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   2778.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
  14724.6 ms  ✓ NonlinearSolveSpectralMethods
   1381.8 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   5492.3 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
   4886.7 ms  ✓ OrdinaryDiffEqDifferentiation
  11500.6 ms  ✓ SimpleNonlinearSolve
   1872.8 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
   1894.8 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveDiffEqBaseExt
   8911.0 ms  ✓ OrdinaryDiffEqExtrapolation
  21322.3 ms  ✓ NonlinearSolveQuasiNewton
   2774.5 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  62129.1 ms  ✓ OrdinaryDiffEqVerner
  28807.8 ms  ✓ NonlinearSolveFirstOrder
  28766.5 ms  ✓ OrdinaryDiffEqRosenbrock
   9467.3 ms  ✓ NonlinearSolve
   3529.4 ms  ✓ OrdinaryDiffEqNonlinearSolve
   3909.9 ms  ✓ OrdinaryDiffEqIMEXMultistep
   3978.2 ms  ✓ OrdinaryDiffEqStabilizedIRK
   4337.2 ms  ✓ OrdinaryDiffEqPDIRK
   5325.3 ms  ✓ OrdinaryDiffEqSDIRK
   3531.3 ms  ✓ OrdinaryDiffEqExponentialRK
  15994.8 ms  ✓ OrdinaryDiffEqFIRK
  11599.4 ms  ✓ OrdinaryDiffEqBDF
  17747.7 ms  ✓ OrdinaryDiffEqDefault
   3691.7 ms  ✓ OrdinaryDiffEq
  216 dependencies successfully precompiled in 186 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.5 --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 742.94
	System time (seconds): 54.34
	Percent of CPU this job got: 342%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:52.47
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2030644
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 856
	Minor (reclaiming a frame) page faults: 13463026
	Voluntary context switches: 295773
	Involuntary context switches: 150941
	Swaps: 0
	File system inputs: 840
	File system outputs: 2039912
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
